Mixture	Malignant	B	Endothelial	Mono	CD4Tconv	Myofibroblasts	Fibroblasts	Plasma	CD8Tex	Tprolif	Mast	P-value	Correlation	RMSE	Absolute score (sig.score)
spot_21	0.159853888318504	0.148318382610981	0.223243766072908	0.279813605341275	0	0.196706797371263	0.000583220182847991	0	0.081457184296729	0	0	0	0.949952304545311	0.518749424512224	1.08997684419451
spot_22	0.394113588415236	0	0.0317882420114308	0.0172879547899199	0.0781442530888353	0.0322183648460098	0.0715251260760291	0	0.259390845680812	0	0.0248144664207268	0	0.621107971177024	0.841316787808353	0.909282841329
spot_23	0.181374986873862	0.424870654897015	0.000715128827685683	0.00144438464711672	0.0323455332083359	0.00174371493792615	0.00181701563381301	0	0	0.00602883733746059	0.00232266126827679	0	0.827404799312848	0.570993247443378	0.652662917631492
spot_24	0.0196258410602222	0.0117701868263404	0	0	0.329366091831722	0.223378826706229	0	0	0.132140885339049	0.0029306826500039	0	0	0.675197902536078	0.817741985341668	0.719212514413566
spot_25	0.0705186630388424	0.0566176010727799	0.395531878764087	0.00261757469847082	0.377619744301726	0	0	0	0	0.0358970521829756	0	0	0.582879336870199	0.852834345600824	0.938802514058882
spot_26	0.0512252680556302	0.19756162255371	0.00203004385967017	0.000286779790864182	0.0993042729514533	0.00115382937992551	0	0	0.447605556087246	0	0	0	0.758037809552723	0.73129187148085	0.7991673726785
spot_27	0.0168242582981201	0.00487000612763459	0.28875803059654	0.178841084427288	0.122252625611136	0	0.519942751715571	0	0	0.0684385154320188	0.0475090493265918	0	0.9168321727971	0.408286910444321	1.2474363215349
spot_28	0.569409300688281	0.0337440123034429	0.0332369698554496	0.0361618518456698	0.00424542674931241	0.0938363964984866	0.13537151262743	0	0.0073370293146545	0	0.0290987836104915	0	0.572979098479016	0.827193866908932	0.942441283493219
spot_29	0.132577044903392	0.0805076426317882	0.00843532727597991	0.230855475521259	0.235793379931774	0	0	0	0.0620573752643924	0.00201343964763724	0.0189603419709647	0	0.755635580195861	0.705790022147374	0.771200027147187
spot_30	7.4345481308685e-06	0.28895350926614	8.63991244854153e-06	5.11629303040735e-07	0	0	0	0	0.643444574856621	0.000153752783252142	1.41447593739777e-05	0	0.842901671576352	0.640120951016737	0.932582567755269
spot_31	0.136810241308905	0.187173715518739	0.0173541266903447	0.0455723994446292	0.257492424866546	0	0.000171862234330886	0	0.505213986046477	0.000331696781215419	0	0	0.281700890811162	0.964089930991163	1.15012045289119
spot_32	0.130256604038293	0.0362019824709076	0.123913503736074	0.00394674082639772	0.299984330302347	0.0613019403115298	0.585716711790465	0	0	0.00541494480639267	0.00235354935900962	0	0.936741718758866	0.353056230297539	1.24909030764142
spot_33	0.15387659526361	0	0.317745628074892	0.17516809146527	0.0200224020487184	0.427636867942948	0.00437353996141028	0	0.0733100422999611	0	0.0409002434625405	0	0.447101222440259	0.894589923372091	1.21303341051935
spot_34	0.37197074974729	0	0.15411098410814	0.157407715843928	0.03217693794841	0.023788578033869	0	0	0.02847599072863	0	0.117282407797474	0	0.773839582353585	0.746327826308766	0.885213364207741
spot_35	0	0	0	0.0178827305398434	0.433226279093671	0.0369129282105637	0.620544062650179	0.000168965881658636	0.0810637699718263	0.00229042537430647	0.011351129379506	0	0.966397007449735	0.261210884150696	1.20344029110155
spot_36	0.523130012703613	0	0.00553255282572556	0	0	0.040008960425648	0.346689686570893	0.00144135167971662	0.0939076983954122	0.0885040774074655	0.00366359581686529	0	0.87701572817975	0.528199587091085	1.10287793582534
spot_37	0.263489054253955	0.0463096720931128	0	0	0.0402414082305613	0.323423576104593	0.27490013018898	0	0.143524767134005	0.130407124710637	0	0	0.883772503235216	0.548990783823684	1.22229573271585
spot_38	0.468593358288943	0	0.000498580486461082	0	0.00728873411756995	0	0.304342794594237	8.78133942988356e-05	0.00187260061594841	0	0.00362111354058408	0	0.84822099260232	0.533731061378257	0.786304995038042
spot_39	0.242193902053227	0	0.0209645228069116	0.000279513231761295	0.15239702053497	0	0	0.411898267850808	0	0	0.00356019065761806	0	0.90296878077728	0.432246595480657	0.831293417135296
spot_40	0.638836131691494	0	0.00414526617994151	0	0.138912665727635	0	0.136802575288079	0	0.0224214557208554	0	0	0	0.641855887888584	0.795175943167276	0.941118094608005
spot_41	0.178605061721316	0.00572560654671919	0.0920761146245679	0.000253811176855405	0	0	1.84588705383119	0.00422624119962144	0.00497014626788978	0	0.0428915381547688	0	0.424461719643515	1.47649537050379	2.17463557352293
spot_42	0.266641255546777	0.014311534359013	0.0137348315506313	0.654353362861022	0.0120292255629429	0.0123474845216647	0.00782179079649786	0	0	0	0.0038746398428009	0	0.800247164887351	0.602061605570001	0.98511412504135
spot_43	0.0932662322425694	0.116521370882335	0.00465215182487759	0.0440278480726391	0.23543080601727	0	0	0	0	0.267481871100134	0.0242776604449922	0	0.913390244525565	0.674881115328265	0.785657940584817
spot_44	0.132733976978896	0.000269575950307601	0	0.000717652142036896	0.162979464107221	0.548828713733999	0	0	0	0.00338229144613448	0	0	0.621397568939629	0.787271978605081	0.848911674358595
spot_45	0	0.108370290882847	0.00778556071892059	0.297903194028343	0.0121112459903497	0	0.179492413646652	0.28597213049069	0.0478530772331461	0.0420449954905016	0.00027324434686664	0	0.855726027660374	0.519986811968287	0.981806152828316
spot_46	0.0316743602303192	0.0180090052431853	0	0	0.090787621133267	0.249839093556503	0	0	0.453587007354126	0.0935878536464204	0.0178574339602283	0	0.462700673843416	0.896362439134135	0.955342375124049
spot_47	0.0678603521205815	0.000720149932922943	0	0.300106060419992	0.588541602313133	0.282851750795909	0.0680925660262863	0.000745650481883014	0.0172972292498617	0	0.0482470931748133	0	0.178552829390643	1.00610620587282	1.37446245451538
spot_48	0	0.0660012064543074	0	0.000725910907283446	0.237096331110744	0.35484616237816	0.214393776749692	0	0	0.308936166665641	0.0022544980001344	0	0.890801400394726	0.56822670415981	1.18425405226596
spot_49	0.421083806853856	0.0370133811748445	0.122469283710145	0.0845810653734869	0	0	0.371901446310704	0	0.0795548690619379	0.0196366447840213	0.0258501411696425	0	0.834493572095779	0.577707257333546	1.16209063843864
spot_50	0.0500847100397159	0.0178419676631265	0.57758156214514	0.00163250479202686	0.0530400070399662	0.219156500976843	0	0	0	0.0087285625093831	0.0143754683270178	0	0.831654190152817	0.659040738066816	0.942441283493219
spot_51	0.126143834320187	0.164590281868767	0	0.00188524136551369	0.239622434283548	0.0371200234100235	0.109097263686107	0	0	0.0733717819090121	0.000732817621943688	0	0.806890624708083	0.694635622801214	0.752563678465101
