Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16
CST7	0.00021565312636084855	1.2377392522466835e-05	5.985351890558377e-05	7.088493930496043e-06	5.882911864318885e-05	6.999880133662373e-05	0.0016629843739792705	9.939294614014216e-07	9.260731530957855e-06	1.4503289946787845e-07	7.428530466313532e-07	1.47766934333049e-06	1.5761535223646206e-06	2.183979086112231e-05	3.0561215680791065e-05	0.0018950427183881402
HIGD1B	1.4215508770121232e-07	2.5541118020555587e-07	2.1691279528113228e-07	9.918062460201327e-08	2.980807767016813e-05	5.916059535593376e-07	1.2465152110507915e-07	2.9048360374872573e-06	6.418703719646146e-07	5.435291328126368e-08	0.003246139269322157	1.3960815294922213e-06	6.12050200743397e-07	1.850230728450697e-05	1.3844042996424832e-06	1.3967357403998903e-07
PPP3CC	0.0004326944181229919	0.00030014655203558505	0.0006242403760552406	7.365991768892854e-05	0.0003547034284565598	0.000241169283981435	0.0006719017401337624	0.00018107522919308394	0.0003994352009613067	5.3813237173017114e-05	0.00019270728807896376	0.00010874839790631086	0.0006707746651954949	0.00042006067815236747	0.00012693286407738924	0.0005580165889114141
NTRK2	1.857564529927913e-05	3.2215264127444243e-06	1.9592209810070926e-06	1.9290155250928365e-07	5.981274080113508e-05	1.035582954500569e-06	7.279965643647301e-07	1.9249648630648153e-06	1.7267952898691874e-06	2.7152915208716877e-05	0.0012827907921746373	0.0001846457744250074	3.784325144806644e-06	2.69633255811641e-05	2.3966818844201043e-05	1.0366953574703075e-05
SIL1	0.0001373589620925486	5.0278427806915715e-05	8.157105912687257e-05	0.00037334937951527536	8.550400525564328e-05	0.00018881764844991267	0.00011596951662795618	0.0001966187555808574	0.001446251291781664	0.0004999171360395849	0.000194147985894233	0.00043944004573859274	0.0005063829012215137	0.00141803827136755	0.00031953147845342755	0.00014962477143853903
ARPC5	0.0007868484244681895	0.0007402420742437243	0.0004809043603017926	0.0010346597991883755	0.0009779310785233974	0.000638278666883707	0.0007456304156221449	0.000329308386426419	0.00021683040540665388	0.0004917129408568144	0.000961636018473655	0.0002518449618946761	0.00019065229571424425	0.00020616641268134117	0.0003681764646898955	0.0006708183791488409
MBP	0.0007309061475098133	0.00018777651712298393	0.0006303871632553637	0.00019357864221092314	0.00014769757399335504	0.00044997004442848265	0.0013696959940716624	1.610691811038123e-06	3.969258250435814e-05	5.63016947126016e-05	4.717010597232729e-06	0.00012342467380221933	0.0003325282596051693	6.036243576090783e-05	7.005616498645395e-05	0.0008467867155559361
LEPROTL1	0.0012001844588667154	7.633578934473917e-05	0.001151919481344521	0.0001772604009602219	0.00019690225599333644	0.00021840471890754998	0.0010113761527463794	0.00016443993081338704	0.00013394396228250116	0.0001450436539016664	0.00010753545939223841	6.132861744845286e-05	0.00021932045638095587	0.00019198813242837787	6.401365681085736e-05	0.0006900840671733022
MPEG1	2.5405196879546565e-07	1.0703607586037833e-05	9.223244035183598e-08	0.0011230679228901863	1.1363726116542239e-05	0.0007692441577091813	2.825734384259704e-07	1.2598295029420115e-07	2.4370497158088256e-06	1.2842905405818783e-08	1.7392626716628e-07	6.456148184952326e-07	1.0188919077336323e-06	7.458607342414325e-06	4.870939847023692e-07	1.0547680631134426e-06
ELN	4.425804149832402e-07	1.1271341691099224e-06	1.3315044498085626e-06	5.104184879201057e-07	0.0001438319741282612	1.0767255389509955e-06	4.127222155148047e-07	0.0002449149324093014	6.934102202649228e-06	2.500292794138659e-06	0.00014832240412943065	0.0009306416613981128	5.954982043476775e-05	2.2683118004351854e-05	0.0011074244976043701	1.1856981245728093e-06
SELP	8.551267819711939e-05	3.0797584713582182e-06	2.091773239953909e-05	7.427400561255126e-08	1.5255238395184278e-05	1.6054756315497798e-06	1.542477775728912e-06	0.0008386106346733868	9.327596899311175e-07	3.115399138664543e-08	2.772856362298626e-07	2.6204718324152054e-06	7.31171780898876e-08	1.606009573151823e-05	2.801663185891812e-07	1.880213744698267e-06
C1orf21	5.83875635129516e-06	1.7683254554867744e-05	2.6985782824340276e-05	7.557258504675701e-05	8.906456787372008e-05	3.7000852898927405e-05	0.00025199961964972317	0.00029053373145870864	9.39836445468245e-06	0.0007856682641431689	0.0001402886409778148	0.0006611506105400622	0.0005486498703248799	8.180666191037744e-05	7.790598465362564e-05	0.00018855500093195587
STX7	0.0001936112530529499	0.0004995111376047134	0.00011561380961211398	0.0005475273355841637	0.00014365407696459442	0.001093517174012959	0.0002206513745477423	0.00017516876687295735	0.00020431393932085484	0.00016479696205351502	0.00015840995183680207	0.0001863766083260998	0.0005443192203529179	0.0002763390657491982	0.00034860873711295426	0.00014047411968931556
PFN1	0.0017540112603455782	0.0014700352912768722	0.0010314661776646972	0.0011706787627190351	0.0019106618128716946	0.0006485332269221544	0.001420641434378922	0.00037049283855594695	0.0002465804573148489	0.0006147571257315576	0.00044842789066024125	0.0001905091921798885	4.940121289109811e-05	0.0003017566923517734	0.00038228038465604186	0.002120119519531727
TIAM1	0.0010687020840123296	2.9935386919532903e-05	0.00017464233678765595	0.000163854390848428	4.509126301854849e-05	0.00023061968386173248	9.968729864340276e-05	8.990045898826793e-05	8.75884961715201e-06	1.8611481209518388e-05	1.5401062682940392e-06	9.720180059957784e-06	7.136171916499734e-05	1.7643540559220128e-05	3.8859969208715484e-05	0.00015155451546888798
PPIF	0.00017515744548290968	0.0003510111419018358	0.00010703702719183639	0.0006500013987533748	0.00022541938233189285	0.00014175735122989863	0.0002817047934513539	2.54862225119723e-05	0.00018476789409760386	0.00019657307711895555	7.060903590172529e-05	0.00011616908886935562	7.193176134023815e-05	0.0003480782615952194	7.790348900016397e-05	0.00038924114778637886
SGCB	0.000182229996426031	0.00013323532766662538	6.036469858372584e-05	2.834549150065868e-06	0.0005654849228449166	2.4873266738723032e-05	0.00016376888379454613	0.00027065654285252094	2.612767457321752e-05	0.00012045988842146471	0.0008794870227575302	0.0007249396876432002	0.00011746872769435868	9.817513637244701e-05	0.0006786182057112455	0.00011298034223727882
SGCD	3.360554217124445e-07	3.227800107197254e-07	6.99499764778011e-07	6.424164098461915e-07	3.954750354751013e-05	1.0955122888844926e-06	6.092487296882609e-07	8.219327582992264e-07	1.8815342173184035e-06	3.207168219887535e-07	6.89323314873036e-06	0.0003407234908081591	6.35715841781348e-05	1.4566168829333037e-05	0.0011998587287962437	4.7257546498258307e-07
HOXD9	2.287689113700253e-07	1.013261680782307e-06	9.382614507558174e-08	1.6846881578658213e-07	3.7055455322843045e-05	2.9993839234521147e-07	2.224989970045499e-07	0.0012918314896523952	6.514956680803152e-07	1.4620829347222752e-07	3.0235929443733767e-05	2.527536344132386e-05	2.568563957083825e-07	1.2006089491478633e-05	3.8295522244879976e-05	4.6682109200446575e-07
NRROS	0.00023685654741711915	0.00010081096115754917	0.00015464973694179207	0.000503917399328202	7.03198675182648e-05	0.0005564665771089494	0.00029826583340764046	0.00046521800686605275	0.00016104562382679433	8.768965358285641e-07	1.2351043778835447e-06	2.0040649815200595e-06	7.192145403678296e-07	0.00010527303675189614	9.432156389266311e-07	0.00019803828035946935
TCF4	4.68404095954611e-06	0.00011940889817196876	7.426821412082063e-06	0.00013322239101398736	0.00014618350542150438	0.0005077070672996342	1.7730417312122881e-06	0.0014128433540463448	0.00020580406999215484	9.234783533429436e-07	0.0006143507780507207	0.0012958033476024866	0.00015895627439022064	0.00034191401209682226	0.0011126804165542126	5.792269803350791e-06
PRC1	1.6266385500784963e-05	0.0026830872520804405	4.647627520171227e-06	2.0937950466759503e-05	8.048657036852092e-05	9.993499361371505e-07	0.0001371403777739033	2.186580968555063e-05	3.0189825338311493e-05	6.289343582466245e-05	1.828115273383446e-05	3.369887053850107e-05	4.846769115829375e-06	2.09772442758549e-05	1.556054485263303e-05	3.6072986404178664e-05
GALNT18	1.0579017271084012e-06	1.4197892141964985e-06	4.166324288235046e-06	6.339125775411958e-07	8.519707625964656e-05	1.2768570059051854e-06	5.20869264164503e-07	0.0013235205551609397	1.945802296177135e-06	5.973153383820318e-05	9.953412518370897e-05	4.102375532966107e-05	2.071903963951627e-06	2.58576783380704e-05	2.705024235183373e-05	1.8782340305278922e-07
PAQR4	0.00012052798410877585	0.0005043278797529638	3.1542083434032975e-07	0.0001245849853148684	5.021033575758338e-05	3.119527946182643e-06	1.6667052477714606e-05	0.00010194348578806967	2.8363559977151453e-05	0.0001231693458976224	4.041958527523093e-05	4.607220034813508e-06	1.3629608019982697e-06	5.3516396292252466e-05	4.739170253742486e-05	0.00015004842134658247
TACC3	0.0007232293719425797	0.001184695167466998	0.0003248730208724737	0.00021679150813724846	0.00032684567850083113	4.32354245276656e-05	0.0006112028495408595	4.137550786253996e-05	1.277359297091607e-05	6.508573278551921e-06	9.79245305643417e-06	1.8057287434203317e-06	3.712506440933794e-05	1.5236470062518492e-05	2.1159667085157707e-06	0.00020543564460240304
MICAL2	0.0004068311245646328	3.454869511188008e-05	4.5159391447668895e-05	9.100584429688752e-05	0.0002057037054328248	1.5005799468781333e-05	0.00017577789549250156	8.69528012117371e-05	1.0029343684436753e-05	0.00011573042866075411	0.00023493038315791637	1.1742574315576348e-05	0.0015621378552168608	1.8225829990115017e-05	0.0011366429971531034	0.0002938408579211682
HCST	0.0005583259626291692	4.566903589875437e-05	0.0007279900601133704	0.00046796034439466894	0.00020281923934817314	0.00016515383322257549	0.001944177900440991	8.227528951465501e-07	3.763062341022305e-05	8.201138257390994e-07	1.7407103314326378e-06	1.3773011460216367e-06	4.595508926286129e-06	3.778947939281352e-05	1.0416940767754568e-06	0.0018601099727675319
C4orf48	0.0008295929292216897	0.00014344601368065923	0.0001756934798322618	0.0007106696139089763	0.0005128740449436009	0.0006278174114413559	0.00031690418836660683	0.00016993348253890872	0.0003486352215986699	0.00016317803238052875	8.494649227941409e-05	7.035004091449082e-05	1.936638909683097e-05	0.0003142867353744805	0.000834556994959712	0.0007097747293300927
SOCS2	0.0001748084177961573	1.1496746083139442e-05	5.2204479288775474e-05	1.8056152839562856e-05	6.611244316445664e-05	8.439324301434681e-05	2.5372724849148653e-05	0.0005854054470546544	1.6647127267788164e-05	0.00018782276310957968	0.00013944967940915376	0.00031536075402982533	0.00013140942610334605	5.7630011724540964e-05	8.805416291579604e-05	5.766432877862826e-05
ABI3BP	8.847924277688435e-07	3.381779833944165e-07	4.3088414258818375e-07	7.134918860174366e-07	5.555608368013054e-05	9.019595381687395e-07	6.406485226762015e-07	4.767054178955732e-06	2.320643261555233e-06	2.8936904072907055e-07	4.8046535084722564e-05	0.0018876789836212993	3.775999357458204e-05	1.8662967704585753e-05	0.00029544319841079414	2.833906478372228e-07
EFCAB14	0.00040137270116247237	0.00025584816467016935	0.0002812352904584259	0.0002914801880251616	0.00024062072043307126	0.0006014890968799591	0.00042804607073776424	0.0007282517035491765	0.00012858837726525962	0.00035220023710280657	0.00023043964756652713	0.0003581527271308005	0.0010277611436322331	0.00013105863763485104	0.00022950832499191165	0.0004104801919311285
APOA1BP	0.00031170170404948294	0.00024870867491699755	0.0003015898691955954	0.0002102438302244991	0.0003490890667308122	0.00023054349003359675	0.00027504845638759434	0.00010976248449878767	0.000800350506324321	0.0017533368663862348	0.00029861650546081364	0.000272457575192675	0.00014866626588627696	0.0009233132586814463	0.00018034153617918491	0.00040819396963343024
SFRP2	1.3051555924903369e-06	7.503899723815266e-07	3.1575377761328127e-06	1.2799551996067748e-06	9.984162170439959e-05	1.3524847872758983e-06	9.878081073111389e-07	9.72227098827716e-07	3.081071099586552e-06	3.9920521999192715e-07	2.5831184302660404e-06	0.0011407792335376143	1.4380797438207082e-05	2.5286830350523815e-05	0.001254031783901155	8.705288223609386e-07
C19orf66	0.000713877787347883	0.0003123789792880416	0.000339994381647557	0.0001870882260845974	0.0006382071878761053	0.00021977662981953472	0.0006717803189530969	0.00022559842909686267	0.0003330243634991348	0.0001161290128948167	0.00029694769182242453	0.0002535957028158009	0.0003586717648431659	0.00031628820579499006	0.000385219173040241	0.0011475476203486323
RAB10	0.0005056805675849319	0.0002545418101362884	0.00022930389968678355	0.0007139904773794115	0.0006052755634300411	0.000293015968054533	0.0002938768011517823	0.0003325321013107896	0.00034727193997241557	0.0012212921865284443	0.0003304339188616723	0.00027377138030715287	0.0005852790782228112	0.0002640016027726233	0.0003010763612110168	0.00041376680019311607
SYNPO	7.67386666211678e-07	1.3214741557021625e-05	5.184138444747077e-06	1.6795367628219537e-05	3.814856972894631e-05	3.900938463630155e-05	5.686165422957856e-07	0.0011524497531354427	2.264320573885925e-05	1.2893870916741434e-05	0.0003852061927318573	0.00025576911866664886	4.9835912250273395e-06	4.649145557777956e-05	0.0006041643209755421	1.454085690966167e-06
SF3B6	0.0004991504829376936	0.0005433048936538398	0.0005516029195860028	0.0003656869230326265	0.0009582469938322902	0.0003215376927983016	0.00035536984796635807	0.0004004497895948589	0.0003546829102560878	0.0011268738890066743	0.0005007159197703004	0.0004703279701061547	5.256044096313417e-05	0.00029952687327750027	0.00045238601160235703	0.0006209306884557009
LRP2	3.288160144165886e-08	9.109889731462317e-08	2.768233997585412e-08	3.0946644358209596e-08	4.240724138071528e-06	5.123277091456657e-08	4.189918811903226e-08	5.384360406424094e-07	1.8841815574432985e-07	0.0017516750376671553	7.06137797124029e-08	1.0469324962514293e-07	2.725435521711006e-08	1.8820339846570278e-06	2.7352461628993296e-08	3.1500714925414286e-08
EPB41L4A	1.0422058949188795e-06	2.853377372957766e-05	2.4522449166397564e-05	4.3935287408203294e-07	5.2919967856723815e-05	8.686797082191333e-05	6.820991529821185e-06	0.0008078389219008386	0.00011824057582998648	8.872722537489608e-05	6.823032163083553e-05	9.583200153429061e-05	0.0010342224268242717	7.809131784597412e-05	4.766651909449138e-05	7.172482582973316e-06
SYDE1	1.0620119610393886e-06	3.706609277287498e-06	3.448873258093954e-06	5.488725491886726e-07	8.692678966326639e-05	4.881844688497949e-07	6.933880740689347e-07	0.0002421761746518314	2.4120538455463247e-06	6.073704298614757e-06	0.0012108797673135996	0.00047591046313755214	7.81595372245647e-05	1.157778751803562e-05	0.0006996334996074438	3.53885354797967e-07
MIR497HG	4.0251230529975146e-05	4.759013609145768e-05	2.4792989279376343e-05	5.908292951062322e-05	0.00012502449681051075	2.121956458722707e-05	1.7548189134686254e-05	6.079997183405794e-05	2.726141019593342e-06	0.00016150387818925083	0.0007304122555069625	0.0006648945272900164	0.0001731471566017717	1.5640704077668488e-05	0.00012500719458330423	6.677975761704147e-05
SLPI	2.6787593014887534e-06	9.736462743603624e-06	9.377027367918345e-07	3.6532255762722343e-06	9.130426042247564e-05	1.3801781051370199e-06	4.285626346245408e-06	2.8605841180251446e-06	6.764764748368179e-07	8.07280302979052e-05	1.6354914578187163e-06	1.7445667253923602e-05	4.2375916109449463e-07	1.8453612938174047e-05	3.98850852434407e-06	5.4707661547581665e-06
CEBPD	1.2508869076555129e-05	1.1634299426077632e-06	1.49087245517876e-05	0.00042947125621140003	1.5583518688799813e-05	2.1071366063551977e-05	4.873873695032671e-05	7.15932110324502e-05	5.521987077372614e-06	0.0002533149381633848	0.00016747710469644517	0.0006731137982569635	2.6546496883383952e-05	1.712883749860339e-05	0.00014434062177315354	7.489911513403058e-05
TRH	3.17472803601504e-08	5.458014484815976e-08	2.409455568397334e-08	3.306728046936769e-08	3.915609795512864e-06	4.053617885801941e-08	3.483857113906197e-08	3.271514259495234e-08	1.8123647294032708e-07	4.207205250850166e-09	6.802511620662699e-08	9.657009769625802e-08	2.6978236533636846e-08	1.4129758483250043e-06	2.7234474231363492e-08	2.4584839053432006e-08
SFI1	0.000533812737558037	0.00011782427463913336	0.00031647892319597304	2.9128092137398198e-05	7.425754301948473e-05	6.391463102772832e-05	0.0007369955419562757	6.177694740472361e-05	4.503857053350657e-05	3.6681387427961454e-05	4.2720133933471516e-05	6.0169139032950625e-05	0.0006833471707068384	0.0001077824053936638	4.544213879853487e-05	0.0002776594483293593
