Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30	Topic31	Topic32	Topic33	Topic34
CLEC4A	4.852871597904596e-07	5.412044856711873e-07	4.454335339687532e-06	3.7214840631349944e-06	4.294412428862415e-05	2.654247168720758e-07	2.456209585943725e-05	1.2899382454634178e-05	7.234921213239431e-05	3.50088316736219e-06	6.475995064647577e-07	1.8830305634764954e-05	9.179827884508995e-07	2.455308276694268e-07	2.0117147869314067e-05	1.956231017175014e-06	1.2212295814606478e-06	2.37602671404602e-06	7.4953227340301964e-06	7.70855876908172e-06	6.848321163488436e-07	0.0002597891725599766	7.594440830871463e-06	1.3697470535589673e-07	7.361845200648531e-05	5.685032192559447e-06	0.00024704792303964496	8.283274837594945e-06	8.302709630925165e-08	5.972008693788666e-06	4.3695836211554706e-05	5.360854515856772e-07	0.0013900587800890207	5.003936166758649e-06
FAM111B	3.413430249565863e-07	6.749451841869814e-08	2.7301384761813097e-06	1.4393808100976457e-07	4.339182123658247e-05	0.002029786352068186	1.9238148070144234e-06	7.273997198353754e-06	0.0001113947801059112	4.935205311085156e-08	2.2165326640788408e-07	4.511332178935845e-07	2.227083086836501e-07	8.960670783153546e-08	1.4087014221786376e-07	6.196466983965365e-08	4.5871903608940556e-08	1.322887897003966e-07	9.045518709172029e-06	1.5938375952373462e-07	1.3459398928716837e-07	1.0108911965289735e-06	9.55109135247767e-06	1.5786064295753022e-06	0.0001155425634351559	0.0017506121657788754	1.2502023309934884e-06	5.848845830769278e-06	6.63717401039321e-08	3.817488504864741e-06	1.1127722245873883e-06	7.674379958189093e-06	2.05943479159032e-06	6.316034614428645e-06
LAIR2	1.966499985428527e-05	4.8072770653107e-08	8.395841177843977e-06	9.051461233866576e-07	2.749330087681301e-05	0.0001209353722515516	6.643108463322278e-08	6.3988468355091754e-06	5.606842751149088e-05	3.8120165299915243e-06	0.002385675674304366	1.5813913023521309e-06	4.0762111893855035e-05	0.0005403331015259027	1.0011081741367889e-07	1.4785989151278045e-05	3.8641957189611276e-08	0.00039950336213223636	6.707606371492147e-05	3.113409619004415e-08	1.3274687660214113e-07	2.0866516933892854e-05	8.559432899346575e-06	4.5086164135454965e-08	8.333510095326346e-07	2.0209686226735357e-06	2.4069402115856064e-07	5.797610810986953e-06	6.000787067250712e-08	0.00023843301460146904	4.59859883505942e-08	8.842732768243877e-09	1.9229648273721978e-07	2.989121616892021e-09
IGHV4-61	4.3083847600655645e-08	4.171350909132343e-08	2.05245055440173e-06	2.1717177389746212e-07	3.649777499958873e-05	7.77342563651473e-08	2.2700093893490703e-07	6.309979198704241e-06	6.63633254589513e-05	1.7459761636473559e-07	8.580516208667177e-08	0.0015330351889133453	2.79754118537312e-07	1.7108545762312133e-06	8.317873323449021e-08	4.8810839814450446e-08	2.4632731765450444e-07	5.5466312431917686e-08	2.8200583983561955e-06	3.389406799669814e-08	5.62553665872656e-08	7.380282340818667e-07	4.964816980645992e-06	5.090168542665197e-06	5.82452594244387e-06	6.170645150405107e-08	3.0320421728902147e-07	3.1234740163199604e-06	7.150404712774616e-07	7.148245231292094e-07	8.202823664760217e-08	7.457541251199018e-09	2.6156119048437176e-08	2.5262829606020887e-09
NUDT14	0.00035696467966772616	0.0007644027937203646	0.00011444095434853807	5.65589580219239e-05	0.0001632964558666572	0.0004950850852765143	1.1785669812525157e-05	0.0004028501862194389	0.00020072389452252537	0.0001246376777999103	0.00031167350243777037	4.9400772695662454e-05	0.00033838217495940626	0.00022521874052472413	0.0001770040689734742	0.0005672601400874555	0.0006207646219991148	0.000550003838725388	8.016369974939153e-05	6.413942901417613e-05	8.864371193340048e-05	0.00018651114078238606	0.0001516823540441692	3.2359122997149825e-05	9.445442265132442e-05	0.00028897548327222466	0.00040587433613836765	0.0005190487718209624	0.0007089637801982462	0.0004004399525001645	0.0005814218893647194	0.0010386956855654716	0.0003543804050423205	0.0006501167663373053
PLAU	1.5800651453901082e-05	1.3777980711893179e-05	1.5579742466798052e-05	7.138652335925144e-07	8.223027543863282e-05	1.5145550605666358e-05	0.0010334961116313934	4.231421553413384e-05	0.00014947945601306856	3.8637338661828835e-07	3.0648675419797655e-06	4.1583749066376186e-07	2.6959644401358673e-06	7.161243615882995e-07	8.581066504120827e-05	7.15476062396192e-07	2.866284194169566e-05	5.662624607793987e-05	1.3095282156427857e-05	0.001583761302754283	0.000274871097644791	3.2603449653834105e-05	1.9910556147806346e-05	9.811365453060716e-05	9.855904181677033e-07	7.903629921202082e-06	5.493661592481658e-05	1.689649980107788e-05	6.747693259967491e-05	1.2633680853468832e-05	0.00022558565251529217	2.148629931753021e-07	0.00048725493252277374	8.770122121859458e-07
AIF1L	3.369434011801786e-07	1.6078161024779547e-07	4.11644850828452e-06	1.6437000738278584e-07	5.657682413584553e-05	3.5109238183395064e-07	4.307739800424315e-06	1.7631842638365924e-05	0.00011435308260843158	9.729518524181913e-08	3.4078826161021425e-07	4.57886781077832e-05	2.822986289174878e-07	3.3100417340392596e-07	1.5928721040836535e-05	6.157941925266641e-07	0.0008982978761196136	1.5875530152698047e-06	2.2741392967873253e-05	9.516810450804769e-07	7.485345577151747e-06	4.785506462212652e-07	1.672544385655783e-05	7.12657201802358e-05	8.855508895067032e-07	0.00016735101235099137	0.0002172787644667551	9.360449439554941e-06	3.0578477890230715e-05	2.1633345568261575e-06	0.0005524609587155282	0.0007478920160792768	1.050173636940599e-06	3.680034205899574e-05
FBLN1	1.1165303703819518e-06	2.9717120924033225e-06	5.2554842113750055e-05	6.076160389056895e-06	0.00017140328418463469	3.1549773211736465e-06	0.0025711182970553637	7.682343129999936e-05	0.000402563251554966	9.521938295620203e-07	1.297048356718733e-06	2.983322929139831e-06	1.6204327266677865e-06	2.5967669898818713e-06	0.0010722295846790075	2.803174083965132e-06	5.839848995492503e-07	8.237117299358943e-07	2.0561999917845242e-05	0.0004310386430006474	0.0019489043625071645	2.586948312455206e-06	0.00012919501750729978	1.919837450259365e-05	1.4284782992035616e-06	2.3370699636870995e-05	8.554123633075505e-05	2.8200443921377882e-05	3.47000386682339e-05	1.5710191291873343e-05	6.105915417720098e-06	5.6840535762603395e-06	6.472771474363981e-07	2.571861159594846e-06
DNM3OS	4.253702741152665e-07	8.392974564230826e-07	1.368023094983073e-05	8.201840273613925e-07	0.0001019422197714448	6.143171731309849e-07	0.0023923958651721478	4.511986844590865e-05	0.00019781850278377533	2.1224745694325975e-07	3.033704274457705e-07	3.7981119476171443e-06	2.1004076700137375e-07	3.570607759684208e-06	0.0002808687277138233	6.162642307572241e-07	3.704594564624131e-05	4.4798025555792265e-07	2.042829873971641e-05	0.0005679597961716354	0.00029477995121851563	7.902926313363423e-07	2.679274075489957e-05	5.1158847782062367e-05	2.3285645056603244e-07	8.486915703542763e-07	8.056123988353647e-06	1.3356270756048616e-05	1.0653446224750951e-05	4.423316568136215e-06	0.00019680388504639268	5.689105933015526e-07	2.1581877263088245e-07	4.5913336066405463e-07
MAP1A	1.5418676184708602e-06	0.00020338344620540738	0.0002807579003274441	5.3107978601474315e-06	0.00011366238322807476	8.531962407687388e-07	0.0005510171758942306	0.0002276516315760091	0.00024296349147334695	3.9338051465165336e-06	2.3107684228307335e-06	7.603547146572964e-06	1.024422317641438e-06	6.772200322302524e-06	0.0008070449694059789	7.012035439402098e-06	5.367943685996579e-06	3.8274720282061026e-06	3.215972174075432e-05	0.0007580627570860088	0.001065423246473074	0.002023458480834961	3.0144419724820182e-05	0.0006080413004383445	8.90228193384246e-07	2.6084164346684702e-05	4.070497379871085e-05	7.436928717652336e-05	0.00029250254738144577	1.5039405298011843e-05	1.4161161743686534e-05	2.949372628791025e-06	1.183883000521746e-06	1.4087849194766022e-05
