Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22
CLEC4A	3.412685032344598e-07	3.416666004341096e-05	1.989771362786996e-06	5.749009687860962e-06	2.8605215902643977e-06	3.8306762917272863e-07	2.9124192224116996e-05	1.147003877122188e-05	1.4801801171415718e-06	0.0013792674290016294	7.318321422644658e-06	7.584009290440008e-05	5.309379389473179e-07	1.4806312719883863e-05	2.6906202492682496e-06	4.010749398730695e-05	2.856839955711621e-06	7.722426289547002e-07	8.005931704246905e-07	1.49285260704346e-05	1.265596984012518e-05	2.151833541574888e-06
FAM111B	2.0559878066706005e-06	8.235073210016708e-07	2.3150900233304128e-05	2.7618543185781164e-07	8.229571903939359e-06	2.7975868732710296e-08	4.276848358131247e-06	5.237530785962008e-06	3.461974529272993e-07	4.230081231071381e-06	8.892851042219263e-07	0.00013615393254440278	1.5463305658158788e-07	2.0677392967627384e-05	2.0389447854540776e-06	6.351354386424646e-06	1.273665247936151e-06	2.103528458974324e-06	3.524721250869334e-05	8.337480039699585e-07	7.983197747307713e-07	0.0020726285874843597
LAIR2	6.765436921796208e-08	3.156331729314843e-08	3.879161170061707e-08	9.061146499789174e-08	1.13768079401666e-08	3.997081137185887e-07	6.310764547379222e-06	3.389697303646244e-05	6.088276131777093e-05	1.9844065946017508e-07	1.08765547679468e-07	1.156518578682153e-06	1.1934995200135745e-05	9.914743714034557e-06	0.0003400531131774187	1.4945400153010269e-06	1.7523681208331254e-06	0.0022755013778805733	0.00015701778465881944	7.051422926451778e-06	4.493701766250524e-08	7.825139618944377e-06
IGHV4-61	1.0311530473927633e-07	2.3529342740857828e-07	2.168282087211537e-08	8.853854183143994e-08	1.2359861578659093e-08	1.4445380891459081e-08	3.831953563349089e-06	3.5082828162558144e-06	2.2300638136130146e-07	2.9102166010375186e-08	7.777182872814592e-06	5.374893703447015e-07	4.451109134606668e-07	9.372362910653464e-06	1.3462106096540083e-07	0.0012215202441439033	2.000263521040324e-05	6.300986683527299e-07	6.77366500667631e-08	4.764061429796129e-07	1.034574665936816e-07	9.785549082153011e-07
NUDT14	4.6242061216617e-05	0.0006043091416358948	0.0008120936690829694	0.0001352111721644178	0.00070671591674909	0.0007601333200000226	0.00045462901471182704	0.00013477433822117746	0.00023837391927372664	0.00034784586750902236	7.109819125616923e-05	9.102145850192755e-05	0.000734920147806406	0.00017145066522061825	0.00037275903741829097	4.725170219899155e-05	9.998077439377084e-05	0.00026482707471586764	0.00043901969911530614	8.762576908338815e-05	2.8173717510071583e-05	0.0003390231286175549
PLAU	9.667297854321077e-05	0.00011427370918681845	1.2720404356514337e-06	0.0006475485279224813	4.5919171043351525e-07	1.0979077842421248e-06	1.786099892342463e-05	7.551524049631553e-06	8.46544025989715e-07	0.0004710709326900542	0.00018972644465975463	1.5659775272069965e-06	1.509012327005621e-05	6.325826689135283e-05	6.54614923405461e-05	1.7379804830852663e-06	2.2509968857775675e-06	2.6384025204606587e-06	1.950196565303486e-05	1.4818484714851365e-06	0.0015310377348214388	4.758915565616917e-06
AIF1L	8.594989049015567e-05	0.0007497695623897016	0.0011069528991356492	7.887694664532319e-06	1.637887726246845e-05	1.5152076230151579e-05	1.232878912560409e-05	1.3247976312413812e-05	1.934192965791226e-07	1.8480376411389443e-06	2.108823900925927e-05	1.3227408999227919e-06	4.7248562395907356e-07	4.2446226871106774e-05	8.204024197766557e-07	1.1223086403333582e-05	0.0001957687345566228	3.896415137205622e-07	6.559158691743505e-07	3.547149844962405e-07	1.2086375136277638e-06	0.00019136261835228652
FBLN1	5.074294676887803e-06	2.580166437837761e-06	1.1513563549669925e-05	0.001141387620009482	1.3069386568531627e-06	2.7518649403646123e-06	4.884667941951193e-05	1.698791493254248e-05	1.1037933518309728e-06	5.824993536407419e-07	0.0020940096583217382	2.9105071917001624e-06	2.0483309981500497e-06	0.00022230019385460764	6.323507022898411e-06	1.5759920870550559e-06	8.368499948119279e-06	2.1743719571531983e-06	1.4339368590299273e-06	2.098690856655594e-05	0.0011352994479238987	1.8348522644373588e-05
DNM3OS	2.795520231302362e-05	0.00010985218978021294	4.0169936710299226e-07	0.00043662768439389765	3.5989626212540315e-07	2.810223122651223e-06	2.4108952857204713e-05	1.4892407307343092e-05	2.6229449190395826e-07	1.9318973443205323e-07	0.0005563745507970452	6.402151484508067e-07	1.485694838265772e-06	9.538744780002162e-05	2.5293036287621362e-06	2.097534661515965e-06	1.4308388927020133e-05	2.389410155956284e-06	2.7014831971428066e-07	1.6092441001092084e-05	0.0014131373027339578	6.6034783685609e-07
MAP1A	0.0005794793833047152	6.260303052840754e-06	4.0752374843577854e-06	0.0009725571726448834	1.042612439050572e-05	0.00011571789946174249	0.00011294851719867438	2.17661199712893e-05	5.3073772505740635e-06	5.981226877338486e-06	0.0007994422339834273	2.0979780401830794e-06	0.00021595430735033005	6.117476732470095e-05	1.7473843399784528e-05	0.0006322984118014574	6.096731794968946e-06	7.654763066966552e-06	2.3372265332000097e-06	9.006956679513678e-05	0.0006166431703604758	1.2673715900746174e-05
