Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10
CDCA2	2.945364713013987e-06	4.445086233317852e-06	5.0148892114521004e-06	5.304500064085005e-06	3.1818378829484573e-06	9.910558583214879e-05	7.683366334276798e-07	1.0401684448879678e-05	0.00015018918202258646	8.684991144036758e-07
IRAK3	1.0333797035855241e-05	0.0005162633024156094	5.732266345148673e-06	0.00037865221383981407	5.091050115879625e-05	1.2188331311335787e-05	2.913399839599151e-06	0.00017219186702277511	2.0486372704908717e-06	0.0001962548412848264
SLC44A1	0.0005447881994768977	0.00020757144375238568	0.000858717190567404	0.0002559129206929356	7.123265822883695e-05	3.209352871635929e-05	0.00011227613140363246	0.0010869617108255625	0.0003081882023252547	0.0004246168246027082
TRAF4	0.0001090250225388445	2.0791430870303884e-05	0.0001421013002982363	9.826877067098394e-05	0.0007748119533061981	0.00012343634443823248	9.396352106705308e-05	0.00012375433288980275	0.00028124908567406237	7.409074169117957e-05
EDIL3	1.3055569070274942e-06	6.111304173828103e-07	5.756671271228697e-06	0.00014792625734116882	1.0111974688697956e-06	4.246044511546643e-07	3.140562796488666e-07	0.0014190690126270056	6.629089170928637e-07	0.00022650737082585692
RPL10	0.0009318758966401219	0.0006766485748812556	0.0014195796102285385	0.0007352108368650079	0.0024322106037288904	0.0008454249473288655	0.0032502682879567146	0.0007091723382472992	0.0013876568991690874	0.0015756185166537762
CST7	0.0011760982451960444	1.4389505849976558e-05	6.857253538328223e-06	1.2121647614549147e-06	3.073138577747159e-05	0.0011714183492586017	0.000760125694796443	2.7901762223336846e-05	1.057028171658203e-07	1.3499421811502543e-06
HIGD1B	5.716398163713166e-07	3.575696041480114e-07	9.584995268596685e-07	6.82250220052083e-06	6.22238076175563e-07	2.5249755708500743e-07	1.1371928110293084e-07	1.582783806952648e-05	6.890413715154864e-07	0.0016054271254688501
PPP3CC	0.0009000774589367211	7.712656224612147e-05	0.000388417043723166	0.00019588833674788475	0.0005718061584047973	0.00043866364285349846	0.0005882332334294915	0.00016034251893870533	0.00011151503713335842	0.000140691437991336
NTRK2	1.398466520186048e-05	3.025255921329517e-07	3.137427256660885e-06	3.2606744753138628e-06	2.096827074637986e-06	2.0896148271276616e-05	7.938238582028134e-07	3.3262673241551965e-05	2.349397800571751e-05	0.000693229609169066
SIL1	0.0003035922418348491	0.00035771518014371395	0.0014478422235697508	0.000197644330910407	4.261163849150762e-05	0.00015457524568773806	9.895140829030424e-05	0.00032143332646228373	0.000478900212328881	0.0002994911919813603
ARPC5	0.000403275596909225	0.001008132821880281	0.0002089973568217829	0.0003337048692628741	0.0006022957968525589	0.000764865311793983	0.0006536365835927427	0.0003397752298042178	0.00046235613990575075	0.000654803414363414
MBP	0.001482721301726997	0.00020328919345047325	3.842020305455662e-05	2.9406151043076534e-06	0.0004669274785555899	0.0005140663706697524	0.000977167277596891	8.805736433714628e-05	7.560895755887032e-05	4.1388288082089275e-05
LEPROTL1	0.00043425848707556725	0.00019489391706883907	0.00013813286204822361	0.00017000746447592974	0.00013333209790289402	0.0006014769314788282	0.001277503906749189	6.962798943277448e-05	0.0001521606754977256	0.00011647443898255005
MPEG1	3.623587474521628e-07	0.0011190671939402819	4.049296421726467e-06	2.568062029695284e-07	0.0006211107247509062	3.4035704743473616e-07	1.4484268717751547e-07	3.5661921060636814e-07	6.023918075470647e-08	3.955946112910169e-07
ELN	2.22363019020122e-06	7.662804364372278e-07	1.1359065865690354e-05	0.000239915432757698	1.5008716900410946e-06	1.4715192264702637e-06	4.3779130010079825e-07	0.001168639282695949	3.6641129099734826e-06	0.0002498907269909978
SELP	5.515520115295658e-06	1.7341935176773404e-07	1.4825478729108e-06	0.0008088233298622072	1.5593657735735178e-05	2.587731614767108e-05	2.6809060727828182e-05	2.276753718888358e-07	7.637638788082768e-08	1.8058725572700496e-06
C1orf21	0.0008549084304831922	6.351883348543197e-05	1.6234351278399117e-05	0.00028191774617880583	7.347517566813622e-06	1.6377473002648912e-05	7.950253348099068e-05	0.00011092040222138166	0.0007187993614934385	0.0002879197127185762
STX7	0.00034014772973023355	0.0005599032738246024	0.00020286293874960393	0.00018086188356392086	0.0013671666383743286	0.00014898560766596347	0.00015134608838707209	0.0003678593202494085	0.00020533945644274354	0.0001648487086640671
PFN1	0.0005202103056944907	0.001134167076088488	0.00025115287280641496	0.00037742473068647087	0.0008645919733680785	0.0024992849212139845	0.001316056470386684	0.0003207928384654224	0.0005715721054002643	0.000353839248418808
TIAM1	0.0004900055355392396	0.00017959690012503415	9.392851097800303e-06	9.060261072590947e-05	1.4580570677935611e-05	0.0004059037019032985	0.00034670496825128794	3.961969196097925e-05	2.059023427136708e-05	1.2829613297071774e-05
PPIF	0.00013174467312637717	0.0005956943496130407	0.00020605482859537005	2.7080659492639825e-05	0.00015051224909257144	0.00041409136611036956	0.0001786548673408106	6.835710519226268e-05	0.00018588754755910486	9.221843356499448e-05
SGCB	8.910176256904379e-05	3.2309787911799503e-06	3.21025654557161e-05	0.00026923755649477243	9.138967288890854e-05	0.00017526991723570973	9.987212979467586e-05	0.0006694625481031835	0.00011744366929633543	0.0006588003598153591
SGCD	2.1580003704002593e-06	3.0392840244530817e-07	4.522220024227863e-06	9.993990488510462e-07	6.572209372279758e-07	1.767453312595535e-07	8.333889240930148e-07	0.0012035822728648782	7.145586664591974e-07	5.698439053958282e-05
HOXD9	1.3723254141950747e-06	1.7038642852185149e-07	1.0029125405708328e-06	0.0012510438682511449	1.5313627272917074e-06	5.999399945721962e-07	8.763742442852163e-08	3.596569149522111e-05	3.1416212209478545e-07	2.0086454242118634e-05
NRROS	0.0005230489769019186	0.0005431175814010203	0.0001593925553606823	0.00045158836292102933	0.00034789086203090847	0.00020272730034776032	0.00019731867359951138	5.148302193447307e-07	1.7807348058340722e-06	3.091131247856538e-06
TCF4	1.9087463442701846e-05	0.00014450453454628587	0.00022627021826338023	0.0013955937465652823	0.0006282567628659308	7.697239198023453e-06	1.6861640688148327e-06	0.0011821341468021274	1.0341992492612917e-05	0.0006304805865511298
PRC1	2.0113819118705578e-05	1.5606716260663234e-05	3.240294972783886e-05	4.104941035620868e-05	4.7021720092743635e-05	0.00011352905858075246	3.860244760289788e-05	1.1991612154815812e-05	0.00020085659343749285	1.666965545155108e-05
GALNT18	1.4937457990527037e-06	7.856868933231453e-07	2.1913920136285014e-06	0.0012931020464748144	2.025447656706092e-06	2.985030391755572e-07	7.282984597622999e-07	2.0651785234804265e-05	5.1058901590295136e-05	6.067210415494628e-05
PAQR4	7.276355063368101e-06	0.00010712883522501215	3.301099786767736e-05	0.00010299652785761282	1.3851839867129456e-05	0.00030229424010030925	6.864585429866565e-06	4.4579774112207815e-05	0.00012255896581336856	1.2594168765645009e-05
TACC3	0.00011722518684109673	0.00020893794135190547	1.1198866559425369e-05	4.725347753264941e-05	0.00016951438738033175	0.0004538843932095915	0.0005156768602319062	4.030392574350117e-06	5.691109981853515e-05	4.135240033065202e-06
MICAL2	0.00039979201392270625	8.106261520879343e-05	9.417433830094524e-06	8.572606020607054e-05	8.707296728971414e-06	0.0004426347732078284	0.0001222961291205138	0.001116484054364264	0.00027167631196789443	0.0001401382323820144
HCST	0.001022445154376328	0.00043432944221422076	3.5658813430927694e-05	1.6049433497755672e-06	0.00013736820255871862	0.0012613353319466114	0.001267258427105844	1.5654453591196216e-06	9.435841548111057e-07	1.2472680737118935e-06
