Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26
IRAK3	9.114689601119608e-05	3.043058995899628e-06	0.00024458052939735353	5.8316136346547864e-06	1.0164077139052097e-05	4.5089209379511885e-06	0.00012004729069303721	0.0005321986973285675	5.954389780526981e-05	3.68925066140946e-05	2.248059217890841e-06	0.0004053198790643364	0.00031054564169608057	1.2384671208565123e-05	2.961863901873585e-05	2.6119253107026452e-06	0.00022519547201227397	4.9750447942642495e-05	0.00016931621939875185	3.62712744390592e-05	1.5704459883636446e-06	2.0550237422867212e-06	3.3775944757508114e-05	3.9955491956789047e-05	4.002816785941832e-05	8.751565019338159e-07
SLC44A1	0.0003168301482219249	4.051179712405428e-05	0.00023602064175065607	0.0001495771575719118	0.00011343137884978205	0.0009052903624251485	0.00015799042012076825	0.00019107316620647907	4.7608878958271816e-05	4.6115015720715746e-05	7.017723692115396e-05	0.0002636269200593233	0.00044213247019797564	7.560532685602084e-05	0.0001905628014355898	0.000152692649862729	0.0009426982142031193	0.00025858249864540994	0.0011107794707641006	0.00016675230290275067	0.0003509670787025243	0.00033171140239574015	0.00013243939611129463	0.00044490303844213486	0.0003340174735058099	4.0013997931964695e-05
TRAF4	0.00014022224058862776	0.0001690211211098358	0.00018165609799325466	8.160192373907194e-05	0.0009180536144413054	0.00013391506217885762	5.2289538871264085e-05	1.0782158824440558e-05	0.00039267601096071303	0.0002615664270706475	8.717911259736866e-05	8.971839997684583e-05	6.762671546312049e-05	7.362087490037084e-05	0.0002689019020181149	0.00010894726437982172	0.0002147359773516655	9.930682426784188e-05	0.0001271297223865986	3.7333280488383025e-05	0.0002847159339580685	9.21326209208928e-05	0.001985015347599983	7.746440678602085e-05	0.00021930936782155186	5.2359249821165577e-05
EDIL3	7.515946344938129e-05	3.059966786622681e-07	1.9004404748557135e-05	2.1654854265307222e-07	1.289282226935029e-05	1.0980313618347282e-06	0.0003972316044382751	2.611706122479518e-07	7.668819534956128e-07	3.751466692847316e-07	5.141972678757156e-07	0.00016927329124882817	4.546168929664418e-05	5.552483344217762e-07	0.00045459013199433684	1.6738244994485285e-06	7.192350312834606e-05	7.500540959881619e-05	0.0014314360450953245	3.129618926323019e-05	1.424866411525727e-07	2.1389414541772567e-06	2.73020782515232e-06	2.3697166398051195e-05	1.8137365259462968e-05	6.038916922079807e-07
RPL10	0.0010038294130936265	0.00039444127469323575	0.0025438826996833086	0.0024263241793960333	0.0013985743280500174	0.0012139861937612295	0.0007872027927078307	0.00047803911729715765	0.002311972202733159	0.0006723119295202196	0.006988951470702887	0.00045760368811897933	0.0015058252029120922	0.001676872605457902	0.0009169127442874014	0.002247786847874522	0.0014023142866790295	0.0011803593952208757	0.000611245515756309	0.0012591567356139421	0.0010577802313491702	0.002074547577649355	0.0011883560800924897	0.0007801459869369864	0.00010446363012306392	0.0011818897910416126
CST7	6.095975186326541e-05	1.874030385806691e-05	1.208665253216168e-06	0.00013861955085303634	1.0734132729339763e-06	2.9117584290361265e-06	5.210837343838648e-07	1.2252256965439301e-05	1.1048716260120273e-05	0.0005626743077300489	4.369865928310901e-05	5.331442025635624e-07	1.0942430890281685e-06	0.003042669501155615	5.990976205794141e-05	0.0017434313194826245	8.622345194453374e-05	0.00014776704483665526	2.268725620524492e-05	6.561602640431374e-05	4.019441135483248e-08	0.0017915808130055666	5.498075552168302e-05	8.981426799437031e-05	1.7000704701786162e-06	0.00197710026986897
HIGD1B	5.168898496776819e-05	4.373863191631244e-07	6.289285920502152e-06	9.723078875367719e-08	1.0996745913871564e-05	3.469244234111102e-07	0.0035752723924815655	2.0820132817789272e-07	3.1236376685228606e-07	9.677201973090632e-08	1.5272482301043055e-07	1.0002257795349578e-06	6.401933205779642e-07	3.658177831766807e-07	8.39555559650762e-06	4.082750990619388e-07	4.2667969069043465e-07	1.4019257832842413e-05	3.7379984405561117e-06	1.0837108675332274e-05	9.716114135471798e-09	6.077528951209388e-07	8.601139711572614e-07	1.3256605598144233e-05	5.175055548534147e-07	1.362529076232022e-07
PPP3CC	0.00023661939485464245	4.5263266656547785e-05	0.00011303598148515448	0.0007431908161379397	4.049611379741691e-05	0.0004120615776628256	0.00020836613839492202	7.951648876769468e-05	0.0007139220251701772	0.00035206813481636345	0.00019651273032650352	0.0001985732960747555	0.00013255112571641803	0.0006685329717583954	0.00018271227600052953	0.000297641905490309	0.00019160860392730683	0.0007031530258245766	0.00014075175567995757	0.0003354957152623683	0.00010731701331678778	0.0010055555030703545	0.00020084039715584368	0.00033940840512514114	0.0012493814574554563	0.0006768438033759594
NTRK2	0.00012007987243123353	3.899046078004176e-06	1.1648629879346117e-05	1.2152327144576702e-06	0.0005999700515531003	9.843618045124458e-07	0.0012531373649835587	1.5690896759679163e-07	4.7460918040087563e-07	4.033573350170627e-05	3.4825507100322284e-06	1.1515991218402633e-06	0.0004223441646900028	2.191274916185648e-06	1.0390574971097521e-05	1.2533540711956448e-06	6.029563337506261e-07	1.453639106330229e-05	3.0879418773110956e-05	4.043843728140928e-05	1.1862008250318468e-05	3.833638857031474e-06	3.042016714971396e-06	1.5281246305676177e-05	2.322123236808693e-06	6.897618277434958e-06
SIL1	0.00015782519767526537	5.173814497538842e-05	0.00018142996123060584	8.964910375652835e-05	0.00036520519643090665	0.0015324882697314024	0.00018810150504577905	0.00036987621570006013	2.6533180061960593e-05	0.00016978128405753523	7.878217002144083e-05	0.00020229173242114484	0.00044175187940709293	0.00015539854939561337	0.00022177041682880372	0.0004205488949082792	0.00034115201560780406	0.00027243036311119795	0.0003350388433318585	7.872607238823548e-05	0.000542464607860893	6.497739377664402e-05	0.00014057985390536487	0.00010329109500162303	0.0002802088565658778	9.432641672901809e-05
