Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30
MS4A4A	0.0016273765359073877	1.3383872676797637e-08	4.093143104455521e-07	5.642969881591853e-06	3.517947334330529e-05	4.0360365005653875e-07	2.3183474695542827e-07	5.312707571647479e-07	1.5699779964961635e-07	1.7633564652896894e-07	1.4521313573823136e-07	7.259936410264345e-06	7.250133421621285e-06	2.0385508037179534e-07	0.0001644565345486626	1.3306008384006418e-07	1.6733014263081714e-06	6.538894012919627e-06	2.4591733449597086e-07	1.6645900302592054e-07	1.610503090887505e-06	1.618605978137566e-07	1.1621061275945976e-05	5.897156734135933e-05	1.457376765756635e-05	8.219710252888035e-06	1.257129838450055e-06	9.351221706310753e-06	6.176149327075109e-06	2.481024921507924e-06
KIF4A	3.09383210606029e-07	2.8887283676226616e-08	5.51826587980031e-07	4.297861778468359e-06	1.242630673914391e-07	2.0362765553727513e-06	1.209443212246697e-07	6.639934895247279e-07	3.122748921668972e-07	5.757989640642336e-08	7.002491742014172e-08	7.915404239611235e-06	4.280349912733072e-06	1.0894164148567143e-07	3.772746595132048e-07	3.7001463226715714e-08	1.5312394907596172e-06	3.359418542459025e-06	5.4402370608386263e-08	3.6444032502913615e-07	2.533010103888955e-07	2.4853436116245575e-05	9.116231012740172e-06	1.60395084094489e-05	1.0392082913313061e-05	9.900282748276368e-06	0.002375619253143668	6.046124326530844e-06	1.0307226148142945e-06	1.442210759705631e-06
CPNE5	2.737645218076068e-06	7.423527108585404e-07	1.1430397535150405e-05	6.436945568566443e-06	1.0894018487306312e-06	0.0006064674234949052	1.5194366824289318e-05	2.9866923796362244e-06	5.475600346471765e-07	2.504222607058182e-07	1.4391224567589234e-06	1.2239102943567559e-05	7.523605290771229e-06	1.6402778783231042e-05	5.410371613834286e-06	1.4681750144518446e-06	1.5802872894710163e-06	1.8547592844697647e-05	3.350212409714004e-06	0.001306881313212216	0.00026792939752340317	1.213977839142899e-06	0.00011630119843175635	9.471858356846496e-05	8.789512503426522e-05	0.00022356708359438926	1.5202587064777617e-06	1.1543079381226562e-05	7.786145943100564e-06	0.0027982774190604687
FAM92B	2.5311817353212973e-07	4.803596187485937e-09	6.17127824398267e-08	3.069352942475234e-06	9.807401823991313e-08	1.8601564732989573e-08	9.384235255538442e-08	1.7134922813966114e-07	2.2583746428495033e-08	3.6027376637548514e-08	6.852823020153664e-08	3.979685970989522e-06	4.179980805929517e-06	4.266259523433291e-08	2.669459888693382e-07	1.6525808277378928e-08	6.22208489176046e-08	2.630580183904385e-06	3.168504036921149e-08	4.090318483918054e-08	5.0946653118444374e-08	4.685033516693693e-08	5.974215127935167e-06	3.0421395422308706e-05	8.705298569111619e-06	8.224335942941252e-06	3.537794057706378e-08	5.329709438228747e-06	1.0763131967905792e-06	0.0035878976341336966
TNFRSF17	3.8460296991615905e-07	1.4071863674303131e-08	1.2455019771095976e-07	5.104040155856637e-06	2.0942361800280196e-07	3.1396194088983975e-08	1.866341392542381e-07	9.61886826189584e-07	8.7991132602383e-08	9.195119332616741e-08	3.1756067642163543e-07	1.3308532288647257e-05	5.2875629990012385e-06	3.3942092159122694e-07	0.00034905868233181536	3.117392566309718e-08	2.000468555252155e-07	4.514261036092648e-06	6.10599215633556e-08	0.000420176365878433	7.775627608452851e-08	6.935546537079063e-08	0.00037692885962314904	5.0373233534628525e-05	2.328668961126823e-05	0.0006855394458398223	7.037845506374651e-08	8.235634595621377e-06	1.0316342013538815e-05	0.006260202266275883
IGLV3-10	1.763477541771863e-08	1.9314023713690176e-09	3.7956322529453246e-08	2.878297436836874e-06	9.15129945155968e-08	1.786869674447189e-08	7.973680027362207e-08	1.8506332466472486e-08	1.729356569057927e-08	3.030472228715553e-08	5.250508294807332e-08	3.7021961816208204e-06	2.9214406822575256e-06	2.755374062246574e-08	2.0592092653259897e-07	1.563440932272897e-08	1.7987474620895227e-08	2.299279685757938e-06	2.9909863030752604e-08	3.3425489931460106e-08	4.429080746604086e-08	4.4873981863702284e-08	3.959188234148314e-06	7.197968898253748e-06	7.73194642533781e-06	2.8478680178523064e-06	2.9634140474854576e-08	4.927078407490626e-06	5.640642370963178e-07	9.627033392689555e-08
CDCA2	1.079131948245049e-07	1.1455781532276887e-05	8.442338526037929e-07	3.929090780729894e-06	2.872663117159391e-06	2.4595863123977324e-07	2.7671828206621285e-07	9.927672408593935e-07	4.3665787075042317e-07	3.3930637073353864e-06	1.2318395192778553e-07	3.6916229873895645e-05	6.929692517587682e-06	2.5893154997902457e-07	3.1783946496943827e-07	2.7830060389533173e-07	3.718150537679321e-06	3.4842655622924212e-06	7.301707682927372e-08	6.542709343193565e-07	6.661147722297756e-08	1.0111987194250105e-06	4.209529288345948e-05	9.295118616137188e-06	1.2115082427044399e-05	5.546742158912821e-06	0.002694018417969346	6.617016879317816e-06	9.283920121561096e-07	3.197725675363472e-07
IRAK3	0.00046088380622677505	1.466308958697482e-06	0.00039481528801843524	9.307464097219054e-06	0.0008586875046603382	0.0003902228199876845	3.832695074379444e-05	8.311210876854602e-06	8.553585075787851e-07	6.322161425487138e-07	0.0003363990690559149	1.233941839018371e-05	5.119965862832032e-05	3.983842361776624e-06	5.705846888304222e-06	6.056298843759578e-06	7.586037827422842e-05	1.2906533811474219e-05	1.1211101082153618e-05	4.2736272007459775e-05	0.00019607009016908705	6.998620665399358e-05	2.4653096261317842e-05	2.5389679649379104e-05	4.019827611045912e-05	2.4602783014415763e-05	1.2285119737498462e-05	4.162878030911088e-05	1.7119782569352537e-05	3.2706109323044075e-06
SLC44A1	0.0001832482812460512	0.00031680212123319507	0.0008342918590642512	0.00028947609825991094	0.00018560720491223037	0.0002647438959684223	9.979636524803936e-05	3.7055331631563604e-05	5.967410470475443e-05	0.0005063895951025188	0.0006257952190935612	7.505346002290025e-05	0.0003315596841275692	0.00011813775199698284	0.00011885768617503345	0.00011609363718889654	0.0011059498647227883	8.702563354745507e-05	0.00016335173859260976	5.3371717513073236e-05	0.0009380323463119566	0.0001343203621217981	0.00013863208005204797	0.00036392893525771797	0.00018483375606592745	0.00015920124133117497	5.721190609619953e-05	0.0001362874172627926	0.0003001989971380681	0.0009320246172137558
TRAF4	1.1595615433179773e-05	0.00029556656954810023	0.00020290551765356213	2.2144382455735467e-05	1.4699092389491852e-05	9.059688454726711e-05	0.00012484304897952825	0.000164005919941701	4.206610537949018e-05	2.7018495529773645e-05	5.94233424635604e-05	8.316937601193786e-05	0.00021587469382211566	0.00011766661918954924	0.002587897004559636	9.630817658035085e-05	0.0001225803280249238	0.0001354989071842283	0.00011063003330491483	0.0005871845060028136	0.0002072282077278942	4.9215763283427805e-05	0.00011987000470981002	8.802291995380074e-05	0.0003212631563656032	6.429057975765318e-05	0.0002140638534910977	3.130723416688852e-05	7.24468263797462e-05	0.00014303522766567767
