Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30	Topic31	Topic32
CLEC4A	5.710647747037001e-05	2.249881987381741e-07	5.238314315647585e-06	2.9890757105022203e-06	3.157144305987458e-07	7.127385288185906e-06	5.676972705259686e-06	7.969409665520288e-08	1.2235715075803455e-05	1.1345055099809542e-06	9.221911341228406e-07	8.745635682316788e-07	0.0011175136314705014	1.2103856533940416e-05	4.473502485780045e-06	2.47600837610662e-06	1.1324615343255573e-06	1.1704497637765598e-07	2.9488014661183115e-06	2.628793299663812e-05	7.176005055953283e-06	5.088733132652123e-07	6.361256237141788e-05	1.8054702195513528e-06	7.772393360028218e-07	6.982815193623537e-06	1.1579438250919338e-05	4.099343641428277e-06	7.567619832116179e-06	1.088854423869634e-05	0.0025419609155505896	1.7453090549679473e-05
FAM111B	8.749570406507701e-05	5.431424483504088e-07	1.6290351823045057e-06	1.7027972489813692e-06	1.3826280564899207e-07	4.9368454710929655e-06	3.597437171265483e-06	2.9721914529545757e-07	2.5987358185375342e-06	5.547435080188734e-07	3.826919964922126e-06	1.1203812988469508e-07	2.3239701931743184e-06	1.866769525804557e-05	8.696283515519099e-08	1.7252683903734578e-07	6.834621331108792e-07	5.4456862130791706e-08	1.923556055771769e-06	4.4724455960931664e-07	6.634180493847452e-08	5.888884970772779e-06	3.8071175367804244e-06	4.153967438469408e-06	4.017289256807999e-08	2.8231166652403772e-05	1.6329890058841556e-05	6.860944722575368e-06	4.967364475305658e-06	0.0021925163455307484	1.593090388496421e-07	5.592124807662913e-07
LAIR2	8.183120030480495e-07	0.002679673256352544	3.49247275153175e-05	8.095001113872513e-09	1.302382952417247e-05	3.6280721360526513e-06	1.2307819815760013e-05	4.6771656769806214e-08	4.64039612779743e-06	1.9229352687943901e-07	9.825496090343222e-05	0.0003031780361197889	2.2005755795362347e-07	1.3363688822209951e-08	7.109102284630353e-08	4.073373105484279e-08	5.1917457312811166e-05	6.411518427285046e-08	6.418796147045214e-06	2.9841377369166366e-08	8.856214662955608e-06	7.429203030540066e-09	6.613351644091381e-08	8.570146019337699e-05	2.582048182375729e-05	3.4922857594210654e-05	2.1152802219148725e-05	8.404423169849906e-06	3.705726703628898e-05	6.509400463983184e-06	1.4250952062866418e-07	4.0219052266365907e-07
IGHV4-61	5.725647497456521e-06	2.3424334472110786e-07	1.5736097793705994e-06	4.667149777759505e-09	2.519423674129939e-07	2.363666681048926e-05	5.91113393966225e-06	4.0877491613855454e-08	2.6192012683168286e-06	1.062351344671697e-07	7.187134656305716e-07	5.544846359839539e-08	1.1669794730551075e-07	1.8873123508456047e-08	5.450346307611653e-08	2.1030798507126747e-06	6.301744406300713e-07	1.0432520269887391e-07	1.7152519831142854e-06	3.493468625492824e-07	1.0152227787330048e-06	1.766620414400677e-07	5.049587059602345e-08	7.994363926400183e-08	1.6336725749965808e-08	3.5213338378525805e-06	5.601364136964548e-06	4.088949481229065e-06	4.079726295458386e-06	2.89743464776393e-08	8.415420325036393e-07	0.0016858241287991405
NUDT14	9.411676728632301e-05	0.00034038120065815747	0.0003295369679108262	0.0005269978428259492	0.00014702601765748113	4.508027996052988e-05	0.00040603146771900356	4.254436134942807e-05	0.0003999828186351806	0.0009138000314123929	0.0003038660797756165	0.0006316826329566538	0.00036102402373217046	0.00045212474651634693	0.00018529554654378444	5.601860539172776e-05	0.0003713107143994421	0.0007791532552801073	6.32048468105495e-05	0.0005711460253223777	9.689001308288425e-05	0.0011182482121512294	1.8868991901399568e-05	0.0003569017571862787	0.00022350199287757277	0.00018317555077373981	6.933881377335638e-05	0.00044245534809306264	8.032926416490227e-05	0.0003453689278103411	0.00014644111797679216	5.059383329353295e-05
PLAU	1.2968059763807105e-06	4.3104773794766515e-06	1.1752411410270724e-05	3.2852376818937046e-08	1.0806334103108384e-06	1.798964513000101e-05	1.7563179426360875e-05	9.50303438003175e-05	1.2640234672289807e-05	8.514192813890986e-06	5.8101491049455944e-06	7.17709626769647e-05	0.0004883655346930027	8.386256013181992e-06	6.575760198757052e-05	0.0012516506249085069	1.925401193147991e-06	1.305346995650325e-05	5.209964911045972e-06	0.00012576258450280875	6.407921091522439e-07	1.2939682392243412e-07	0.0009179763728752732	1.7137777831521817e-05	3.9877212998362666e-07	3.1195584597298875e-05	2.2227963199838996e-05	1.7612999727134593e-05	2.168639730371069e-05	7.116500000847736e-06	2.338852937100455e-05	5.668571247952059e-07
AIF1L	2.5298393779848993e-07	2.4996529646159615e-07	5.781468644272536e-06	2.2065282792027574e-06	5.500021984516934e-07	1.2318942935962696e-05	9.86825307336403e-06	9.04250264284201e-05	3.982356702181278e-06	0.00016907566168811172	6.389316240529297e-07	2.1016535356466193e-06	2.8610149911401095e-06	1.8263768652104773e-05	1.1317886674078181e-05	1.8462013713360648e-06	1.9423494279635634e-07	7.884140700298303e-07	3.242085767851677e-06	0.0008037694497033954	7.863404789532069e-07	0.0005243998602963984	1.7710012798488606e-06	3.7222207538434304e-07	1.679854051417351e-07	2.9368973628152162e-05	2.119813325407449e-05	4.622012966137845e-06	0.00013347237836569548	0.00011134028318338096	5.107710308038804e-07	5.002267425879836e-05
FBLN1	1.2877590052084997e-06	1.988883241210715e-06	1.1109245861007366e-05	6.147300268821709e-07	9.482937457505614e-06	9.124037023866549e-05	8.167870691977441e-05	1.0628620657371357e-05	3.855332761304453e-05	1.9639358015410835e-06	4.931758212478599e-06	7.344910386564152e-07	1.3775936622550944e-06	1.005739704851294e-05	0.0014121835120022297	0.0015278533101081848	1.5944524420774542e-06	1.0896908406721195e-06	2.118965858244337e-05	2.1589689822576474e-06	2.0993072666897206e-06	4.03491867473349e-06	0.0004432600690051913	1.1999371736237663e-06	1.2820007668778999e-06	3.2640826248098165e-05	4.16511575167533e-05	2.3368926122202538e-05	3.348999234731309e-05	1.9505325326463208e-05	2.9118252768967068e-06	2.0751747342728777e-06
DNM3OS	1.5615290749337873e-07	1.4094276821197127e-06	2.0184872482786886e-05	4.032191327496548e-07	1.670059418756864e-06	3.561841003829613e-05	5.401638554758392e-05	1.2714971489913296e-05	4.09206586482469e-05	1.3829755516781006e-05	2.873909352274495e-06	2.590256258372392e-07	2.6639668249117676e-07	1.4493766684609e-06	0.0001954290783032775	0.0008933618082664907	3.3489939710307226e-07	5.432173111330485e-07	5.9521476032387e-06	9.958555892808363e-05	1.6079669649116113e-06	2.9524883871090424e-07	0.0016895480221137404	3.423788825784868e-07	5.415245141193736e-07	4.0032726246863604e-05	2.8214952180860564e-05	8.202920071198605e-06	1.6966167095233686e-05	6.599483413083362e-07	3.116650077572558e-06	4.257133696228266e-06
MAP1A	2.8777665647794493e-05	2.5933168217306957e-06	0.000204827927518636	3.5634719097288325e-05	1.0766024388431106e-05	4.706721301772632e-05	9.177275933325291e-05	0.0006337339291349053	9.379571565659717e-05	1.4182932318362873e-05	1.2252479791641235e-05	3.806326276389882e-06	3.3847461509139976e-06	2.8475047656684183e-05	0.0008790050051175058	0.0008222070755437016	1.5744849406473804e-06	0.00018098221335094422	2.474118628015276e-05	6.242241397558246e-06	1.288597377424594e-05	1.6488224900967907e-06	0.0003872979723382741	2.255645313198329e-06	1.06595243778429e-05	4.612157499650493e-05	4.9382382712792605e-05	2.533923543523997e-05	2.4062092052190565e-05	7.5304969868739136e-06	0.0016538652125746012	1.5507479474763386e-05
MS4A4A	1.673817138225786e-07	7.933316510388977e-07	6.0942138588870876e-06	1.3818189259495739e-08	2.9450887950588367e-07	8.047564733715262e-06	6.048638169886544e-06	8.98002951998933e-08	7.043355708447052e-06	2.975691870688024e-07	7.091427391969773e-07	2.761531447958987e-07	0.001474766875617206	5.199129304855887e-08	1.1852812775714483e-07	4.6377223839044746e-07	1.9108347260043956e-07	1.3211504210630665e-06	5.633195087284548e-06	1.6734870769141708e-06	3.1719460480417183e-07	1.3540806698131291e-08	9.432500860384607e-07	1.1798705372711993e-06	1.1186774173665981e-07	1.7367683540214784e-05	1.3445539480017032e-05	1.5390549378935248e-05	8.20063451101305e-06	6.657259064013488e-07	7.530430593760684e-05	3.6994902075093705e-06
KIF4A	4.5387558600396005e-08	1.6107182432278933e-07	2.051240926448372e-06	1.6330106689110835e-07	1.4958548888444057e-07	4.1762596083572134e-06	4.014521891804179e-06	2.3705168132437393e-05	3.4126708214898827e-06	4.52320864496869e-06	2.0092460545129143e-05	9.49750784684511e-08	9.585571660863934e-07	4.194916698452289e-07	1.2221497058817476e-07	5.3684917844520896e-08	1.3766491235855938e-07	1.7163274890208413e-07	2.0551751731545664e-06	1.2972122931387275e-06	5.681318526740142e-08	2.7630369103803787e-08	5.206835567150847e-07	2.0863208192167804e-06	3.751964428033716e-08	3.2571675546932966e-05	8.908871677704155e-06	2.939526439149631e-06	6.131236659712158e-06	0.002463798737153411	1.8900686882261652e-07	1.258626184608147e-06
