Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18
IGLV3-10	6.003744346116946e-08	4.795144903368964e-08	9.441040305091519e-08	2.912652519171388e-08	6.823356102358957e-08	2.896256035000988e-07	2.5475376475014855e-08	9.481798042543232e-05	5.880575582040137e-09	1.3139974726072978e-06	3.3380004538230423e-08	4.3548709527385654e-08	3.2731719556977623e-07	6.1336131729206045e-09	1.1307510021651979e-06	2.9206772111933788e-08	1.4972195572227065e-07	2.355707628964865e-08
CDCA2	4.2664848365348007e-07	7.403795052596251e-07	3.3683264177852834e-07	7.205965744105924e-07	1.7292819620706723e-07	1.6278278280879022e-06	1.2070228194716037e-06	3.3703176427479775e-07	1.799221536202822e-05	3.2716168334445683e-06	2.3265645268111257e-06	0.002362059196457267	2.6452032670931658e-06	5.415488431026461e-06	1.7192563745993539e-06	1.1135383601867943e-06	2.6859320314542856e-06	4.840510996473313e-07
IRAK3	0.00014821327931713313	5.17236658197362e-05	0.0003394353552721441	0.00039324077079072595	0.00020098160894121975	8.688009256729856e-05	0.0005074807559140027	4.558380624075653e-06	2.8157712677057134e-06	2.3453707399312407e-05	2.0950150428689085e-05	7.2979000833583996e-06	5.7473709603073075e-05	1.7880780660561868e-06	3.437884879531339e-05	8.746353159949649e-06	2.1224523152341135e-06	0.0001652088831178844
SLC44A1	0.00018676412582863122	5.263937418931164e-05	0.00040675399941392243	0.00025945951347239316	0.000869943352881819	0.0003306393336970359	0.00018654792802408338	0.00012241840886417776	0.000530614925082773	0.0007271495996974409	6.988221866777167e-05	6.706806743750349e-05	0.0001515104522695765	0.00012617444735951722	0.00047670642379671335	3.677011773106642e-05	0.0008524213917553425	0.0011238588485866785
TRAF4	5.9835172578459606e-05	0.0006930879317224026	7.550175359938294e-05	8.850877202348784e-05	0.00021673493029084057	0.00011279462341917679	1.8294102119398303e-05	9.202861838275567e-05	0.00021852987993042916	0.00010297411790816113	8.322649955516681e-05	0.00035295248380862176	0.00022015369904693216	0.00033932103542611003	2.7234264052822255e-05	0.00012312103353906423	0.0004414378199726343	0.00010975251643685624
EDIL3	0.0004121068341191858	8.534526614312199e-07	9.430309546587523e-06	0.0001629242324270308	7.178046507760882e-05	2.744125777098816e-05	2.814141168983042e-07	4.65752265199626e-07	6.797869446018012e-06	1.138668267230969e-05	6.76037871016888e-07	4.045008950015472e-07	8.559412526665255e-05	1.9961781561050884e-07	4.765857283928199e-06	3.9259430195670575e-07	2.3904942736407975e-06	0.0014784142840653658
RPL10	0.0009045381448231637	0.0024473739322274923	0.002411516383290291	0.0006939372979104519	0.0016255504451692104	0.00044784267083741724	0.0006463872850872576	0.0032806245144456625	0.00031431001843884587	0.0016044137300923467	0.0017570650670677423	0.0006212898879311979	0.0017580930143594742	0.0026179831475019455	0.0014497293159365654	0.0008335747988894582	0.001440004212781787	0.0007021117489784956
CST7	5.72044768887281e-07	2.967754699056968e-05	3.8756243156967685e-06	7.408580700030143e-07	9.761033288668841e-05	2.142752055078745e-05	6.668234618700808e-06	0.0004390359972603619	1.1259783860850803e-07	0.00021582911722362041	0.0028361063450574875	7.0010023591748904e-06	2.9941686079837382e-05	3.1497177133132936e-07	4.9983555072685704e-05	0.0008585834293626249	7.26220650903997e-06	2.73891582764918e-05
HIGD1B	0.0032529043965041637	3.914196611276566e-07	3.4166799878221354e-07	4.340359282650752e-06	3.030221478184103e-07	1.8900772147389944e-06	1.0116876580923417e-07	1.1351137629844743e-07	3.070018976814026e-07	9.508627044851892e-06	1.3616583771636215e-07	2.4187571057154855e-07	4.7003395593492314e-05	5.188662655086773e-08	4.481135420064675e-06	1.1237462871349635e-07	1.212612232848187e-06	1.2953904615642386e-06
PPP3CC	0.0001980798115255311	0.0005899628740735352	0.00010821997420862317	0.00019550560682546347	0.00021788674348499626	0.0011348278494551778	7.387383084278554e-05	0.0005918859387747943	0.0002207068755524233	0.0004168293089605868	0.0005438922089524567	2.6936946596833877e-05	0.00011486711446195841	5.0524744438007474e-05	0.0004287727060727775	0.00047963697579689324	0.00038712527020834386	0.0001438170875189826
