Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20
HOXD9	1.0965034107357496e-06	1.5802520181296131e-07	1.0016500482379342e-06	6.30222061204222e-08	9.74003910414467e-07	4.522401468420867e-06	5.838476863573305e-05	2.1867377597573068e-07	5.758915449405322e-06	7.136329713830492e-07	6.156201379781123e-06	3.5929369914811105e-05	2.0514364962309628e-07	2.994294163727318e-07	0.0012863256270065904	1.9684017615873017e-07	8.972619411906635e-07	3.225443663268379e-07	8.095296834653709e-06	0.0012815998634323478
NRROS	7.656207890249789e-05	1.474438846571502e-07	0.0005187647184357047	0.00023466617858503014	0.0003642573719844222	1.2316531865508296e-06	7.8281652804435e-07	6.489187217084691e-05	8.269397767435294e-06	0.0010637210216373205	0.00042653479613363743	2.2902089824583527e-07	7.51822444726713e-05	0.00016924877127166837	0.00039388934965245426	0.0005620792508125305	1.2530706953839399e-05	0.00020091354963369668	1.450132572244911e-06	0.0004820211906917393
TCF4	1.280552964999515e-06	4.548949618765619e-06	2.569396201579366e-05	1.342756831945735e-06	0.0006923333276063204	0.0010559577494859695	0.0008715466246940196	1.4755537449673284e-05	2.0181567379040644e-05	4.5097745896782726e-05	0.00013240124098956585	0.0012151061091572046	8.324620284838602e-05	1.4986818541729008e-06	0.0016294086817651987	0.00014670280506834388	0.00015171870472840965	8.371463991352357e-06	0.00038864868110977113	0.0013508383417502046
PRC1	0.0006124268984422088	3.0621697078458965e-05	4.281489509594394e-06	4.998922304366715e-05	2.6024395992862992e-05	2.8728172765113413e-05	1.079389221558813e-05	6.203425073181279e-06	5.856129064341076e-05	1.2400701962178573e-05	1.2678544408117887e-05	9.744486305862665e-06	0.0029170215129852295	5.231643081060611e-05	8.911506301956251e-05	1.5507919670199044e-05	6.25888496870175e-05	5.848373257322237e-05	2.6947411242872477e-05	1.4426095731323585e-05
GALNT18	8.507686288794503e-05	4.746747072204016e-05	2.3705502826487646e-05	5.302602517076593e-07	1.0542626114329323e-06	1.4542633834935259e-05	1.7651669622864574e-05	2.123459580616327e-06	0.00034527521347627044	5.639267897095124e-07	4.053046359331347e-05	1.9471550331218168e-05	7.637374892510707e-07	2.4177859359042486e-07	0.0015086426865309477	8.892458822629123e-07	1.197839173983084e-05	2.489633175173367e-07	0.0002027130249189213	0.001250864239409566
PAQR4	0.00032286433270201087	9.948225488187745e-05	1.925659262269619e-06	9.700865120976232e-06	3.3256137612625025e-06	1.3605674666905543e-06	6.371184281306341e-05	3.956431271490146e-07	1.0123974789166823e-05	7.560713584098266e-07	5.329287887434475e-06	2.849972042895388e-05	0.0002168620121665299	1.6756855984567665e-05	0.000161368225235492	0.00010444014333188534	0.00023366589448414743	0.00046898232540115714	1.0812645996338688e-05	8.366678230231628e-05
TACC3	5.866307401447557e-05	3.296080194559181e-06	0.0005262509221211076	0.0007149011944420636	0.00016400599270127714	1.9857855022564763e-06	8.386416993744206e-06	0.00011883414117619395	1.3479454537446145e-05	7.767597708152607e-05	0.00013121013762429357	7.8726094443482e-07	0.00123030343092978	0.0003257578646298498	7.673841173527762e-05	0.00020204304018989205	5.894220157642849e-05	0.0003028603387065232	6.417251825041603e-06	3.554452632670291e-05
MICAL2	9.636430149839725e-06	0.0003150755655951798	0.0006185377133078873	0.00012038581917295232	9.134917604569637e-07	4.90273396280827e-06	0.00021201501658651978	0.00014125123561825603	2.7190937544219196e-05	8.036746294237673e-05	0.00015425443416461349	0.0010551927844062448	4.603395063895732e-05	0.00016636807413306087	0.00020249368390068412	7.804639608366415e-05	0.00020617526024580002	0.0006321851979009807	0.00038747466169297695	6.088337613618933e-05
HCST	5.923053777223686e-06	4.7375590384035604e-07	0.0002444593410473317	0.0009027931955642998	9.553653944749385e-05	3.678280336316675e-06	1.2746259017148986e-06	0.0007043613586574793	2.5525689579808386e-06	0.0017706539947539568	0.0004111963789910078	8.204408459278056e-07	2.3377038814942352e-05	0.0022693828213959932	4.541052476270124e-06	0.0004564317059703171	2.192944157286547e-05	0.000929717265535146	2.302162783962558e-06	9.182984967992525e-07
C4orf48	0.0011989121558144689	9.053960093297064e-05	0.0001683009904809296	0.0003561902267392725	0.00016567338025197387	1.9084789528278634e-05	0.00013742822920903563	0.0002430134773021564	0.0002516611712053418	0.000133113149786368	0.0003514931013341993	0.0007035702583380044	0.0001506540138507262	0.0004881249915342778	0.00027334425249136984	0.0006846514879725873	0.0006486498168669641	0.0011065525468438864	6.923569162609056e-05	0.00012661419168580323
