Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28
CLEC4A	4.0818278648657724e-05	3.9405597362929257e-07	5.496003268490313e-06	8.663393600727431e-06	6.519580892927479e-06	1.6863890778040513e-05	0.003702791640534997	0.0005047668237239122	1.915718485179241e-06	1.0368803486926481e-05	9.155244697467424e-06	1.3628465467263595e-07	3.0762683422835835e-07	1.0619211025186814e-05	0.00047953633475117385	2.104159830196295e-05	2.443143500840961e-07	0.0008469580207020044	2.563072030170588e-07	8.47351827815146e-07	4.492451262194663e-05	1.025224378281564e-06	1.8697011228141491e-06	6.071539928598213e-07	7.050575163702888e-07	5.636904461425729e-06	9.172476893581916e-07	5.510873961611651e-07
FAM111B	1.8834393813449424e-06	3.489203095341509e-07	1.335208708042046e-07	9.111358281188586e-07	2.9975467441545334e-07	2.5047756935236976e-06	1.9461451756797032e-06	2.1187343008932658e-06	2.42091147129031e-07	1.4985266716394108e-05	5.216110139372176e-07	1.2086240531061776e-05	1.2221870804296486e-07	0.001953846774995327	4.578479035899363e-07	5.921603133174358e-06	9.920245247485582e-07	1.946935526575544e-06	2.7273436842278898e-08	1.0470000688656e-07	0.00011140872811665758	6.496351261375821e-07	1.488289029794032e-07	1.9265223727416014e-07	2.6065043812195654e-07	3.6907222238369286e-06	8.979278618426179e-07	9.393931321710625e-08
LAIR2	4.411028839967912e-07	2.3758082534186542e-05	3.581769902893939e-08	3.8854796713394535e-08	3.527053422658355e-07	2.275313363497844e-06	1.7888908132590586e-07	3.7671679820050485e-06	9.409985796082765e-05	1.2689887626038399e-05	1.0513880255302865e-07	2.9363285136696504e-09	5.5756911024218425e-05	5.249452078714967e-05	0.0016565234400331974	6.1056011873006355e-06	6.165173971339755e-08	1.2332391463587555e-07	5.271279951557517e-05	0.00012427166802808642	7.773949732836627e-07	2.647592225457629e-07	7.025804649174461e-08	0.0031754784286022186	2.9971818804597206e-08	1.8417222236166708e-05	5.433570891000272e-07	1.3500169870894752e-07
IGHV4-61	0.00510776462033391	1.6969963780866237e-06	1.8603694229568646e-07	2.5016229088237196e-08	1.7642239981796592e-05	3.3545193218742497e-06	9.381153631693451e-08	5.591733156506962e-07	8.728436995397715e-08	7.951364750624634e-06	1.4055603969609365e-07	2.1820096840485803e-09	3.801073660270049e-07	3.2533712612803356e-08	3.2735823651819373e-07	1.773112489900086e-05	8.971237264177034e-08	2.96953217571172e-08	7.183745651673235e-07	4.7398852842661654e-08	6.557074812008068e-06	9.2659356596414e-06	9.864437515716418e-07	3.896952804893772e-08	2.242206953440018e-08	3.5178798043489223e-06	4.3330200583113765e-07	8.313713806273881e-08
NUDT14	5.125276948092505e-05	0.00015625740343239158	0.000633815536275506	4.061412619194016e-05	5.1627062930492684e-05	0.00020422546367626637	0.00040709340828470886	0.00014814101450610906	0.0009172876016236842	6.481575837824494e-05	0.000499146874062717	0.0007424657815136015	0.000279138155747205	0.00033881989656947553	4.750238440465182e-05	9.905164915835485e-05	2.2881406039232388e-05	0.0003413869417272508	0.0001664789451751858	0.0006352223572321236	8.350128337042406e-05	0.0013912863796576858	0.00013089597632642835	0.00018593273125588894	0.0006452831439673901	6.889085489092395e-05	0.0006925617344677448	0.0007529350114054978
PLAU	1.8127539078705013e-06	5.044529189035529e-06	0.00016266161401290447	0.0012814747169613838	9.664809113019146e-07	7.268812623806298e-05	2.226436117780395e-05	7.726292096776888e-05	7.451532292179763e-05	2.7838499590870924e-05	8.06475873105228e-06	5.496718245012744e-07	8.220991958296509e-07	4.481029918679269e-06	1.479589718655916e-05	5.282935671857558e-05	9.835048695094883e-05	0.000562605622690171	4.786657541444583e-07	1.1054155947931577e-05	9.79547280621773e-07	0.00012300586968194693	0.00010708680929383263	1.4268385939431028e-06	8.888029583431489e-07	9.632346518628765e-06	7.857110176701099e-05	1.4814581845712382e-05
AIF1L	6.616036989726126e-05	1.4698851202865626e-07	0.0007798735750839114	1.8753796666715061e-06	3.536859730957076e-05	7.219030067062704e-06	8.828386626191786e-07	7.929832008812809e-07	7.30726242181845e-07	1.7062002370948903e-05	0.0001749038783600554	0.0002003948320634663	1.6772091839811765e-06	3.6643883504439145e-05	7.768068712721288e-07	1.2686783520621248e-05	6.138632306829095e-05	1.648129341447202e-06	3.220209521259676e-07	1.5916437234864134e-07	4.552961456738558e-07	0.00041150071774609387	7.188614290498663e-06	3.5167562373317196e-07	0.00021962424216326326	0.00012344100105110556	0.002842680085450411	1.8933785668195924e-06
FBLN1	5.351979325496359e-06	1.74474098457722e-06	9.04237708709843e-07	0.0012771113542839885	3.091667394983233e-06	8.844774129102007e-05	3.7958543543936685e-06	1.5133215356399887e-06	3.6388146327226423e-06	4.117454955121502e-05	1.6832102573971497e-06	3.80932374355325e-06	5.894029982300708e-06	7.46087744118995e-06	5.207161393627757e-06	7.135156920412555e-05	6.371733888954623e-06	8.924389476305805e-07	1.0487420922800084e-06	1.3078380334263784e-06	1.4849172202957561e-06	7.882142381276935e-05	0.0016360165318474174	1.592075705048046e-06	3.2852656204340747e-06	2.029850111284759e-05	6.308247975539416e-06	1.746450038808689e-06
DNM3OS	3.6093897506361827e-06	3.74935780200758e-07	0.00014240927703212947	0.0011681250762194395	4.9875043259817176e-06	9.586387750459835e-05	2.6254529075231403e-06	1.0403977057649172e-06	1.1345381381033803e-06	4.0445833292324096e-05	3.952010956709273e-05	1.7909151495132392e-07	2.8034662591380766e-06	3.293890529221244e-07	1.8557028624854865e-06	0.0004678488476201892	3.707588621182367e-05	2.519067265893682e-07	5.798898428110988e-07	3.4348451549703896e-07	3.6208660958436667e-07	1.9345548025739845e-06	0.00030398351373150945	5.187625902181026e-07	2.3511884137406014e-06	1.795627576939296e-05	1.244644408870954e-05	1.5347977466717566e-07
MAP1A	2.3315004000323825e-05	1.4580814422515687e-06	3.413986405575997e-06	0.0007526527624577284	1.0762362762761768e-05	0.0003326364967506379	1.4962412251406931e-06	0.0019506063545122743	1.2773153684975114e-05	0.0001123398105846718	7.289309905900154e-06	8.01825626695063e-06	1.1452352737251204e-05	1.236924344993895e-05	7.622477824043017e-06	5.725388109567575e-05	0.0006228773854672909	1.9674282611958915e-06	1.5439471098943613e-05	2.331836185476277e-06	1.6984460671665147e-05	9.967929509002715e-05	0.0009861260186880827	8.527342288289219e-06	7.146687858039513e-05	4.2544132156763226e-05	7.427778655255679e-06	0.0002406886633252725
