Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14
EDIL3	1.0148338560611592e-06	2.013209723372711e-06	7.721949805272743e-05	9.894570212054532e-07	4.15801059716614e-06	3.8513579170285084e-07	9.230410000782285e-07	2.423486421321286e-06	1.925829110405175e-06	8.44062697069603e-07	0.0010289216879755259	1.6947335552686127e-06	4.4008717736687686e-07	0.0001600902178324759
RPL10	0.0014420641819015145	0.0011081325355917215	0.0015419473638758063	0.00038705492625012994	0.0013606736902147532	0.0010226647136732936	0.004033205099403858	0.002356830285862088	0.0006531578837893903	0.0024157578591257334	0.0009310277528129518	0.0005335072637535632	0.0020341123454272747	0.000722122669685632
CST7	5.865739893806676e-08	9.054569090949371e-05	8.64030298544094e-05	3.110043326159939e-05	6.9805228122277185e-06	0.0009987648809328675	4.926307883579284e-05	0.00025940174236893654	0.0003696369531098753	1.2824606301364838e-06	1.6739153579692356e-05	3.9334449866146315e-06	0.002275321865454316	9.767949222805328e-07
HIGD1B	3.321081749163568e-06	6.600197934858443e-07	3.184108550158271e-07	3.2254553161692456e-07	8.020139148356975e-07	1.112451144535953e-07	2.9000338486184774e-07	1.8606621097205789e-06	6.929727760507376e-07	9.934603895089822e-07	0.0007721700822003186	6.65547759126639e-07	2.634577924709447e-07	1.47146092785988e-05
PPP3CC	0.0001204009386128746	0.0002205356431659311	0.00019205173884984106	7.165480928961188e-05	0.0004043214430566877	0.0004647455643862486	0.0004763062752317637	9.842614963417873e-05	0.0010687100002542138	0.0006280041998252273	0.00015115241694729775	7.439106411766261e-05	0.0007405447540804744	0.00019162194803357124
NTRK2	3.9140839362517e-05	3.6210331018082798e-06	6.822015166108031e-07	5.848477940162411e-06	2.793832436509547e-06	2.056366611213889e-05	3.625037606980186e-06	2.772412699414417e-06	1.0836614819709212e-05	7.901101071183803e-07	0.00028644478879868984	4.772538204633747e-07	1.113228563554003e-06	6.2004914980207104e-06
SIL1	0.0005048627499490976	0.00018138412269763649	0.00034770078491419554	5.747523391619325e-05	0.0015474128304049373	0.00014913319319020957	0.00011167576303705573	0.000420761905843392	0.00032998956157825887	3.361652488820255e-05	0.0003026407794095576	0.0003543707134667784	9.538104495732114e-05	0.00019823979528155178
ARPC5	0.0004528323479462415	0.000960299395956099	0.0004418903263285756	0.0008945238078013062	0.00020422709349077195	0.0007448713295161724	0.0006930970121175051	0.0011700623435899615	0.00037314181099645793	0.0005536519456654787	0.0004507727862801403	0.0009991709375753999	0.0005872152978554368	0.00033805164275690913
MBP	8.087384048849344e-05	0.00048747079563327134	0.0004872773715760559	9.637229231884703e-05	3.239847137592733e-05	0.0005270597757771611	0.0006501972093246877	0.0001509592548245564	0.0013841406907886267	0.00044450623681768775	6.607674004044384e-05	0.0001950109435711056	0.0014465393032878637	3.221128736186074e-06
LEPROTL1	0.00015348476881626993	0.00022772670490667224	0.00036562338937073946	0.00013660964032169431	0.00013133048196323216	0.0006767380400560796	0.0013104190584272146	0.0001452005235478282	0.0005270007532089949	9.134747233474627e-05	7.078336784616113e-05	0.00017990915512200445	0.0010695763630792499	0.0001650101476116106
