Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12
DNM3OS	6.669645244983258e-07	0.0010053227888420224	2.52291300739671e-07	1.2475053381422185e-06	2.707288103920291e-06	0.00014994687808211893	6.770474101358559e-06	1.7172749267047038e-06	3.3109987271018326e-05	5.4350250138668343e-05	5.158213411959878e-07	6.309045943453384e-07
MAP1A	1.8161659681936726e-05	0.0007915363530628383	2.233694976894185e-05	9.891125955618918e-06	0.00016652604972478002	6.8429803832259495e-06	0.000159469956997782	4.983334292774089e-05	1.9018518287339248e-05	0.0005685473443008959	2.640042794155306e-06	6.031357770552859e-05
MS4A4A	4.6501261863340915e-07	1.8026415204985824e-07	5.0655913241826056e-08	8.26674636300595e-07	2.275001804719068e-07	2.043308541033184e-06	3.342634499858832e-06	0.0012587663950398564	1.1723807347152615e-06	1.8203670038019482e-07	3.043208494091232e-07	5.881805691387854e-07
KIF4A	3.696502801631141e-07	1.5543425035957625e-07	1.5182326933427248e-05	0.0017818710766732693	1.6063623320405895e-07	1.035664990922669e-05	2.9157788503653137e-06	2.0812587990803877e-06	2.6346262984588975e-06	2.0906691133859567e-05	5.550098691742278e-08	1.1040111758120474e-07
CPNE5	4.0686234569875523e-05	1.2224833199070417e-06	8.580470876040636e-07	9.046115337696392e-06	0.001266348292119801	0.0008273004204966128	0.002394347218796611	1.989936026802752e-05	7.471784192603081e-05	1.6010041008485132e-06	4.309497398935491e-06	7.48663433114416e-06
FAM92B	1.0854025589424054e-07	1.9861050759573118e-07	5.3284154866162226e-09	1.901801169879036e-07	1.6060378982274415e-07	1.815825044104713e-06	0.0030709963757544756	3.4751357702589303e-07	1.317341684625717e-07	8.533633177876254e-08	1.6307522798797436e-07	4.74748951262427e-08
TNFRSF17	2.6884795261139516e-06	4.943255476064223e-07	1.6815672410075422e-08	4.862554305873346e-07	0.00031359089189209044	5.873482677998254e-07	0.00572752021253109	1.1326694675517501e-06	1.8705173943089903e-07	1.8097010467954533e-07	4.2141209632973187e-07	5.479797096086259e-07
IGLV3-10	4.713972856507098e-08	2.9487242869663532e-08	4.424113964063281e-09	6.017541636538226e-06	7.841696003652032e-08	6.241458549993695e-08	0.0015430799685418606	4.00885120654948e-08	9.372865150680809e-08	6.811897179659354e-08	2.0462903194129467e-06	2.9008065283164797e-08
CDCA2	5.621541276923381e-07	3.908344751835102e-06	2.3935866920510307e-05	0.0020625072065740824	2.1817961624037707e-06	1.4804724742134567e-05	7.609404747199733e-06	5.583538040809799e-06	4.0622921915201005e-07	4.572027592075756e-06	6.15643855894632e-08	1.445370401143009e-07
IRAK3	2.1454203306348063e-05	0.00017806963296607137	1.7049542293534614e-06	1.3680313713848591e-05	3.6529378121485934e-05	0.00026081406394951046	5.826227152283536e-06	0.0005185305490158498	0.0005387034034356475	0.00013887901150155813	8.872356147548999e-07	1.4636805644840933e-05
SLC44A1	6.282622052822262e-05	0.001037360867485404	0.000343799329129979	4.7261553845601156e-05	7.046363316476345e-05	0.00029442665982060134	0.0008406716515310109	0.0002302928187418729	0.00024978083092719316	0.00017961609410122037	9.09894224605523e-05	0.00014769710833206773
TRAF4	0.00022562057711184025	0.00011027688015019521	0.0002866235445253551	0.00010162892431253567	0.0007659342372789979	0.00015988879022188485	0.00018334884953219444	4.517069464782253e-05	5.707180025638081e-05	7.223425200209022e-05	5.311715722200461e-05	0.00012982467887923121
EDIL3	6.78105095630599e-07	0.0012192990398034453	9.286398494623427e-07	9.603058970242273e-07	1.848807528403995e-06	0.0002908517490141094	8.132707989716437e-06	4.1782341213547625e-06	4.711074780061608e-06	0.00035810904228128493	4.780476956511848e-07	9.459789112042927e-07
RPL10	0.0008905217400752008	0.0009470733930356801	0.0014045409625396132	0.000848186609800905	0.002612512558698654	0.00024014375230763108	0.0013726969482377172	0.0006262983079068363	0.0014371508732438087	0.0010106159606948495	0.001745222369208932	0.004509083926677704
CST7	0.0005173204699531198	2.5678140445961617e-05	5.948895136498322e-07	0.00017205641779582947	3.380352609383408e-06	1.1971172853009193e-06	7.590172117488692e-06	1.4883047697367147e-05	2.0635711734939832e-06	1.0829819530044915e-06	0.0018538195872679353	5.368438723962754e-05
