Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24
CLEC4A	8.164645259967074e-05	6.04872320764116e-06	4.055870249430882e-06	9.497461178398225e-06	1.0023424692917615e-05	1.6173538597286097e-06	5.916137070016703e-06	2.9488018071788247e-07	1.8842114513972774e-05	4.2493692831158114e-07	2.822296301019378e-05	1.9854529398344312e-07	1.1619844372035004e-05	8.800524483376648e-06	0.001388894859701395	1.3697396070710965e-06	3.2388907129643485e-06	1.633392116673349e-06	9.572343060426647e-07	1.8682209201870137e-07	6.949862267902063e-07	1.8992086552316323e-05	8.904447668101056e-07	1.0317893384126364e-06
FAM111B	0.0001501221559010446	2.0419555823991686e-07	0.0020672399550676346	1.0897224456130061e-07	7.182156878116075e-07	2.3409566551890748e-07	1.980525667022448e-05	1.8518187516747275e-06	7.991810093699314e-07	1.128344865719555e-05	1.93602701870077e-07	1.2966504527867073e-06	9.218733225679898e-07	7.604739039379638e-06	2.7760299872170435e-06	2.9324489503324003e-08	4.1670656969472475e-07	3.780164888667059e-06	1.8559934744644124e-07	2.028461949521443e-06	1.5431110966801498e-07	1.883951654235716e-06	3.4963507005159045e-06	3.4063700127262564e-07
LAIR2	2.0129150470893364e-06	1.1404942597437184e-05	1.7072643458959647e-05	8.216173341679678e-08	6.450699174820329e-08	8.37875995784998e-06	0.00023060714011080563	0.0061081028543412685	4.873450052400585e-07	5.944304160010461e-09	6.660707185801584e-08	9.003090184478424e-08	6.028113119782574e-08	5.7369582862065727e-08	1.9612491541920463e-07	2.8649474188569002e-05	1.2887336708899966e-07	0.0012298438232392073	0.0004920392530038953	7.615261665705475e-08	0.00021176216250751168	2.1735948507739522e-07	0.00030012158094905317	0.00039753984310664237
IGHV4-61	6.238899459276581e-06	6.323218570969402e-08	4.652302720842272e-08	3.466013538400148e-07	5.060503838194563e-08	2.5840637363216956e-07	2.910464445449179e-06	1.3813281896091212e-07	0.001452221884392202	2.9263000556056795e-07	2.6758712579066923e-07	9.720463367557386e-08	1.1398391563943733e-07	4.883472293215618e-09	1.2932225956774346e-07	2.8161187159980727e-08	8.188160904865072e-07	2.836115163518116e-05	6.880142109366716e-07	5.052454099541137e-08	2.5257502755948735e-08	1.6451858186883328e-07	9.722523230948354e-08	4.896677637589164e-05
NUDT14	8.50451469887048e-05	0.00020101138215977699	0.0003824479063041508	0.00010095965990331024	0.0005761895445175469	0.00028832146199420094	0.00022273609647527337	0.0001814258430385962	4.893481309409253e-05	0.000992177752777934	0.0006281486712396145	0.0007486590766347945	4.566450297716074e-05	0.0004904766101390123	0.0003477551508694887	0.00017316764569841325	0.0001758760481607169	0.00029463201644830406	0.00021192834537941962	3.534348797984421e-05	0.0004914393648505211	6.697518983855844e-05	0.00047424735384993255	0.000749806291423738
PLAU	1.5005698514869437e-06	8.211185331674642e-07	5.164643425814575e-06	0.00020993224461562932	2.472181040502619e-05	3.220233566025854e-06	2.2164847905514762e-05	9.018834134622011e-06	7.574955134259653e-07	1.0055814527731854e-06	0.00019357628480065614	1.4955175174691249e-05	0.0016446240479126573	6.001311021464062e-07	0.0004775257839355618	2.8531124485198234e-07	0.00020398070046212524	5.07166669194703e-06	7.134345878512249e-07	0.00010634769569151103	8.183129693861702e-07	0.00020396227773744613	1.79925646079937e-05	7.232515781652182e-05
AIF1L	6.64750984924467e-07	7.284866114787292e-07	5.2748218877241015e-05	7.2930056376208086e-06	0.000527247553691268	2.662224858340778e-07	6.175643648020923e-06	6.067542130949732e-07	6.163338548503816e-05	0.0004208611499052495	0.000887693022377789	1.419962586624024e-06	9.349926699542266e-07	5.967239644633082e-07	1.7972211026062723e-06	2.962254654903518e-07	2.4682121875230223e-05	2.847434416253236e-06	1.5822460852632503e-07	7.308505882974714e-05	2.40021427089232e-06	6.349359318846837e-05	3.74560897853371e-07	6.807320573898323e-07
FBLN1	1.4965472701078397e-06	3.855556315102149e-06	1.110045468522003e-05	0.002108851447701454	1.1835920759040164e-06	9.957234397006687e-07	2.1594818463199772e-05	3.074363803534652e-06	6.1074433688190766e-06	6.041969754733145e-06	1.7152790405816631e-06	2.2357132820616243e-06	0.0009355625370517373	1.1712099876604043e-06	8.064382654993096e-07	1.2014227195322746e-06	0.001415920676663518	3.7004926980443997e-06	1.2838320344599197e-06	1.9904922737623565e-05	2.830183575497358e-06	0.0008251320687122643	1.4654679034720175e-06	1.490794261371775e-06
DNM3OS	2.2027023760529119e-07	1.0082858352689072e-06	3.7427460597427853e-07	0.0008152156369760633	4.787169746123254e-05	3.6972085126762977e-07	1.218401303049177e-05	6.708637101837667e-06	4.5668020902667195e-06	5.021615265832224e-07	0.0001264893653569743	5.148972377355676e-07	0.001046317396685481	1.350331046978681e-07	2.5043820528480865e-07	5.482146434587776e-07	0.00019181432435289025	1.5922945522106602e-06	1.1569577509362716e-06	3.7786117900395766e-05	1.0295869969922933e-06	0.0018372334307059646	3.1700221825303743e-07	1.0430673000882962e-06
MAP1A	0.0002694844442885369	1.080531092156889e-05	1.3678674804395996e-05	0.0013542205560952425	5.117147338751238e-06	3.1574340937368106e-06	1.2323134797043167e-05	5.761733973486116e-06	3.970203397329897e-05	6.831686732766684e-06	6.811651928728679e-06	0.00023573014186695218	0.0005543422303162515	3.572962305042893e-05	5.93178174312925e-06	1.82870207936503e-05	0.0006458075949922204	4.405929757922422e-06	8.208937288145535e-06	0.0006041128654032946	2.534913073759526e-05	0.0005200536106713116	4.578825155476807e-06	1.0224582183582243e-05
