Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26
ABCC3	3.388745994925557e-07	1.7762316929292865e-05	4.471903878311423e-07	0.0004573456826619804	5.302651698002592e-05	5.012322617403697e-06	0.0008809205610305071	2.2295446910902683e-07	3.3263822842855006e-05	1.2793656196663505e-06	2.6441281875122513e-07	6.668552668998018e-05	1.3332892194739543e-06	3.6227177133696387e-06	4.1031194996321574e-05	3.426706462050788e-05	1.9950883142882958e-05	0.00010042566282209009	2.6697118300944567e-05	8.050436917983461e-06	0.0006783984717912972	9.74773047346389e-06	1.139368237090821e-06	2.566330010722595e-07	1.2270340903342003e-06	1.6591677194810472e-05
ABCC4	8.879026427166536e-05	7.43882919778116e-05	0.0014633814571425319	1.3844393834006041e-05	0.0002932273200713098	7.071390427881852e-05	0.00010426298103993759	0.00011302011989755556	0.0005074257496744394	1.3907470929552801e-05	0.00010494384332560003	0.00011426540004322305	0.00030491003417409956	2.073501491395291e-05	9.311220492236316e-05	2.152219849449466e-06	0.0002639768354129046	1.1523737157403957e-05	1.8797849406837486e-05	0.0001024131997837685	0.00027830470935441554	7.045372331049293e-05	6.723328260704875e-05	0.0001572221954120323	0.0002852915786206722	4.162343611824326e-05
ABCC9	4.906182198283204e-07	4.26545648224419e-06	3.264687506998598e-07	2.223384854005417e-06	4.658764737541787e-05	8.620155313110445e-06	2.0101890640944475e-07	3.929320939732861e-07	6.776442205591593e-06	3.1739139672026795e-07	1.8210580776667484e-07	5.347745855033281e-07	4.115480351174483e-06	5.6150031014112756e-05	3.533751441864297e-05	3.2449446507598623e-07	1.0191859018959804e-06	8.52474659041036e-06	0.002256833715364337	1.4239121810533106e-05	6.746486178599298e-06	1.1815720426966436e-05	3.502076424410916e-07	5.21073843628983e-07	6.492355737464095e-07	6.083196694817161e-06
ABCD4	0.0001922932278830558	0.0006036795675754547	8.869889279594645e-05	0.000373156915884465	0.00035519321681931615	0.00010709653724916279	0.00015102775068953633	0.000358088465873152	0.00021353174815885723	5.68472569284495e-05	0.00025273385108448565	0.0007926105172373354	0.0010280112037435174	0.00019054775475524366	0.0002607866481412202	0.00012774088827427477	0.0005529583431780338	2.731319546001032e-05	0.00019862376211676747	0.0001560959208291024	0.000657307798974216	5.3023893997306004e-05	0.0002668509550858289	0.00034632172901183367	0.00012981033069081604	0.0002532794023863971
ABCG2	2.9521852411562577e-06	4.452643224794883e-06	8.171612648766313e-07	1.4426840607484337e-05	2.399206096015405e-05	6.0428060351114254e-06	4.183780765742995e-05	1.666256139287725e-05	1.543840153317433e-05	3.123674468952231e-05	2.705233157485054e-07	0.0012048751814290881	1.406900082656648e-06	1.5480925412703073e-06	5.7036836551560555e-06	4.4571092416845204e-07	0.002263914328068495	3.741215550689958e-06	7.095270848367363e-05	4.159751370025333e-06	7.991239726834465e-06	2.276644636367564e-06	6.514559345305315e-07	3.2591344734100858e-06	1.4538900359184481e-05	7.417035703838337e-06
ABHD12	0.00029470014851540327	0.00021096332056913525	0.000318116566631943	0.00016157320351339877	0.00013892776041757315	0.0003645140677690506	0.0007840307662263513	0.0003304197161924094	0.00022490404080599546	0.00031485428917221725	0.0001428322575520724	0.00018295401241630316	0.00047952012391760945	0.0004044593661092222	0.00022554058523382992	0.00032161164563149214	0.0001166900183307007	0.00017595605459064245	0.00012991137919016182	0.0002637372526805848	0.00021384423598647118	0.00012481278099585325	0.00040380642167292535	0.0002672101545613259	0.0004451545828487724	0.0003316842776257545
ABHD2	0.00013711961219087243	0.0002994525129906833	0.00035978754749521613	5.770306597696617e-05	0.00025951856514438987	2.4455781385768205e-05	0.0001755541015882045	0.00023337775201071054	0.00013450326514430344	0.00015845750749576837	4.197566886432469e-05	5.5450629588449374e-05	0.0014900417299941182	0.0002249792160000652	0.0002513099752832204	0.0018354542553424835	7.417480082949623e-05	1.6518863048986532e-05	0.00010801940516103059	0.0001074108513421379	0.0008113025105558336	0.00016183547268155962	0.00016197426884900779	0.00016603214317001402	5.460287138703279e-05	0.0001324946788372472
ABI3	0.0006036915583536029	0.0006507470970973372	1.770614744600607e-06	1.6603618178123725e-06	7.176080316639855e-07	0.00012529264495242387	0.0006080609746277332	0.0018873411463573575	0.0006876038969494402	0.00011572230141609907	0.00039415573701262474	0.0006392611539922655	5.495372897712514e-05	7.056110189296305e-05	7.955072760523763e-07	7.70260442095605e-08	0.0004057391779497266	2.214082314822008e-06	2.164305897167651e-06	3.64061415893957e-05	6.823996955063194e-05	5.793825721411849e-07	0.0004937985213473439	0.0001652850187383592	3.5793073038803414e-05	8.897452789824456e-05
ABI3BP	4.926806695948471e-07	2.473002859915141e-05	1.5148244756346685e-06	7.591550820507109e-05	0.0002303810470039025	1.7589813069207594e-05	6.88971283580031e-07	4.6911517870285024e-07	1.5329386542362045e-06	7.392963539132325e-07	3.634432346188987e-07	1.4822006050962955e-05	4.418090156832477e-06	1.7778738765628077e-05	0.0019756988622248173	8.70335199465444e-08	3.3984167657763464e-06	1.1870521120727062e-05	7.843458297429606e-05	2.4061380827333778e-05	7.759901927784085e-05	0.00037847875501029193	3.4493353950892924e-07	3.215071728845942e-07	1.4723740378030925e-06	8.885243914846797e-06
ABLIM1	0.00028037329320795834	0.0005799950449727476	2.3748705189063912e-06	0.00034333867370150983	3.8992049667285755e-05	0.00017172207299154252	1.6645687992422609e-06	0.00065362494206056	1.4353102415043395e-05	2.785087053780444e-05	0.0003919529262930155	0.0005417773500084877	0.0003668447316158563	0.00022128883574623615	0.00042265045340172946	2.8649681553361006e-05	0.0007208466995507479	3.4063225029967725e-05	2.0213707102811895e-05	0.0001304259931202978	0.00034572844742797315	1.2121234249207191e-05	7.129844016162679e-05	0.0010428173700347543	2.0997935280320235e-05	9.702717215986922e-05
