Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18
AC233755.1	2.2938666077720882e-08	3.7092533489158086e-07	1.4860634109936655e-06	1.3549596360462601e-06	2.7084295695090077e-08	5.140652348245567e-08	1.1659493281968025e-07	0.0006785697187297046	2.929391769157519e-07	2.0320911175986112e-07	3.5417364415479824e-05	1.3930438171882997e-06	1.8438983673263465e-08	5.149879598320695e-07	1.1389780638637603e-06	3.8337125829457364e-07	1.856040654502067e-07	1.3173882962291827e-07
AC245100.1	4.524831092567183e-05	3.541710975696333e-05	0.00012902900925837457	0.0005575421964749694	1.2444615094864275e-05	3.2134961656993255e-05	3.123909095847921e-07	2.1087866116431542e-05	6.122148079157341e-06	0.0004686066531576216	0.00044733169488608837	0.0006590954726561904	6.923287401150446e-06	0.0005658806185238063	0.00041649903869256377	3.896291309501976e-05	0.00012971552496310323	3.990883124060929e-05
ACACB	4.7575072130712215e-06	1.3805930393573362e-05	6.496687547041802e-06	4.059227285324596e-05	1.483187816120335e-06	0.00023716437863186002	0.00045402019168250263	1.7317745005129836e-05	0.0009113764972425997	1.6799982404336333e-05	2.8491653210949153e-05	6.261365342652425e-05	7.401197217404842e-05	0.0010306758340448141	3.210354770999402e-05	9.928988583851606e-05	2.2010948669048958e-05	0.00015902174345683306
ACAT2	0.00040247730794362724	0.00012633040023501962	0.0001931818260345608	0.0003258117940276861	0.0005663242773152888	5.1667117077158764e-05	4.9229045544052497e-05	0.00035241071600466967	0.00014213468239177018	0.00041409453842788935	0.0002200480957981199	0.0004477423499338329	0.00016278150724247098	0.00041962016257457435	0.0005267749074846506	0.0001995688071474433	0.0001475081080570817	0.00018700353393796831
ACE	7.104848191374913e-05	0.00015107644139789045	7.378591544693336e-05	2.502136112525477e-06	5.633079581457423e-06	0.00013930076966062188	0.0013725655153393745	3.0462003905995516e-06	0.00021188159007579088	3.557633363016066e-06	4.5618810418091016e-07	4.4537708163261414e-05	7.872891728766263e-06	0.00018964940682053566	4.277363586879801e-06	1.3003797903365921e-05	1.435291505913483e-05	6.207250407896936e-06
ACER3	0.00022874167189002037	0.0005081252311356366	0.0010104746324941516	0.00023861922090873122	6.627914262935519e-05	0.0001577421062393114	0.00025329613708890975	0.0001288934436161071	0.00011008302681148052	0.00038164822035469115	0.00014640581503044814	0.00012332707410678267	6.930685049155727e-05	0.0005480762920342386	0.00014164429740048945	0.000246145180426538	9.644244710216299e-05	0.00020103127462789416
ACKR1	1.2052950069119106e-06	4.721244692973414e-07	4.2245738995916327e-07	2.0417441248810064e-07	1.2612063926553674e-07	1.3103337437314622e-07	0.0009384096483699977	1.9818810415017651e-07	0.0005938565591350198	3.886353624693584e-06	2.969569550259621e-06	1.567810159031069e-06	7.63610330523079e-08	5.8052942222275306e-06	1.4539033372784615e-06	5.857245923834853e-07	5.49220715129195e-07	2.5399995138286613e-06
ACOT7	0.00014807446859776974	0.00012366054579615593	0.0013907616958022118	0.0003377269022166729	0.0001998940424527973	5.8971614635083824e-05	0.0001980845700018108	0.00045487761963158846	2.3981230697245337e-05	0.00023671326925978065	1.614788743609097e-05	7.15009737177752e-05	1.3690414562006481e-05	8.536277891835198e-05	0.0006535302964039147	6.169216794660315e-05	0.0002074331569019705	2.6306577638024464e-05
ACP5	1.6619564121356234e-05	0.0009257932542823255	0.0002250768302474171	0.0006054077530279756	5.334450634109089e-06	2.2905669538886286e-05	1.4828486882834113e-06	4.8556750698480755e-05	6.751295131834922e-06	3.077143628615886e-05	0.0006243671523407102	0.00011609795910771936	0.00023306667571887374	9.528676309855655e-05	0.000855871185194701	5.607316779787652e-05	3.1734807635075413e-06	0.00039282231591641903
ACSL1	0.0003211700823158026	0.0005588988424278796	7.06003174855141e-06	0.0001385786454193294	0.00010749756620498374	0.0002326028043171391	5.936200250289403e-05	0.00011925812577828765	2.4592036425019614e-05	3.650623693829402e-05	0.0001290578074986115	7.057978655211627e-05	0.00030766992131248116	0.00015200517373159528	0.00030276793404482305	0.00012779762619175017	8.470875036437064e-05	6.475309783127159e-05
ACSL3	0.0004258406115695834	0.00024030121858231723	0.00019664134015329182	0.00018114350677933544	0.00011637876013992354	0.0002705651568248868	0.00022597746283281595	0.00013736312394030392	0.00013656927330885082	0.00025886596995405853	0.00020188109192531556	0.00024201348423957825	0.0016748188063502312	0.0005792087176814675	0.0001915407774504274	0.0001687158364802599	8.38713240227662e-05	0.0002554852399043739
