Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24
ABCC3	6.289200973697007e-05	1.928822484842385e-06	2.7240035706199706e-05	9.279545452045568e-07	1.4314125564851565e-06	1.4416463272937108e-05	2.517942050417332e-07	2.239181958429981e-05	5.362499359762296e-05	2.5935911253327504e-05	0.00013996467168908566	8.780514690442942e-06	6.938162186997943e-07	7.828344678273425e-06	1.856749207718167e-07	4.2701285565271974e-05	2.179132394530825e-07	2.022354919972713e-06	0.00014978674880694598	1.602743759576697e-05	7.09545383870136e-06	0.0008173406822606921	4.860698390984908e-05	2.5221957912435755e-05
ABCC4	6.7894970925408415e-06	0.00033170980168506503	1.1282132618362084e-05	7.541817467426881e-05	0.0004352733085397631	3.836595169559587e-06	8.161696314346045e-05	6.374467920977622e-05	0.0001399779284838587	0.00021944141190033406	5.401187445386313e-05	8.844797412166372e-05	0.0013967511476948857	3.456744889263064e-05	0.00013021528138779104	0.0001373908598907292	0.00012197098112665117	0.00022848830849397928	0.00023739169409964234	9.493817742622923e-06	0.00012065457849530503	0.00014741660561412573	0.00025276627275161445	0.00014555332018062472
ABCC9	2.5085978450078983e-06	1.5049500916575198e-06	0.0018204768421128392	5.314504392117669e-07	1.1405873010517098e-05	2.587735821180104e-07	7.729291269242822e-07	5.556356427405262e-06	4.795338099938817e-05	1.4989244846219663e-05	1.1860627637361176e-05	3.0089940992183983e-05	3.458954154211824e-07	1.237826950273302e-06	3.644266541869001e-07	4.256704050931148e-05	5.380169909585675e-07	3.135194219794357e-07	0.0013262659776955843	9.034012009578873e-07	1.211393919220427e-05	2.3806012450222624e-07	1.3550753408253513e-07	3.204278618795797e-05
ABCD4	0.00019985785183962435	0.00011352072760928422	0.00010099935752805322	0.00019092184084001929	0.0010299404384568334	2.852154830179643e-05	0.00019798913854174316	0.0005382776143960655	0.0003082226903643459	0.00019533747399691492	7.482832006644458e-05	8.86217167135328e-05	0.00010712700168369338	0.0001283232995774597	0.00032109091989696026	0.0002261577028548345	0.00025708001339808106	0.00014792349247727543	0.0007238456164486706	3.558475509635173e-05	0.00014556922542396933	0.0001564813865115866	0.0005970687489025295	0.00038353216950781643
ABCG2	6.646613428529236e-07	4.242006616550498e-05	5.3733390814159065e-05	3.061372353840852e-06	1.8738066501100548e-05	6.604550435440615e-07	3.0439709917118307e-06	5.647390935337171e-06	4.534073923423421e-06	1.232003796758363e-05	4.443232228368288e-06	7.379603175650118e-06	2.6976363187714014e-07	1.224110633302189e-06	7.2438047027389985e-06	1.7440514056943357e-05	1.6172262462532672e-07	1.8138430277758744e-06	9.857005352387205e-05	3.619189374148846e-05	1.470223560318118e-05	4.019427433377132e-05	0.0019967113621532917	2.5172375899273902e-05
ABHD12	0.0003178082697559148	0.0005727545358240604	0.0001325444463873282	0.0003854617243632674	0.0006295746425166726	0.00038638614933006465	0.00015244544192682952	0.0004072222800459713	0.00023346747912000865	0.00011601389269344509	0.00020494531781878322	7.468087278539315e-05	0.00031695287907496095	0.00035387545358389616	0.00032216470572166145	0.00021125376224517822	0.0001272439258173108	0.0003731352917384356	0.00016081842477433383	0.0003529903187882155	9.70614783000201e-05	0.0007447763346135616	0.00013115108595229685	0.0001274312089662999
ABHD2	0.002363708568736911	2.6425612304592505e-05	8.88677968760021e-05	0.0001476901234127581	0.0002536104875616729	9.772038902156055e-05	0.0001528635766590014	0.0005425693234428763	0.00016471628623548895	0.00023233638785313815	8.87279020389542e-05	3.0944727768655866e-05	0.0002996799594257027	0.00024304192629642785	0.0001586161961313337	7.088791608111933e-05	3.8891288568265736e-05	6.550713442265987e-05	0.00019039293692912906	0.00011229524534428492	0.0001561338867759332	0.0001759416627464816	8.5192070400808e-05	0.00015434516535606235
ABI3	9.345151852357958e-08	5.020377648179419e-05	3.0840924409858417e-06	0.0007557789795100689	8.45037866383791e-05	9.9530473107734e-07	2.8668051527347416e-05	0.00108804227784276	4.529882460246881e-07	1.2198532886031899e-06	1.9516887732606847e-06	6.548254168592393e-05	4.46415833721403e-06	0.00011382567026885226	0.0008860006928443909	4.693190930993296e-05	0.0004350508388597518	4.860414992435835e-05	2.0145689632045105e-05	1.523971059214091e-05	5.6647277233423665e-06	0.0006586791132576764	0.00045777211198583245	4.417136005940847e-05
ABI3BP	1.951877720784978e-06	2.820357622113079e-06	7.0019974373281e-05	8.078245059550682e-07	1.6046817108872347e-05	2.0585966353792173e-07	1.4023501080373535e-06	0.00010654668585630134	0.0021153579000383615	0.00022449322568718344	0.0003736270882654935	7.96615204308182e-05	1.6419826351921074e-06	3.963092694903025e-06	3.1001252409623703e-07	8.032669575186446e-05	3.80046884629337e-07	4.61292927411705e-07	7.432294660247862e-05	1.7527830777908093e-06	0.00012546454672701657	8.469354497719905e-07	5.072272415418411e-06	2.2248792447499e-05
ABLIM1	3.883788667735644e-05	2.0023095203214325e-05	1.927777884702664e-05	8.211149543058127e-05	0.0011245482601225376	2.343861706322059e-05	0.0005497523816302419	0.0008233710541389883	0.00036961844307370484	1.9666453226818703e-05	1.6756193872424774e-05	0.00014503624697681516	4.012034878542181e-06	3.636350447777659e-05	0.000626899825874716	0.00014615230611525476	0.0004271746729500592	2.1556685169343837e-05	6.193054286995903e-05	1.3464269613905344e-05	2.923492866102606e-05	1.651073375796841e-06	0.0006858514389023185	6.920740270288661e-05
