Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21
ABCD4	0.0002534676459617913	0.0002878353698179126	0.000274523685220629	7.297160482266918e-05	0.00032625519088469446	0.00017360733181703836	0.0003313104098197073	0.00022610017913393676	0.00016381789464503527	0.0004361376049928367	0.00010478575859451666	0.00011195272963959724	0.0001560307282488793	0.0002351491420995444	0.0008344298112206161	2.7271757062408142e-05	3.4580574720166624e-05	0.000780849251896143	0.00020471356401685625	0.00036520406138151884	6.3843879615888e-05
ABCG2	1.2503143125286442e-06	1.7379950350004947e-06	6.4461014517291915e-06	2.0968565195289557e-07	4.561726200336125e-06	7.126147011149442e-06	8.680077371536754e-06	7.270073547260836e-05	4.424698545335559e-06	0.001425097114406526	1.9672108464874327e-05	1.4910671779944096e-05	3.38659665430896e-05	1.5103530131455045e-05	0.002609650371596217	5.800774829367583e-07	1.4567301150236744e-05	1.2623839211300947e-05	1.4428839676838834e-05	6.971023367441376e-07	8.215756679419428e-07
ABHD12	0.0001721556909615174	0.00028770347125828266	0.00022000647732056677	0.0003066140634473413	0.00030152875115163624	0.00029129695030860603	0.0004146392166148871	0.00011778151383623481	0.0004323615867178887	0.00011837464990094304	0.00024329028383363038	0.0004869335680268705	0.0007371596875600517	0.00011647010978776962	0.00014945150178391486	0.0002847449213732034	0.00041526395943947136	0.000368626497220248	0.00015816536324564368	0.00033619010355323553	0.0003132417914457619
ABHD2	4.866189919994213e-05	0.0001515610347269103	0.00016433509881608188	0.0003048187936656177	0.00012306496500968933	6.584949733223766e-05	0.00018608801474329084	0.0001017473332467489	4.124775659875013e-05	0.00010187084990320727	0.00011426697892602533	5.517832323675975e-05	0.0001745662884786725	0.00021999252203386277	6.769630999770015e-05	0.00048687338130548596	9.907882486004382e-05	0.00037290056934580207	9.163130744127557e-05	0.0035426029935479164	4.848801836487837e-05
ABI3	0.000397972937207669	0.0011581077706068754	5.407518983702175e-07	1.3005753771722084e-06	2.9672859454876743e-05	1.5164632714004256e-06	0.0004644936416298151	6.463943464041222e-06	0.0001002934222924523	0.0004154685011599213	9.429888450540602e-05	2.7949756258749403e-05	0.0006410609930753708	1.1342076504661236e-06	0.00043753618956543505	3.3662774967524456e-07	1.4334220395539887e-05	0.001268465886823833	3.069802187383175e-05	4.799247221853875e-07	3.774528067879146e-06
ABI3BP	3.9795548900656286e-07	4.094687540145969e-07	0.0021239807829260826	3.0080850592639763e-06	2.027956270467257e-06	0.0001136672799475491	6.243791972337931e-07	5.319569754647091e-05	3.797756653511897e-05	2.7331661840435117e-06	0.00017106567975133657	1.310638026552624e-06	9.217766319125076e-07	0.0002754162414930761	1.4486783584288787e-05	8.942313343140995e-07	3.224106706056773e-07	1.4566163372364827e-05	0.00013122509699314833	2.155837364625768e-06	0.00011321494093863294
ABLIM1	0.00036356886266730726	0.0005355366738513112	0.0004144019039813429	4.581270331982523e-06	0.0010462914360687137	0.00016235308430623263	0.0001432370045222342	1.1731098311429378e-05	3.311080945422873e-05	0.0004575230705086142	6.80549128446728e-05	1.992112993320916e-05	7.724394208707963e-07	2.3823573428671807e-05	0.0009776875376701355	2.0722751287394203e-05	3.740863030543551e-05	0.0007340857409872115	8.162376616382971e-05	6.289740122156218e-05	7.32910530132358e-06
ABLIM3	2.156286882382119e-07	2.3493957712616975e-07	0.00018836144590750337	7.110917294994579e-07	2.575186499598203e-07	4.860995886701858e-06	1.3482587064572726e-06	1.816980875446461e-05	8.415660886385012e-06	0.0003700941742863506	1.7888009097077884e-05	2.7806136131403036e-06	4.578839070745744e-05	7.253580861288356e-06	0.0010140052763745189	2.4294008653669152e-06	4.522984909272054e-06	1.7059423953469377e-06	9.072920875041746e-06	5.997735934215598e-05	1.8381728295935318e-05
AC004791.2	1.121637822620869e-07	2.2968247748167414e-08	9.080935825522829e-08	0.003530238289386034	2.535196941266804e-08	1.9531536565864371e-07	6.075701719510107e-08	7.863155815357459e-08	4.479207291296916e-06	4.442469148102646e-08	6.2724629970034584e-06	2.677308543752588e-07	5.78354320168728e-06	3.2034140673431466e-08	8.200827039672731e-08	6.428863663643369e-09	3.211812327208463e-08	2.6569406941234774e-07	3.649269274319522e-06	7.233596388545038e-09	3.090650864123745e-07
AC013461.1	0.00010950548312393948	3.653583917184733e-05	0.000517043168656528	3.025589103344828e-05	3.144328002235852e-05	0.0006115910946391523	4.1295970731880516e-05	0.0018567570950835943	0.00012695547775365412	0.0001242388825630769	0.00010964103421429172	3.555588409653865e-05	0.00021334928169380873	0.0002572330995462835	0.00016772975504864007	5.2237715863157064e-05	0.00017776212189346552	0.0001227409957209602	9.497257269686088e-05	6.000147550366819e-05	0.0004656090750358999
AC017002.1	2.123054400726687e-05	3.42371167789679e-05	1.3056687748758122e-05	2.9541411095124204e-07	1.3178458857510122e-07	2.9099234666318807e-07	0.0012743775732815266	5.892693479836453e-06	1.525173047411954e-05	4.784138945979066e-05	9.62639296631096e-06	4.1192021171809756e-07	8.461876859655604e-06	2.093259354296606e-05	4.709912957423512e-07	1.6936304803039093e-08	3.079067255384871e-06	5.183837288313953e-07	9.019294338941108e-06	2.7027839522020258e-08	6.7878854679293e-06
AC020571.3	1.0676922101993114e-05	0.0002580225409474224	3.6599367376766168e-06	0.0030776886269450188	0.0007666322053410113	1.7355705494992435e-06	0.0001684942253632471	8.219587471103296e-06	9.280922313337214e-06	5.054167786511243e-07	8.714422438060865e-05	7.459089488293102e-07	1.9178316961188102e-06	2.4671862774994224e-05	2.8654781658588035e-07	0.00018304379773326218	9.753169251780491e-06	4.527770579443313e-05	1.1591242582653649e-05	0.0004969174624420702	1.1162809414599906e-06
AC079767.4	0.001759651000611484	2.8174698130101206e-08	2.2182581460583606e-07	9.126024735905958e-08	3.941222104231201e-08	2.3565050355500716e-07	6.690567744271902e-08	1.1030934388145397e-07	5.399522251536837e-06	1.0137978279090021e-07	1.2996228178963065e-05	6.613201435357041e-07	0.0001193181742564775	6.632286186913916e-08	3.4017298844446486e-07	2.807079795275058e-07	1.1141795397406895e-07	3.15639823611491e-07	5.63685352972243e-06	1.0486122192787661e-08	4.29983771255138e-07
AC092580.4	1.5288036593119614e-05	0.000798524881247431	1.9558594033242116e-07	3.1228324814946973e-07	7.605007795064012e-06	6.069464575375605e-07	0.0011728247627615929	3.037183660126175e-07	2.6569217880023643e-05	1.7346597758205462e-07	1.4006219316797797e-05	2.3506440811615903e-06	2.5843769435596187e-07	2.858302821096004e-07	3.696718806622812e-07	6.741694136280785e-08	7.340185220527928e-06	2.5990790163632482e-05	7.511167950724484e-06	1.6048836926074728e-07	1.1999502476101043e-06
AC093642.3	3.953951090807095e-05	2.004688504086971e-08	8.327567968535732e-08	8.418734864790167e-08	2.129595344513291e-08	0.024595482274889946	3.812550986026508e-08	6.585432288375159e-08	2.8844601729360875e-06	4.339408121722954e-08	5.548746685235528e-06	1.5993840918326896e-07	1.990976898014196e-06	1.28107485579676e-05	7.068559426670618e-08	5.594267715736123e-09	0.004014849662780762	2.4119808017530886e-07	3.4302240692341e-06	6.375290517723897e-09	2.624898911562923e-07
AC093818.1	0.00013520600623451173	0.00019625655841082335	7.457166475433041e-07	5.8365814766148105e-05	0.00017860793741419911	1.8018113223661203e-06	0.00043372917571105063	1.0950566320389044e-06	0.0005480055697262287	0.0002719881886150688	5.5704265832901e-05	0.0033858793321996927	6.508812657557428e-05	1.565008278703317e-05	2.4803121050354093e-05	4.076834102306748e-06	2.053809339486179e-06	0.0004939770442433655	0.00029702947358600795	9.987627436203184e-07	0.00040899039595387876
AC104699.1	0.0008671044488437474	2.7369823740741595e-08	4.5419221805786947e-07	1.0173612707831126e-07	5.584165307936928e-08	2.2892615447744902e-07	5.901083355297487e-08	1.0784665960272832e-07	0.00014749869296792895	2.7428452085587196e-05	0.0001034913511830382	0.004369947127997875	1.396481479787326e-06	4.952607213226656e-08	1.7098409443860874e-07	1.5841552070128273e-08	1.8638655774338986e-07	3.55936862206363e-07	0.0010559979127719998	1.0385652338129603e-08	4.3322012288626865e-07
AC133644.2	3.016675873368513e-05	0.00012960851017851382	9.057447982740996e-07	1.769363507264643e-06	2.1310997908585705e-06	4.238597284711432e-06	0.002275474602356553	5.155215330887586e-05	3.66231361113023e-05	6.167060200823471e-05	2.9368165996856987e-05	1.5690713553340174e-05	3.4927285014418885e-05	3.17038684443105e-05	2.8935894533788087e-06	9.626181451949378e-08	5.93180766372825e-06	4.009062649856787e-06	2.62684807239566e-05	8.915046691981843e-07	3.0850085749989375e-05
AC233755.1	4.6238343202276155e-05	3.931285164071596e-08	1.221302170506533e-07	7.381277100648731e-08	2.2701171928929398e-06	3.958472802878532e-07	5.1616531493436923e-08	1.5796476304785756e-07	0.00016236808733083308	8.124386567942565e-07	7.414536412397865e-06	0.002389790490269661	9.086637930977304e-08	3.752450439264976e-08	7.249143152421311e-08	4.406060938322298e-08	9.656691872805823e-07	5.799259952254943e-07	0.00013290854985825717	6.886633485692073e-09	2.7222114340474945e-07
AC245100.1	0.00045847860747016966	0.0006956845754757524	2.2204241759027354e-05	0.00010840603499673307	0.0006958591984584928	0.00012805330334231257	0.00038591783959418535	3.254211333114654e-05	0.0003272531321272254	4.6424187871707545e-07	0.00010772302630357444	1.0459155419084709e-05	3.573284993763082e-05	4.908803748548962e-05	2.30163027481467e-06	2.5557983462931588e-05	3.713329351739958e-05	0.00035209799534641206	3.0410668841795996e-05	8.917996638047043e-06	4.6801425924059004e-05
ACACB	4.030992931802757e-05	4.631886986317113e-05	0.0002599111176095903	2.4428198230452836e-05	0.00012193675502203405	2.2997108317213133e-05	4.974438706994988e-05	0.0001271285436814651	0.00022855584393255413	0.00037822718149982393	4.9087895604316145e-05	3.810607086052187e-05	1.5164882825047243e-05	0.0001666559837758541	0.0006668505957350135	1.2992643405596027e-06	1.318040744990867e-06	2.1411893612821586e-05	7.457510946551338e-05	0.00014894055493641645	1.8134451238438487e-05
ACAT2	0.00025007722433656454	0.00044053138117305934	0.00011951060150749981	0.00019704618898686022	0.0004613838391378522	0.0004758444265462458	0.00036563683534041047	0.00018387574527878314	0.00011767083924496546	3.686283162096515e-05	8.562404400436208e-05	5.631439489661716e-05	0.00012493427493609488	6.0989190387772396e-05	0.0001117079664254561	0.0003127160598523915	0.0006191174616105855	0.00023531174520030618	0.00010451923299115151	0.00013498534099198878	0.00018524890765547752
ACE	1.3611635267807287e-06	9.279131518269423e-06	2.2523849111166783e-05	8.222968608606607e-05	7.015836308710277e-05	7.427463970088866e-06	2.1366683995438507e-06	1.957644235517364e-05	1.8795428331941366e-05	0.0018734557088464499	2.0532710550469346e-05	1.1322211321385112e-05	0.00015142599295359105	0.00012035990948788822	0.00020745256915688515	1.096496907848632e-05	1.0303860108251683e-05	1.424521315129823e-06	3.8983307604212314e-05	2.8743927032337524e-05	1.7648113498580642e-05
ACER3	0.00016889638209249824	0.00017124053556472063	0.0002010899333981797	0.001022057025693357	0.0001286001061089337	8.746986713958904e-05	0.00020213554671499878	0.00026705770869739354	0.00016354354738723487	0.0002459118841215968	8.789764979155734e-05	7.130402082111686e-05	0.0005071077030152082	0.0001460481435060501	0.00021543468756135553	7.345620542764664e-05	0.00012490680092014372	0.0004297193081583828	5.37760897714179e-05	0.00013153415056876838	7.583932892885059e-05
ACKR1	2.1432608718896518e-06	2.6144877551814716e-07	3.3789035569498083e-06	4.000118849489809e-07	4.090130005351966e-06	1.25999872579996e-06	2.6322638291276235e-07	9.480013432039414e-07	9.766468792804517e-06	9.1294597950764e-05	1.4292595551523846e-05	8.588943387621839e-07	1.9814805796158907e-07	1.4987139707045571e-07	0.002225080970674753	1.0800147265399573e-07	8.336514412121687e-08	1.5757417486383929e-06	7.4604399742383976e-06	2.3573217333705543e-07	9.460273417971621e-07
ACOT7	6.18100821156986e-05	0.00025452362024225295	3.111790647380985e-05	0.0014299637405201793	4.067303234478459e-05	0.0001947196142282337	0.0006134975701570511	5.166238406673074e-05	3.6422963603399694e-05	0.0002630887320265174	6.47928609396331e-05	2.407294959994033e-05	0.00012239352508913726	7.767872739350423e-05	4.764980258187279e-05	4.474727393244393e-05	0.0005859480006620288	6.18055637460202e-05	5.6240896810777485e-05	1.0582921277091373e-05	0.0002774273161776364
ACP5	0.000596884754486382	0.0002894358185585588	0.0003219986683689058	0.00021613333956338465	6.0217462305445224e-05	3.3086511393776163e-05	0.0010955799371004105	6.500901508843526e-05	0.0001657521352171898	7.203531708910305e-07	4.867285679210909e-05	0.00012484156468417495	0.0009302632533945143	8.01661008154042e-06	3.655809905467322e-06	8.118721598293632e-05	2.916356606874615e-05	4.5651759137399495e-05	7.7410317317117e-05	0.00029439202626235783	4.2639317143766675e-06
ACSL1	0.0001373836275888607	0.00010716544056776911	0.00012394522491376847	8.467696716252249e-06	5.3681505960412323e-05	6.487540667876601e-05	0.0003282395482528955	0.00010545943951001391	3.6941022699465975e-05	9.284499537898228e-05	9.399448754265904e-05	6.110524554969743e-05	0.0005590991349890828	0.0002086325694108382	5.563843842537608e-06	0.00010949731222353876	0.0002602854510769248	1.4826842743786983e-05	0.00017445783305447549	0.00047010075650177896	0.00016017355665098876
ACSL3	0.00020417358609847724	0.00019795143452938646	0.00028660823591053486	0.00021355526405386627	0.0002813106693793088	0.0001680429559201002	0.000181930314283818	0.00015786166477482766	0.00011289391113677993	0.000245223956881091	6.548061355715618e-05	0.0001219034384121187	0.0002346541004953906	0.00022007404186297208	0.00014200528676155955	0.0003892574168276042	0.00023789165425114334	0.0001747213682392612	0.00012620120833162218	0.002384860534220934	0.0003027580969501287
ACSL4	0.0001553004258312285	0.00022338944836519659	0.00020086049335077405	0.00212640012614429	0.00010534918692428619	0.00026017703930847347	0.0007178378873504698	0.0001519653742434457	0.00016120373038575053	0.00025637453654780984	7.620299584232271e-05	0.0001662824652157724	0.0004171233158558607	0.0002146866318071261	0.0001610693580005318	8.591954610892572e-06	6.81040037306957e-05	3.695269697345793e-05	0.00011602614540606737	1.1322315458528465e-06	0.00014198070857673883
ACTA2	4.488198555918643e-06	2.1163581550354138e-05	3.4950702684000134e-05	1.0468250366102438e-05	1.2540410352812614e-05	0.002943948609754443	5.3955700423102826e-05	0.0018843028228729963	4.540239388006739e-05	1.6425187823188026e-06	8.990363130578771e-05	5.686657459591515e-06	4.003405138064409e-06	0.0004476800677366555	1.829250209084421e-06	1.0785363429022254e-06	6.006587682350073e-06	2.7419206162448972e-05	0.00011140642163809389	1.018996158563823e-06	1.8412049030303024e-05
ACTB	0.001380197936668992	0.002711348235607147	0.00026424037059769034	0.0005571295623667538	0.0011646072380244732	0.0013937237672507763	0.002178704598918557	0.0007117963396012783	0.00047844130313023925	0.00033873956999741495	0.000621537328697741	0.00013878149911761284	0.0015499379951506853	0.0006505285273306072	0.0004245575109962374	0.0003886753402184695	0.0008451918256469071	0.0009968121303245425	0.0003807657631114125	9.090051025850698e-05	0.00043674639891833067
ACTG2	7.477704912162153e-06	5.313983820087742e-06	2.928044011696329e-07	1.934890633492614e-06	4.3439658838906325e-06	0.010759750381112099	4.2335483158240095e-05	0.0001265419414266944	2.2420625100494362e-05	5.89835629227764e-08	1.0065034985018428e-05	4.244825049681822e-06	3.8989767858765845e-08	1.117881993195624e-06	8.855342770175412e-08	1.917706867970992e-06	5.898491872358136e-05	3.6793526305700652e-06	2.323823719052598e-05	2.5603245035199507e-07	6.173499969008844e-06
ACTN1	8.456726391159464e-06	1.1271735274931416e-05	0.00022634814376942813	1.9178687580279075e-05	0.0002578306884970516	0.003090693848207593	1.89539077837253e-05	0.0008250885875895619	6.590387783944607e-05	0.00022141169756650925	0.00033495313255116343	1.0464011211297475e-05	0.00033176009310409427	0.0014276877045631409	0.0008501973352394998	0.00027804242563433945	0.0003002450102940202	2.7760341254179366e-05	0.00021177020971663296	0.0003259505610913038	0.00018115060811396688
ACTR3	0.0010343088069930673	0.0014302176423370838	0.00012159785546828061	0.0008346589165739715	0.0009847431210801005	0.0005038611707277596	0.00133799749892205	0.0003185760579071939	0.00036410591565072536	0.0002918411628343165	0.0003628184786066413	0.00020267671789042652	0.0007291457732208073	0.0003102408372797072	0.00028559286147356033	0.00030457743559964	0.00043373380322009325	0.000619150756392628	0.0002411944733466953	0.0002254533756058663	0.000467075064079836
ACVRL1	6.950195938770776e-07	2.633184408296074e-07	0.00089280866086483	1.9804638213827275e-05	5.732842396355409e-07	2.0761279301950708e-05	8.740329349166132e-07	0.0002485185978002846	1.2134123608120717e-05	0.0019987800624221563	3.409936107345857e-05	4.00136423195363e-06	0.00010913924779742956	0.00020173349184915423	0.0008290985715575516	6.133843157840602e-07	4.6610747972408717e-07	9.832111800278653e-07	3.662873859866522e-05	1.2376826816762332e-06	0.00010449083492858335
ACYP1	0.0001855938753578812	0.000360376201570034	0.0002461544063407928	0.00010720402497099712	0.00033061971771530807	0.00033853581408038735	0.00045141353621147573	0.000259273627307266	0.00028885461506433785	3.891517917509191e-05	7.645032746950164e-05	4.366553184809163e-05	4.644167347578332e-05	6.128781387815252e-05	0.00016161889652721584	0.0002078183024423197	0.0005357745685614645	0.00041906634578481317	5.648924707202241e-05	0.00021003831352572888	5.115721796755679e-05
ADAM12	4.881967015535338e-06	3.7893646549491677e-06	0.0007385137141682208	0.00036887219175696373	2.7399304599384777e-05	1.3089791536913253e-05	4.553523467620835e-05	0.00011086770973633975	0.00010286114411428571	4.800185138265078e-07	0.0003845968749374151	2.086687345581595e-06	1.1312367860227823e-05	0.0016839555464684963	8.201905643545615e-07	1.5779064597154502e-06	3.096993850704166e-06	1.3027364730078261e-05	0.00017020605446305126	3.63372464562417e-06	5.4077037930255756e-05
