Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30	Topic31
AC013461.1	8.360336505575106e-05	0.0018970260862261057	0.00018505848129279912	0.00012032673839712515	2.9181785066612065e-05	5.730888733523898e-05	1.8240640201838687e-05	0.0004683945735450834	0.00019054753647651523	2.7855519874719903e-05	0.00013875565491616726	0.0005584020400419831	0.00037882846663706005	4.215049557387829e-05	5.3709747589891776e-05	0.0019257345702499151	0.00023848767159506679	9.562675404595211e-05	2.8115287932450883e-05	7.629247556906193e-05	0.0002165790501749143	0.00012263021199032664	0.0001596207293914631	0.00025084035587497056	4.1952833271352574e-05	9.455979125050362e-06	0.00016537515330128372	0.0004669356858357787	5.634722765535116e-05	1.845617953222245e-05	4.127808642806485e-05
AC017002.1	4.7563396947225556e-05	2.0970578589185607e-06	3.0547795176971704e-05	1.6402832443418447e-06	9.243630302080419e-06	1.559303264286882e-08	5.145505383552518e-06	1.3737490007770248e-06	1.8960652596433647e-05	2.450506144668907e-06	2.1515656044357456e-05	9.178093023365363e-06	1.6017689574709948e-07	4.54774999525398e-06	3.2426012239739066e-06	4.112089754926274e-06	2.2044459910830483e-05	4.911757969239261e-06	0.0007012138376012444	2.5554918465786614e-06	8.387587513425387e-06	3.1157119337876793e-06	2.3630088890058687e-06	7.2277712206414435e-06	3.836158157355385e-06	8.67055902631364e-08	1.0375233614468016e-05	6.830040092609124e-06	9.878191598033936e-09	2.3202640022645937e-06	0.0015783358830958605
AC020571.3	3.0464674637187272e-05	9.824712833506055e-06	6.620744534302503e-05	1.5337305967477732e-06	2.6806906134879682e-06	6.4537152866250835e-06	0.000600078550633043	0.0003992904385086149	0.003591864136978984	8.702097034074541e-07	4.2939294075949874e-07	9.66596303442202e-07	5.589575948761194e-07	8.242603144026361e-06	0.00020053716434631497	2.6948241611535195e-06	2.2428837837651372e-05	5.739233984058956e-06	0.00039094238309189677	5.543300721910782e-05	2.824789646638237e-07	1.66040035765036e-06	1.6661380186633323e-06	1.1360644748492632e-05	7.960804396134336e-06	0.002735839458182454	1.602234647180012e-06	4.195962617359328e-07	7.44155258871615e-05	0.0008317658794112504	8.994156087283045e-05
AC079767.4	1.2825623343815096e-05	2.8113345251767896e-07	4.582087422022596e-05	5.714126700695488e-07	1.6248432075371966e-06	1.2657898196266615e-07	1.9550947172319866e-07	1.8243821386931813e-06	4.41198473311033e-08	1.7066254542896786e-07	3.536787573921174e-08	1.0380514225971638e-07	2.9625888942064194e-07	5.236267952568596e-06	2.33128716331521e-07	5.683273798240407e-07	2.9397515532991747e-08	2.2811259441368748e-06	5.926701263092582e-08	6.027948273867878e-08	0.00011121195711893961	0.002079131081700325	9.119429478232632e-07	5.594937647401821e-06	4.529744273895631e-06	9.750410612241467e-08	1.4796692937579792e-07	3.756188107217895e-07	5.40848121843851e-09	4.1271267292586344e-08	1.6986915625238908e-06
AC092580.4	2.727793253143318e-05	2.739201590884477e-06	7.977123459568247e-05	6.587338816643751e-07	5.6273702284670435e-06	5.014668147396151e-08	8.14933537185425e-06	6.969019977987045e-06	4.0583333316135395e-07	4.886904662271263e-06	5.005369985155994e-08	1.3138843257820554e-07	2.867415673790674e-07	1.08295298559824e-05	0.0017375171883031726	1.7748787684013223e-07	6.16309492329492e-08	7.559518508060137e-06	0.0019532376900315285	0.0004298963467590511	1.425698457069302e-07	2.2504116259369766e-06	1.3847651416654116e-06	1.1148889825562946e-05	2.2147891286294907e-05	1.916722425221451e-07	2.83672779914923e-05	4.877418859905447e-07	1.7499459659120475e-08	8.274323045043275e-05	0.00016596609202679247
AC093642.3	7.674330845475197e-06	1.650140575293335e-07	2.0208024579915218e-05	1.8516044519856223e-07	1.897397123684641e-05	0.0025796268600970507	1.2753454825542576e-07	1.1161077964061406e-06	3.176783991420962e-08	1.1552194223440893e-07	2.093039874750957e-08	4.235160986354458e-07	1.4240726159187034e-05	2.976036284962902e-06	8.889690406022055e-08	5.61247510688645e-08	1.614411537786964e-08	1.387847873957071e-06	2.4643276219649124e-07	3.294642780815593e-08	4.941154543303128e-07	3.9294242526466405e-08	5.434995955511113e-07	2.699006245165947e-06	2.815048219417804e-06	4.879489168274631e-08	3.274570303801738e-08	0.01508896891027689	3.0791476035574306e-09	1.0477640977057945e-08	0.00016898279136512429
AC093818.1	0.00021794559143017977	0.00021057443518657237	0.0004283561138436198	4.091519076609984e-05	0.0017122844001278281	6.5426575019955635e-06	0.00011844340042443946	6.852897058706731e-06	2.6567819077172317e-05	0.002975658280774951	0.00015519527369178832	1.8101776788626012e-07	6.582376045116689e-06	2.9642209483426996e-05	0.0003706464485730976	1.6822923498693854e-05	8.403556421399117e-06	5.3886369641986676e-06	0.0002193853579228744	0.00011773928417824209	6.576763553312048e-05	0.00010375295823905617	8.096640158328228e-06	0.0001399737666361034	2.291176497237757e-05	7.667982572456822e-05	3.581679720809916e-06	0.00027246447280049324	1.975657966113431e-07	0.00019247047021053731	0.0006721280515193939
AC104699.1	0.00015179772162809968	3.063464930619375e-07	0.00015236595936585218	3.034112978639314e-07	0.0004562700923997909	8.527176298400718e-09	3.9908707094582496e-07	1.8519581317377742e-06	6.433924681914505e-08	0.0045300074853003025	3.957628180728534e-08	1.0388676230377314e-07	1.5364007310836314e-07	6.360990937537281e-06	2.163598793458732e-07	8.296458872791845e-06	4.045527290941209e-08	3.1021679660625523e-06	5.965374327843165e-08	7.098258691939918e-08	7.689530434618064e-07	0.0009605088271200657	1.0828273389051901e-06	1.3898506040277425e-05	7.137886768759927e-06	3.0357327887031715e-06	7.632006031599303e-07	5.132184810463514e-07	5.604082975452229e-09	3.3747529215588656e-08	8.386620038436376e-07
AC133644.2	8.687424997333437e-05	7.594242197228596e-05	7.815998833393678e-05	9.492576396041841e-07	1.85445933311712e-05	2.6328351054871746e-08	9.727254655444995e-05	2.7223552024224773e-05	4.7133431507973e-05	2.1647212633979507e-05	3.018471397808753e-05	9.856834140009596e-07	7.556225227745017e-07	1.4433407159231137e-05	1.2948862604389433e-05	4.443008219823241e-05	2.531992686272133e-05	6.882870366098359e-05	0.0013458819594234228	2.70072378043551e-05	3.470641604508273e-05	3.966826170653803e-06	4.398047531140037e-05	2.867872353817802e-05	1.5039335266919807e-05	5.042002726440842e-07	1.1924129466933664e-05	1.3339963516045827e-05	9.820415414196759e-08	2.711308297875803e-05	0.0027217771857976913
AC233755.1	0.04747463017702103	1.8944037094570376e-07	4.534424078883603e-05	5.278743628878146e-07	7.707576151005924e-05	6.8529795171912156e-09	2.3219695322040934e-07	1.2588877780217445e-06	5.5009035548891916e-08	0.0017881746171042323	2.4392464936795477e-08	5.974145977916123e-08	7.385466460618773e-07	3.216649702153518e-06	1.3420060440694215e-06	3.006583995102119e-07	3.479109977888584e-08	1.5768200682941824e-06	7.69792848132056e-07	9.101144371470582e-08	4.38984848472046e-08	6.290206783887697e-06	6.027914309925109e-07	7.354903118539369e-06	6.4852374634938315e-06	3.830618516076356e-05	1.455103756597964e-06	6.301854682533303e-07	3.4225755562999893e-09	1.032658332178471e-07	1.6396005548813264e-06
