Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30
ABCC3	0.0002370552538195625	5.577683737101324e-07	8.811865370716987e-08	4.761016316479072e-05	1.2105222140235128e-06	0.00011600914149312302	3.04432830944279e-07	1.2240760725035216e-06	2.98154560596231e-07	0.0008540287963114679	1.8584492863737978e-05	1.4997293646956678e-06	2.2314961825031787e-05	2.4671032861078857e-07	1.4760984413442202e-05	2.2001053366693668e-05	1.867702667368576e-05	1.8619206457515247e-05	4.849284960073419e-05	0.00011271015682723373	4.607595087691152e-07	1.8039739302366797e-07	7.039064371383574e-07	1.8002150682150386e-05	9.233423043042421e-05	1.9441569747868925e-05	0.00043864044710062444	0.00014838804781902581	4.003187859780155e-05	6.46453236186062e-06
ABCC4	1.6749612768762745e-05	9.990255057346076e-05	0.00014278640446718782	3.9626269426662475e-05	1.3103498531563673e-05	0.0002402682730462402	0.0014814382884651423	5.343748125596903e-05	0.0002675090217962861	0.00012754177441820502	0.00021919912251178175	0.0007238899706862867	2.5347414975840366e-06	0.00012498155410867184	2.783855961752124e-05	1.5414947483805008e-05	0.0002417709183646366	1.547810825286433e-05	0.00025898750755004585	0.00014725609798915684	0.00010415404540253803	0.00010148042201763019	2.135802060365677e-05	2.070928894681856e-05	1.769753907865379e-05	1.0580695743556134e-05	1.2051152225467376e-05	1.7443817341700196e-05	8.841064118314534e-05	1.4671395547338761e-05
ABCC9	6.4651826505723875e-06	4.1369312953065673e-07	4.171297121047246e-07	6.53885945212096e-05	9.204697562381625e-06	0.0006348178721964359	5.251220045465743e-07	9.935048183251638e-06	3.2659795579093043e-07	1.2425054762843502e-07	2.0351641069282778e-05	1.0131484486919362e-06	4.304253025111393e-07	1.4059719433134887e-07	3.4852480894187465e-05	1.1897360309376381e-05	1.1098460390712717e-06	1.2818192772101611e-05	1.0425338103914328e-07	9.956863323168363e-06	2.9340412766032387e-07	4.2924872900584887e-07	1.603616624379356e-06	1.4412808923225384e-05	1.562458692205837e-06	0.002575095510110259	1.3402119520833367e-06	9.053777830558829e-06	4.253465885994956e-05	1.494843644422872e-07
ABCD4	0.0006044654292054474	0.00027691799914464355	0.00025533686857670546	0.00024176680017262697	0.00010976455814670771	0.0007328434730879962	8.518630784237757e-05	0.0004200500261504203	0.0001189430186059326	0.00015646750398445874	0.00019239293760620058	0.00018242635997012258	9.166443487629294e-05	0.0002534779196139425	0.00023415540636051446	0.00010388411465100944	0.000518023909535259	0.0002456990478094667	0.0005982864531688392	0.00016307034820783883	0.0002457357768435031	0.0006307216244749725	0.00023712190159130841	0.0002566887123975903	0.00022543393424712121	8.222652832046151e-05	0.00025914469733834267	4.2657764424802735e-05	0.0002537331311032176	2.8754484446835704e-05
ABCG2	3.1927015697874594e-08	7.772342769385432e-07	8.527703130312148e-07	1.0883343747991603e-05	4.327449119045923e-07	1.9262406567577273e-05	1.5474847714358475e-07	7.916946742625441e-06	1.3786522004011204e-06	3.670547130241175e-06	2.474001576047158e-06	8.052430189309234e-07	1.2486363232255826e-07	1.0020510217145784e-06	9.297727956436574e-06	6.381396815413609e-06	2.906144516146014e-07	0.06863018125295639	0.000968163541983813	4.3835436372319236e-05	2.435141141177155e-06	2.5234935492335353e-06	6.678653790004319e-07	2.964658733617398e-06	1.649537807679735e-05	1.3639793905895203e-05	1.255485358342412e-06	1.6015766277632792e-06	4.869390863859735e-07	4.93757625008584e-06
ABHD12	0.00016044634685385972	0.00043190448195673525	0.00022940858616493642	0.0002458466333337128	0.00010428670793771744	0.00021224319061730057	0.00031458839657716453	0.000354639021679759	0.00044784980127587914	0.0007630850886926055	0.00010508006380405277	0.0002443719422444701	0.00034876781865023077	0.00015420551062561572	0.0002167036582250148	3.433259189478122e-05	0.00030808692099526525	0.0005254691932350397	0.00012929078366141766	0.0002490646729711443	0.0002647452347446233	0.0004652452189475298	0.00018071119848173112	0.0003028353094123304	0.00012558451271615922	0.00011104587611043826	0.000256112776696682	0.0003824771265499294	0.0002102354192174971	0.0003658795903902501
ABHD2	0.004669398535043001	0.0002265207440359518	0.00017849211872089654	4.338272992754355e-05	3.649515565484762e-05	0.00018981724861077964	0.000329709640936926	0.0003156225138809532	4.44002725998871e-05	0.00017313500575255603	0.00022544339299201965	9.581433550920337e-05	0.0014075801009312272	4.243753573973663e-05	8.027898002183065e-05	3.368173202034086e-05	0.004133546259254217	8.714279829291627e-05	8.889698074199259e-05	6.0705726355081424e-05	0.00016140466323122382	0.00019291277567390352	0.00014515890507027507	0.00014814117457717657	0.00015415275993291289	0.0001028696569846943	1.635816261114087e-05	5.450016396935098e-05	0.00019253454229328781	0.000124401951325126
ABI3	6.284618621066329e-07	0.0005193425458855927	0.00019493731088005006	8.002524555195123e-05	5.319113824953092e-06	3.171250227751443e-06	1.2960601907252567e-06	0.0019234663341194391	2.8594980904017575e-05	0.0006572933052666485	7.086147775225982e-07	0.00024132829275913537	5.347891729456933e-08	0.0004363273619674146	5.704406794393435e-05	5.6307482736883685e-05	8.470900866086595e-06	0.000355436815880239	0.00042991622467525303	0.00012308559962548316	0.0014951988123357296	0.000497393193654716	3.233303459637682e-06	3.797349563683383e-05	1.6755261640355457e-06	1.7934937659447314e-06	3.323172677482944e-06	1.7317636320512975e-06	4.0913681687015924e-07	5.98055703449063e-05
ABI3BP	2.827846856234828e-06	2.3971770701791684e-07	2.9062914563837694e-07	0.00010537617345107719	0.00015870977949816734	0.00024738049251027405	1.534399643787765e-06	6.670742322967271e-07	7.866067335271509e-07	7.827022727724398e-07	0.00029662754968740046	3.079304860875709e-06	6.540891916984037e-08	1.7595846202311805e-07	8.972173964139074e-05	4.344141052570194e-05	4.982859081792412e-06	0.00035935232881456614	2.12509507946379e-06	3.104340430581942e-05	2.7198939278605394e-07	7.681974238948897e-07	3.1648471576772863e-06	1.6563950339332223e-05	4.7598664423276205e-06	3.6170469684293494e-05	3.516067590680905e-05	0.00018890849605668336	0.0023196337278932333	3.741668876955373e-07
ABLIM1	0.00013987965940032154	6.986391235841438e-05	0.0008088467875495553	0.00019843180780299008	0.00011308807734167203	4.971980888512917e-05	2.0268685148039367e-06	0.0009321274701505899	1.8204022126155905e-05	7.311776357710187e-07	2.9896633350290358e-05	1.1044084203604143e-05	2.0035817215102725e-05	0.00042736955219879746	8.249195525422692e-05	0.00021352067415136844	6.762598786735907e-05	0.00016157330537680537	0.0006725832936353981	7.476543396478519e-05	0.00032269165967591107	0.0005614074179902673	5.436358605948044e-06	0.00014026343706063926	0.00023091424372978508	1.0676802958187182e-05	0.00035482324892655015	1.6707414033589885e-05	0.0004828547826036811	9.442620466870721e-06
