Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20
ABHD2	0.0002295832528034225	0.0002342511434108019	0.00011480861576274037	0.0001480824575992301	6.386500899679959e-05	0.00021194359578657895	0.00012275150220375508	0.00024848352768458426	0.0003799471305683255	0.0001242300495505333	9.437073458684608e-05	0.00017690200184006244	4.727534542325884e-05	0.0001499928330304101	4.36968075518962e-05	0.00015148580132517964	0.0034187377896159887	0.0003437926061451435	9.066783968592063e-05	0.00013436307199299335
ABI3	0.00013355693954508752	1.966813442777493e-06	0.00043657171772792935	0.0008479179232381284	0.0003951242833863944	0.0016523557715117931	7.333003304665908e-05	6.371782365022227e-05	1.1431025370711723e-07	0.0006106188520789146	3.5895836845156737e-06	0.0005970593192614615	3.169276533299126e-05	0.0004089559952262789	0.0004016688617412001	5.432499392554746e-07	1.5565866817723872e-07	4.803283081855625e-05	3.768433816730976e-05	0.0001736737322062254
ABI3BP	1.8037899280898273e-06	0.00033415775396861136	8.5506226241705e-06	7.151663794502383e-07	1.3776510968455113e-05	6.602864459637203e-07	4.7638849309805664e-07	1.4198808457877021e-05	2.1282339446315746e-07	3.6114047361479606e-06	6.74110560794361e-05	8.441725185548421e-07	2.004205725825159e-06	3.27131747326348e-05	3.1957651458469627e-07	0.0014188296627253294	3.0018088637007168e-06	0.00010309976642020047	2.168247738154605e-05	3.7793464002788824e-07
ABLIM1	4.6386689064092934e-05	4.736605114885606e-05	0.0003900344017893076	0.0002185065532103181	0.0010651579359546304	0.0005748489056713879	2.236715408798773e-05	0.001599215785972774	2.5186314815073274e-05	2.3690759917371906e-05	2.0169998606434092e-05	3.1266622499970254e-06	1.6289446648443118e-05	0.00032933492911979556	0.00036600197199732065	0.00024209510593209416	5.029692692914978e-05	0.00016677039093337953	3.668927092803642e-05	0.0007437918684445322
ABLIM3	2.2003866888553603e-06	2.691178087843582e-05	0.00029311951948329806	2.0633035546779865e-06	0.0011317256139591336	4.694067854416062e-07	1.1029469533241354e-06	4.487517344387015e-06	6.7583637246571016e-06	6.897322464283207e-07	2.1295514670782723e-05	4.961690865457058e-05	1.4895408639858942e-06	2.6395129680167884e-05	3.1508048436990066e-07	6.723598926328123e-05	3.656175249489024e-05	0.0010277656838297844	8.337834515259601e-06	5.012316819374973e-07
AC004791.2	7.075973229575538e-08	3.0168308740030625e-08	5.149695070372218e-08	7.636661791821098e-08	8.044834487463959e-08	4.5873477461100265e-08	8.195308964786818e-08	1.420419550868246e-07	5.935236746523742e-09	1.2782170699665585e-07	6.448938449921116e-08	3.112673852001535e-08	1.8549786773291999e-07	1.1125059700134443e-06	6.386273554426225e-08	6.243766392799444e-08	0.00029090672614984214	4.346778723629541e-07	3.75827858078992e-06	2.721822411899666e-08
AC013461.1	4.2802919779205695e-05	0.0002625573251862079	0.00018284951511304826	3.686020863824524e-05	0.00012009117199340835	6.443246820708737e-05	0.00018741910753306001	9.571092232363299e-05	8.109262125799432e-05	0.00025084102526307106	0.0018084448529407382	0.00019299541600048542	3.2186584576265886e-05	0.00019044287910219282	0.00011733116843970492	0.00047472145524807274	4.586540671880357e-05	0.00012297171633690596	3.889730942319147e-05	1.764933404047042e-05
AC017002.1	0.0012006022734567523	1.4018718502484262e-05	3.788700996665284e-05	0.0006366937304846942	8.016633614715829e-07	1.4435555385716725e-05	1.105123828892829e-06	9.601563988326234e-07	2.152057909654559e-08	3.830561126960674e-06	2.0927075183863053e-06	1.1354853086231742e-05	6.565989565388008e-07	1.0470620509295259e-05	9.326082022198534e-07	1.1476706276880577e-05	1.0887944768001034e-08	7.928716172500572e-07	4.512252871791134e-06	1.6778348026491585e-06
AC020571.3	0.00013752549421042204	2.1324443878256716e-05	4.742176713534718e-07	0.00031042139744386077	2.658615585460211e-07	0.0001405597577104345	2.0392960777826374e-06	0.00036186043871566653	1.1398603305678989e-07	2.6624764359439723e-05	2.1727285002270946e-06	1.0432765975565417e-06	1.7513290231363499e-06	3.668268254841678e-05	5.152967901267402e-07	6.460138592956355e-07	0.0009477940038777888	6.583953654626384e-05	2.5084389562834986e-05	0.0005196688580326736
AC079767.4	1.375289286897896e-07	5.3438558467178154e-08	8.22985128934306e-08	8.315134181202666e-08	1.4094591449520522e-07	9.624079666537e-08	8.44564524982161e-08	2.4688492317181954e-07	1.5122031626901844e-08	7.238918442453723e-06	9.707835602057457e-08	0.0001246118190465495	1.6300325000884186e-07	2.8399690563674085e-06	0.0021578387822955847	2.0579479098614684e-07	1.2469083543464876e-08	6.205039539963764e-07	3.5985706290375674e-06	8.418221142392213e-08
