Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28
ABCC3	2.1771267711301334e-05	4.5513391455642704e-07	0.00012326709111221135	5.130694376020983e-07	3.3498970879008994e-05	0.0009163009817712009	2.6475710910744965e-05	6.185776874190196e-05	2.0317074813647196e-06	8.335112215718254e-05	4.5858558905820246e-07	5.485082965606125e-06	5.59946165594738e-05	6.63081809761934e-05	3.739521901025e-07	3.683303475554567e-07	1.4100111911830027e-05	1.7611665725780767e-07	5.380074526328826e-06	2.9633098165504634e-05	1.598144649506139e-06	1.8718694150265947e-07	3.187677066307515e-06	2.7546304863790283e-06	3.731228161996114e-06	8.545687705918681e-06	1.9259366013102408e-07	0.00044272051309235394
ABCC4	2.1466885300469585e-05	1.1507964700285811e-05	7.417823508149013e-05	0.0003246129199396819	0.0003810756898019463	0.00010008832032326609	1.8247410480398685e-05	0.00023584494192618877	0.0002619088045321405	0.0003852732479572296	3.2351613299397286e-06	0.0002148565254174173	5.34544451511465e-05	7.349930456257425e-06	0.0015269536525011063	8.074106881394982e-05	0.00013031484559178352	0.00011777511099353433	0.0005744727677665651	0.00016747463087085634	0.0001303831086261198	2.5115137759712525e-05	1.2222321856825147e-05	0.0006521799368783832	2.5429786546737887e-05	3.502131221466698e-05	0.00011030212772311643	1.1988600817858241e-05
ABCC9	0.0022618602961301804	8.392950689994905e-07	2.3237113055074587e-05	1.7174503454953083e-06	2.0141976619925117e-06	2.552227442720323e-07	1.3169624253350776e-05	1.407108953799252e-07	3.4954334182657476e-07	6.236469926079735e-05	3.4291065276192967e-07	2.1227046090643853e-05	5.28865130036138e-05	2.2449876269092783e-06	2.88828971406474e-07	4.826321173823089e-07	1.683472510194406e-05	7.315914558603254e-07	8.869012617651606e-07	4.572455145535059e-05	1.6051124873683875e-07	8.986157240542525e-07	4.717608135251794e-07	8.69232553668553e-06	3.721854966443061e-07	0.0001969199802260846	4.654810084048222e-07	8.445082926300529e-07
ABCD4	0.000184713484486565	5.695925574400462e-05	0.00021392277267295867	0.00031837777351029217	0.0003880000440403819	0.00015330998576246202	0.0001466546964365989	0.0006290573510341346	0.00011878949590027332	0.0005593033274635673	2.0587409380823374e-05	0.00025909426040016115	0.00017511397891212255	0.00021857680985704064	7.369060767814517e-05	0.0003747695591300726	0.00010211947665084153	0.0003042613388970494	0.00016775068070273846	0.0002394078328507021	0.0002452920889481902	0.00016746661276556551	4.0296450606547296e-05	0.0013923197984695435	0.00012684334069490433	0.00021158848539926112	0.0002747430116869509	9.360021067550406e-05
ABCG2	6.992201087996364e-05	1.7287196669713012e-06	1.141343545896234e-05	2.8221009415574372e-05	9.539347729514702e-07	4.5205113565316424e-05	4.471816282602958e-06	0.002193897031247616	1.3083858902973589e-05	3.6413530324352905e-05	6.454326921812026e-07	3.963832114095567e-06	3.7980792058078805e-06	5.151287041371688e-07	1.1870849903061753e-07	2.2549786535819294e-06	5.32685362486518e-06	4.159262061875779e-06	3.1088429750525393e-06	1.0007572200265713e-05	5.872209385415772e-07	2.8561810268001864e-06	3.391252539586276e-05	8.759896559240588e-07	2.3917233193060383e-05	4.652830284612719e-06	7.314436629712873e-07	2.9328593882382847e-06
ABHD12	0.00012070158118149266	0.0003414239326957613	0.0002698767348192632	0.0002204798220191151	0.00011855125922011212	0.0008150116191245615	0.00015470731887035072	0.00013612268958240747	0.0004566054849419743	0.00017739518079906702	0.00032901918166317046	0.0003395552921574563	0.00023991007765289396	0.0003364015428815037	0.0003198755730409175	0.0005314879817888141	0.00010431575356051326	0.0003398163244128227	0.00014292745618149638	0.0001965550472959876	0.00015488108329009265	0.0001407697272952646	0.00030186004005372524	0.0006616181344725192	0.0003277248179074377	0.00011625980550888926	0.00023581793357152492	0.0005080263363197446
ABHD2	9.921338642016053e-05	0.0003260990197304636	0.00010315931285731494	0.0001260477292817086	0.0002124043385265395	0.00017679162556305528	5.623027027468197e-05	7.830618415027857e-05	5.260012767394073e-05	0.000241172150708735	9.513858094578609e-05	3.315290086902678e-05	0.000143516474054195	0.0026409898418933153	0.00031061196932569146	0.00018621353956405073	0.00020264128397684544	0.00018783254199661314	0.00014607694174628705	4.8443431296618655e-05	4.917401020065881e-05	0.00023567232710774988	0.0001294510584557429	0.00028737031971104443	0.00012526857608463615	2.6595131203066558e-05	0.00011351730790920556	4.3850173824466765e-05
ABI3	9.235478501068428e-06	2.2721098503097892e-05	0.00016092961595859379	0.00025626769638620317	7.306176121346653e-05	0.0005779490456916392	4.5905278966529295e-05	0.0004829268727917224	3.885852493112907e-05	3.928975047529093e-07	2.402085215180705e-07	5.306785169523209e-05	7.63018192628806e-07	8.174455246034995e-08	6.205549425430945e-07	0.0002374340983806178	1.0664163028195617e-06	0.001470361603423953	0.0010347163770347834	0.00010270848724758253	0.00046697849757038057	3.2792686397442594e-05	9.39328529057093e-05	0.00010257610119879246	0.00013707629113923758	9.13358962861821e-05	0.0002827361167874187	1.2229097592353355e-06
ABI3BP	5.5565684306202456e-05	8.865281415637583e-07	0.00010137527715414762	5.377099228098814e-07	4.044395609525964e-05	7.813023330527358e-07	2.587937342468649e-05	4.85828331875382e-06	7.787680829096644e-07	0.0006979851168580353	3.650050928172277e-07	1.6561341908527538e-05	0.002007081639021635	2.3505070601004263e-07	1.7707300230540568e-06	9.704708645585924e-07	0.00020091285114176571	2.1318889764643245e-07	2.277008206874598e-06	4.991179230273701e-05	4.345491504409438e-07	4.875951617577812e-06	7.350522537308279e-07	1.5677993360441178e-05	9.198262205245555e-07	4.58387985418085e-05	4.746033539504424e-07	2.9921568057034165e-05
ABLIM1	1.4993667718954384e-05	2.020937972702086e-05	0.00012026842159684747	0.0015924610197544098	9.650090214563534e-05	3.1334516279457603e-06	0.00025946146342903376	0.000738983741030097	1.685449024080299e-05	0.000113391644845251	2.3533199055236764e-05	0.00012246250116731972	0.0003914455301128328	4.2986011976609007e-05	1.6379044609493576e-06	0.0003992798156104982	9.120618415181525e-06	0.0003323798009660095	3.621805262810085e-06	7.270844798767939e-05	0.0002840538218151778	0.00017221918096765876	2.4467390176141635e-05	0.0013430737890303135	3.473647666396573e-05	0.00030549868824891746	0.0007810401148162782	6.800756818847731e-05
