Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29
ABCD4	0.00022197095677256584	6.0999187553534284e-05	0.0004134821647312492	0.00024989701341837645	0.0002846074348781258	0.0014042919501662254	0.0001905237149912864	0.00022505347442347556	9.202503133565187e-05	0.0001392583071719855	0.0002643345214892179	7.00385426171124e-05	0.00021370258764363825	6.251657760003582e-05	3.0626139050582424e-05	0.00046223009121604264	2.4475701138726436e-05	0.00017188531637657434	0.0003451826923992485	0.00017718579329084605	0.00015780173998791724	0.0009258025675080717	0.00040323942084796727	0.00037913225241936743	0.00013248331379145384	0.0008587002521380782	0.0004031298158224672	0.00017646751075517386	8.420197991654277e-05
ABCG2	3.476741403574124e-05	1.943134748216835e-06	0.0009207059047184885	1.5562441149086226e-06	1.857801544247195e-05	1.8124974303646013e-06	8.047985465964302e-05	6.147103590592451e-07	1.3290818060340825e-05	5.361096100386931e-06	2.6358048899055575e-07	1.0796132983159623e-06	1.7758875401341356e-05	2.571391178207705e-06	3.4982255670001905e-07	2.0342042716947617e-06	1.9440025425865315e-05	5.684143616235815e-06	1.9681679077621084e-06	1.4189108696882613e-05	3.829458000836894e-05	0.0036642705090343952	3.061470806642319e-06	2.8534914235933684e-05	1.3335667972569354e-05	3.801546336035244e-05	9.624948233977193e-07	3.7069872860229225e-07	2.7483298481456586e-07
ABHD12	8.372640877496451e-05	0.00017853370809461921	0.00012982412590645254	0.00020816978940274566	0.0001314257096964866	0.0004164462152402848	0.00011825549881905317	0.00035799219040200114	7.926326361484826e-05	0.00022289132175501436	0.00016077881446108222	0.0006627006805501878	0.0001795775315258652	0.0005446280119940639	0.00034650269662961364	0.000510058831423521	0.0003689249570015818	0.00017485246644355357	0.0003894636465702206	0.00025462033227086067	0.0007849741959944367	0.00014014945190865546	0.00026700409944169223	0.0003500865714158863	0.00044163333950564265	0.00040068672387860715	0.00030882982537150383	0.0003323901037219912	0.00031512576970271766
ABHD2	3.3528427593410015e-05	0.00022926101519260556	0.00011599484423641115	0.00024461274733766913	0.00023574059014208615	0.0007308529457077384	0.00010883591312449425	0.00015407598402816802	0.00014297213056124747	4.72474166599568e-05	4.8778849304653704e-05	0.0021961608435958624	8.915829675970599e-05	5.185030386201106e-05	1.4902164366503712e-05	0.0005361789953894913	0.00010999357618857175	0.00015817754319868982	0.00019421576871536672	4.7799498133827e-05	0.00018247328989673406	6.350723560899496e-05	0.00010941788059426472	0.00027695769676938653	5.427501309895888e-05	0.0002770668361335993	0.00013193688937462866	0.0021849151235073805	0.0003258266660850495
ABI3	7.093242311384529e-05	6.38693745713681e-05	0.0004012780264019966	3.432808853176539e-06	1.0309561275789747e-06	4.5550104914582334e-06	2.180031515308656e-06	0.0007036083261482418	0.00015619541227351874	2.0828335891565075e-06	0.0003949622914660722	5.863981641596183e-05	0.0009564475622028112	1.3086871604173211e-06	5.024962774768937e-06	0.00010207608283963054	4.808765879715793e-05	5.274064847071713e-07	0.0006661799852736294	8.983898442238569e-05	0.0006022463203407824	0.00048250029794871807	0.00012722820974886417	0.0017396246548742056	2.7647278329823166e-05	0.0004609427123796195	0.0017001725500449538	2.0477195050716546e-08	9.204583761857066e-07
ABI3BP	3.318996823509224e-05	1.6203507868794986e-07	2.877721726690652e-06	0.0005820992519147694	0.00028114166343584657	0.00039011723129078746	5.13627783220727e-05	5.226786470302613e-07	2.515070627850946e-05	0.00014484580606222153	3.015757954472065e-07	0.0002482811687514186	1.261784632333729e-06	9.834956472332124e-06	1.466453568355064e-06	7.822005727575743e-07	2.0775853215582174e-07	0.0018406257731840014	1.362137822980003e-06	3.083920819335617e-05	8.116443837025145e-07	1.1467044714663643e-05	4.210898225665005e-07	8.072258310676261e-07	4.987030024494743e-07	3.1516171929979464e-06	5.047855893280939e-07	4.93948732582794e-07	1.6131820075315773e-06
ABLIM1	5.489157774718478e-05	0.00010123963875230402	0.0005501721752807498	0.0004009792464785278	3.566575833247043e-05	0.00029449540306814015	1.1439246918598656e-05	0.00012798017996829003	7.271690992638469e-05	0.00011393985914764926	0.00040889388765208423	3.9239639590959996e-05	1.2437381883501075e-05	1.9889404939021915e-05	1.7036845747497864e-05	0.0003293293702881783	1.994597550947219e-05	0.00026055582566186786	0.0004819196183234453	2.5502604330540635e-05	1.2862831226811977e-06	0.0009061184246093035	0.0015302991960197687	0.000973100948613137	1.3965769539936446e-05	0.0005249791429378092	0.0005149827338755131	3.9171867683762684e-05	3.6211472433933523e-06
ABLIM3	1.2820274605473969e-05	4.706409981736215e-07	0.0005784161621704698	0.0004378467274364084	2.2613232431467623e-05	0.00023417372722178698	2.0326522644609213e-05	1.2719552842099802e-06	5.754747326136567e-05	5.101961869513616e-05	1.4756426480744267e-06	1.0669171388144605e-05	6.898103947605705e-06	1.2628264812519774e-05	1.0638126468620612e-06	3.362288225616794e-07	3.2369475775340106e-06	4.761646778206341e-05	3.6717565308208577e-06	5.159699867363088e-06	4.992515823687427e-05	0.0007807851070538163	5.97101006860612e-07	1.5702569271525135e-06	8.234356982939062e-07	1.3105685866321437e-05	3.143338176414545e-07	2.5153211026918143e-05	3.201887466275366e-07
AC004791.2	4.906960384687409e-06	1.6185140339075588e-08	4.6293973099409413e-08	2.8488665293480153e-07	2.055608838702483e-08	1.11526105683879e-07	5.981879525052136e-08	4.8756341186617647e-08	4.0249935295832984e-07	1.1564244317696648e-07	5.139357739381012e-08	5.761525585512572e-07	1.7606603819331212e-07	1.6182741546799662e-07	2.411192383533489e-07	5.4320885567449295e-08	7.915845685602108e-07	6.077797110037864e-08	1.0152733409540815e-07	3.312868329885532e-06	2.461438874945543e-08	5.792698232198745e-08	2.917741070973534e-08	1.5043084999888379e-07	1.0012076927523594e-06	2.0880857221072802e-07	5.3950504508293307e-08	2.733094639495448e-09	0.003492019372060895
AC013461.1	8.300938497995958e-05	3.3491563954157755e-05	0.00015045423060655594	0.0006522313342429698	0.0002865422866307199	6.75521805533208e-05	0.0018981758039444685	4.243347211740911e-05	0.00035152878263033926	0.001138940337114036	0.00012009590136585757	2.810947989928536e-05	0.00036120679578743875	0.0005379529902711511	0.00013468871475197375	1.193952721223468e-05	0.0001491635339334607	0.00036474954686127603	0.00011807261762442067	3.936162465834059e-05	0.00020224403124302626	0.00012027847697027028	7.036051556497114e-06	4.546480340650305e-05	2.557620609877631e-05	0.0001448783150408417	3.2213418307946995e-05	6.0635575209744275e-05	1.729924770188518e-05
