Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16
ADAMDEC1	1.794419290490623e-06	3.416771221509407e-08	1.482426614529686e-05	2.6042570766549034e-07	6.291895147114701e-07	4.451361803603504e-07	1.7493644918431528e-05	1.6784085232757207e-08	6.712289746246825e-07	1.1071650078520179e-05	3.3474748306616675e-07	2.304689814991434e-06	4.731940350666264e-07	2.404028123237367e-07	6.099730399000691e-06	0.0005604516481980681
ADAMTS1	5.463535899252747e-07	2.2927819372853264e-05	0.0003783955180551857	2.178428985644132e-06	9.598430779078626e-07	0.0008761627832427621	5.628845087812806e-07	1.0742786571427132e-06	0.00014333568105939776	1.2124136446800549e-05	2.1944433683529496e-06	0.0005233510746620595	0.0004571580793708563	7.72850944485981e-06	1.7908387235365808e-05	6.83214750551997e-07
ADAMTS10	1.2620597772183828e-05	7.651699706912041e-05	0.00013832129479851574	6.641900108661503e-05	5.810207312606508e-06	0.0003607560647651553	1.2086012247891631e-05	5.491412593983114e-06	0.0001642052229726687	4.202808122499846e-05	0.00011336500028846785	0.00042324233800172806	0.00010191035835305229	7.904889935161918e-05	0.0003610871499404311	2.4420583940809593e-05
ADAMTS12	1.7141095440820209e-06	2.051269621006213e-05	0.00039915990782901645	3.128253922568547e-07	1.1805343547166558e-06	4.991496211914637e-07	7.869503519941645e-07	2.4530598352612287e-07	1.0826363904925529e-05	2.029006827797275e-05	1.4798112033531652e-06	0.00042300604400224984	1.616640247448231e-06	7.574115556963079e-07	0.0014288666425272822	1.2217401490488555e-07
ADAMTS2	2.989607082781731e-06	3.1522264976047154e-07	0.000116229202831164	7.933935535220371e-07	1.2782736575900344e-06	5.495313644132693e-07	1.1686568086588522e-06	1.5133927036004025e-06	0.00011681138130370528	2.4434451916022226e-05	1.652348373681889e-06	0.00025456779985688627	6.273736516959616e-07	3.086965762122418e-06	0.0017429200233891606	3.250101826779428e-06
ADAMTS4	0.00014627602649852633	2.4106544515234418e-05	2.4033153749769554e-05	5.0262119657418225e-06	8.221369171224069e-06	0.0007240399136207998	1.4616643966292031e-05	3.6447659113036934e-06	0.00010977481724694371	1.7214120816788636e-05	1.8080553445543046e-06	0.0008690083050169051	0.00012147289089625701	5.886118742637336e-06	0.00039677892345935106	3.684939429149381e-06
ADAMTS9	1.2151975852248142e-06	4.6700747589056846e-06	2.8211665267008357e-05	1.3794792153021262e-07	9.155274369732069e-07	0.0010314579121768475	1.3116800801071804e-07	9.912551490742771e-08	7.972180173965171e-05	1.352971958112903e-05	9.81578182290832e-07	0.00034835084807127714	0.000506685406435281	1.2965308826551336e-07	3.617446054704487e-05	3.126980629986065e-07
ADAMTS9-AS2	2.2406496213989158e-07	1.2264611541468184e-05	0.0010551090817898512	5.9420333542448134e-08	5.613404141513456e-07	0.0001627224701223895	1.7607440838673938e-07	4.867458969215477e-08	0.00017033654148690403	1.4992523574619554e-05	3.421604901632236e-07	0.000838268140796572	0.00024259167548734695	9.123678523792478e-08	8.035817882046103e-05	1.3901887996325968e-07
ADAMTSL1	3.1387449439534976e-07	6.108724392106524e-06	0.00015530727978330106	1.085941931933121e-07	9.029034231389232e-07	0.0008886645664460957	2.501187168491015e-07	8.19055756551279e-08	1.5519190128543414e-05	1.6766403859946877e-05	9.536826155454037e-07	6.433839416786213e-07	0.0008844468975439668	1.062506029825272e-07	0.0003459011495579034	3.5276963217256707e-07
ADAP2	3.3049716421373887e-06	3.313595152576454e-05	2.393003569522989e-06	5.886860435566632e-06	2.6761250410345383e-05	3.965898031310644e-06	6.0848877183161676e-05	2.3481709376937943e-06	1.0384494544268819e-06	3.816991375060752e-05	8.330424634550582e-07	0.0007604177226312459	2.0138363652222324e-06	2.936495548055973e-06	6.8198132794350386e-06	0.0019293315708637238
ADCY3	0.00011047979205613956	2.2057418391341344e-05	0.0006631431169807911	2.9975179131724872e-05	2.121249053743668e-05	2.9967184673296288e-05	0.00016492378199473023	6.197159109433414e-06	0.00012155201693531126	2.753504850261379e-05	0.00023528674500994384	0.0009913197718560696	2.4442253561574034e-05	0.000372567301383242	0.0001721596490824595	0.00013519596541300416
ADCY4	1.0950224123007501e-06	0.0002981129800900817	4.417180025484413e-05	8.342232831637375e-06	9.071064596355427e-06	0.0019341984298080206	4.183392320555868e-06	1.8250008224640624e-06	3.762426058528945e-05	1.900591450976208e-05	9.49720197240822e-06	0.00023056189820636064	0.0014970339834690094	1.1152980732731521e-05	5.172493274585577e-06	1.732887358230073e-05
ADCY7	5.908421371714212e-05	8.974799129646271e-06	4.676685421145521e-06	0.0004616570076905191	0.00011697077570715919	6.609639967791736e-06	0.0003338496317155659	1.3101100648782449e-06	3.0015662559890188e-05	7.006799569353461e-05	0.0004055524186696857	1.1947564644287922e-06	2.5136364456557203e-06	0.0006572451093234122	0.00022700687986798584	0.0005031275795772672
ADCYAP1	5.715709150422299e-08	1.0617489998310248e-08	1.0010930395765172e-07	1.577195973823109e-08	1.7177028155401786e-07	4.6027199829268284e-08	5.600292496410475e-08	5.500691013793357e-09	1.985163038398241e-07	5.2342279559525196e-06	1.0399148209216946e-07	7.527930989681408e-08	1.307019772411877e-07	2.762831208258376e-08	2.7755135079132742e-08	3.119901492709687e-08
ADGRA2	5.570270786847686e-07	4.955718850396806e-06	0.001449856790713966	4.570671308101737e-07	5.029988187743584e-06	0.0002835316408891231	1.3881495988243842e-06	2.2815862621428096e-07	1.7961558114620857e-05	2.812327875290066e-05	5.2308578233351e-06	0.001170724630355835	0.00030839620740152895	5.308245363266906e-07	0.0006720726960338652	1.2450309441192076e-06
ADGRE2	4.342250122135738e-06	5.983804840070661e-06	2.78611105386517e-06	3.326222577015869e-05	6.741774996044114e-06	4.238338249251683e-07	2.027860864473041e-05	2.8209360607434064e-06	1.142037126555806e-05	4.964366598869674e-05	0.0014750087866559625	0.00014270994870457798	9.989627187678707e-07	7.479800842702389e-05	1.7592685253475793e-05	0.0011902893893420696
ADGRF5	6.553583489221637e-07	4.281396286387462e-06	1.2384726687741932e-05	3.960450669637794e-07	1.0451623211338301e-06	0.0020065833814442158	9.965350500351633e-07	9.724493565954617e-08	6.032618330209516e-06	1.853454887168482e-05	1.1550611816346645e-05	0.0010374715784564614	0.00026765945949591696	4.7116165546867705e-07	1.028290807880694e-05	6.679474608972669e-07
ADGRG1	0.00013643519196193665	2.8003358238493092e-05	3.559754532034276e-06	6.902173026901437e-06	1.1527684364409652e-05	0.0007478324696421623	2.2060272385715507e-05	0.00015904665633570403	0.0006350350449793041	2.9229406209196895e-05	9.232713864548714e-07	2.8528122584248194e-06	0.0002488083846401423	0.0008617796702310443	7.716124628132093e-07	1.0371350072091445e-05
ADGRL2	3.5249827305960935e-06	2.20800193346804e-05	0.000401319150114432	2.425934155780851e-07	1.9368319499335485e-06	0.0011385465040802956	8.037496286306123e-07	5.12881888425909e-06	0.00047376006841659546	2.774670247163158e-05	4.2208139348076656e-05	0.0005894326604902744	0.0006223322707228363	5.215436544858676e-07	0.00024002525606192648	8.829387638797925e-07
ADGRL4	2.949066413293622e-07	2.0682102785940515e-06	2.5529427603032673e-06	9.410769052919932e-07	5.66670951229753e-06	0.0026412918232381344	1.362377133773407e-06	2.0792859345419856e-07	6.956727702345233e-06	2.5836914574028924e-05	7.810216402504011e-07	5.195521453060792e-07	0.0021967252250760794	2.8797131790270214e-07	4.213001830066787e-06	2.144146947102854e-06
