Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17
AC013461.1	2.7603582566371188e-05	0.00011296664160909131	7.131564052542672e-05	0.00036355701740831137	0.00023802512441761792	0.00017247356299776584	0.0005793008604086936	3.0502800655085593e-05	0.0001909954589791596	0.00188537931535393	0.00023670660448260605	4.776103378389962e-05	5.6181881518568844e-05	2.4472416043863632e-05	0.00034807901829481125	0.00013849283277522773	4.260032073943876e-05
AC017002.1	1.8453839629728463e-06	3.0200080800568685e-05	4.6905955741749494e-07	1.2516366950876545e-05	5.416290491666587e-07	9.888864269669284e-07	1.4206672176442225e-06	0.0001729325158521533	1.0427889719721861e-05	2.0854272406722885e-06	5.587355644820491e-07	1.683821938058827e-05	1.646233371843664e-08	1.3362188155952026e-07	1.1033436067009461e-06	3.0390665415325202e-05	0.0014426521956920624
AC020571.3	6.389961981767556e-06	2.2627509679296054e-06	0.0012068962678313255	1.605778197699692e-05	7.493473276554141e-06	1.4856250345474109e-05	5.64611809750204e-06	0.00019338808488100767	4.254617670085281e-05	3.196370698788087e-06	2.883629349526018e-06	0.00023178750416263938	6.128540553618222e-05	0.002049325732514262	4.9610833229962736e-05	4.636516166556248e-07	0.0003389730700291693
AC079767.4	3.4801959714059194e-07	0.0012052548117935658	0.0011177085107192397	1.319024534041091e-07	1.0377327441801754e-07	2.193265117966803e-06	5.147136334926472e-07	2.5855401872831862e-06	1.1142217459791937e-07	1.3299030854341254e-07	1.3736268556385767e-05	4.2188949578303436e-07	3.848318641530568e-08	9.561489378029364e-07	2.0575338567141443e-05	7.155786363455263e-08	1.4354394295423845e-07
AC092580.4	5.263369075692026e-06	1.8984119378728792e-05	3.145460993891902e-07	1.494526742362723e-07	2.016250255110208e-05	5.140086045685166e-07	9.262743105864502e-07	0.0001674352679401636	3.1485657814300794e-07	5.511675453817588e-07	1.4332368891700753e-07	0.0012946805218234658	6.115539008533233e-08	8.203374818549491e-06	1.127844484472007e-06	1.8112191924046783e-07	0.0008406209526583552
AC093642.3	1.775804889803112e-07	1.4296995686891023e-05	1.548981742871547e-07	9.81091829999059e-07	6.84625618418977e-08	3.989654942415655e-06	3.544452908954554e-07	0.00014241697499528527	2.4616561859147623e-05	7.182479322409563e-08	1.3039218629273819e-06	1.5896247305136058e-06	0.0010551753221079707	3.844772891170578e-06	1.9600952327891719e-07	3.423122052481631e-08	7.758359998888409e-08
AC093818.1	0.0030513324309140444	2.810094338201452e-05	0.0001614599023014307	1.3697564099857118e-05	7.753969839541242e-06	7.397662557195872e-05	7.415979780489579e-06	0.0004454267327673733	3.470287992968224e-06	3.214744083379628e-06	6.743722769897431e-05	0.0001436399616068229	5.736089860874927e-07	0.0001472692092647776	1.9630699625849957e-06	0.0001468840055167675	0.0003757544618565589
AC104699.1	0.00398672092705965	2.92873246507952e-05	0.0008881496032699943	1.4622403909925197e-07	1.5827279753466428e-07	1.0227055469158586e-07	3.817625838564709e-06	5.086051260150271e-07	1.0462859023618876e-07	9.98399059426447e-07	1.6656896661970677e-07	2.0845955361892266e-07	1.598561993887415e-08	5.437903283223022e-08	1.1958186405536253e-06	6.417526066115897e-08	4.123954795431928e-07
AC133644.2	1.9817010979750194e-05	3.9889135223347694e-05	1.1634292604867369e-06	1.8125878341379575e-05	3.6664093840954592e-06	4.775331944983918e-06	2.3764564502926078e-06	0.00025919722975231707	5.174684247322148e-06	4.366840948932804e-05	9.96560811472591e-06	6.546519580297172e-05	9.73424647554566e-08	3.221225597371813e-06	1.5410109881486278e-06	3.345472941873595e-05	0.002757796784862876
AC233755.1	0.0019999186042696238	2.652614512044238e-06	3.57932185579557e-05	1.0462986921311312e-07	1.2874681942776078e-06	1.4804115266997542e-07	0.0003508318914100528	4.212000419556716e-07	7.58977449777376e-08	3.1446779757970944e-07	6.440531308271602e-08	2.4811088223941624e-06	1.1281786171934982e-08	5.084751251160924e-07	2.7227758891967824e-07	4.8447247991134645e-08	4.440759369117586e-07
AC245100.1	1.699834319879301e-05	0.00015434290980920196	0.0002359909558435902	4.712595546152443e-05	2.917504752986133e-05	6.42532977508381e-05	2.7117319405078888e-05	0.0008438689401373267	3.756386286113411e-05	4.1708870412549004e-05	1.403113674314227e-05	0.0005764696397818625	1.1081749107688665e-05	0.0005759632331319153	0.00014860891678836197	6.456899654949666e-07	0.0003114550490863621
ACACB	4.062752122990787e-05	1.8146871298085898e-05	2.6613282898324542e-05	2.7835874789161608e-05	1.63337590493029e-05	1.0614024176902603e-05	0.0005737862084060907	0.00011966125020990148	0.0006097285659052432	7.212577475002035e-05	2.2590991648030467e-05	2.7069592761108652e-05	4.5623150072060525e-05	0.00012989909737370908	0.0001030829080264084	0.0005147909978404641	5.794189200969413e-05
ACAT2	6.927227514097467e-05	0.00042942038271576166	9.28139706957154e-05	7.617176743224263e-05	0.0006613712757825851	0.00048194517148658633	6.555541040142998e-05	0.00041897082701325417	5.106272146804258e-05	0.00019484826771076769	3.6390378227224573e-05	0.0004069713468197733	0.00022843909391667694	0.00040552200516685843	0.00046505231875926256	5.48185889783781e-05	0.0003814457159023732
ACE	1.0022200513049029e-05	6.6202965172124095e-06	5.2414138735912275e-06	4.0360635466640815e-05	6.835226486145984e-06	2.3118935132515617e-05	0.00012100363528588787	1.8701530279940926e-05	0.00026133444043807685	6.821945135015994e-06	0.00022139676730148494	5.672346560459118e-06	1.7136606402345933e-05	4.923396772937849e-05	4.768803592014592e-06	0.0012599158799275756	2.794069587253034e-06
ACER3	7.047400140436366e-05	0.0003674589388538152	0.0005003503174521029	0.00013432762352749705	0.00010840065806405619	9.532199328532442e-05	0.0003168679540976882	0.00020782806677743793	0.0001965059054782614	0.00024365844728890806	0.0006117831217125058	0.00024030225176829845	0.00010210313485004008	0.0001005886442726478	0.0001768690999597311	0.00023653596872463822	0.0001752135722199455
ACKR1	7.524928946622822e-07	1.3137420182829374e-06	1.5252452385539073e-06	3.153501211272669e-07	5.039648272031627e-07	7.958313403833017e-07	5.469060397444991e-06	8.129405273393786e-07	7.290291250683367e-07	8.244463174378325e-07	1.1552589285201975e-06	4.659357841774181e-07	3.211546584225289e-08	2.575776761659654e-06	8.485130820190534e-06	0.0009177160100080073	9.191900289806654e-07
ACOT7	1.8403026842861436e-05	0.00025643533444963396	0.0006278094369918108	8.537140092812479e-05	0.0007685369346290827	0.0001714707032078877	0.00014025378914084285	0.00018096821440849453	3.9274604205274954e-05	6.64593608235009e-05	9.502267494099215e-05	0.00033472204813733697	5.153044548933394e-05	3.262900281697512e-05	4.1295010305475444e-05	0.00018102095054928213	0.0006656168843619525
ACP5	7.944679236970842e-05	0.0005973541410639882	0.0004952732124365866	3.7280406104400754e-05	1.0519630450289696e-05	3.1906558433547616e-05	0.00021454716625157744	0.00045532287913374603	6.29905189271085e-05	4.3593176087597385e-05	0.0010144945699721575	0.00030316473566927016	0.00016742764273658395	0.0001006784732453525	0.000669503235258162	1.637633090467716e-06	0.0011541100684553385
ACSL1	2.4744656911934726e-05	0.00031538016628473997	4.083577005076222e-05	0.00018531075329519808	5.440319364424795e-05	3.245072366553359e-05	2.269867400173098e-05	0.00017201507580466568	0.00023660030274186283	0.00010050563287222758	0.0006358617101795971	0.00010656760423444211	0.00031745919841341674	6.172791472636163e-05	3.945677599404007e-05	5.701440022676252e-05	0.00031994079472497106
ACSL3	0.00012043899914715439	0.0001498490892117843	0.0002019705716520548	0.00016776873962953687	0.00011601972073549405	9.339745156466961e-05	0.0003293010522611439	0.00023590736964251846	0.0004154916969127953	0.0001531849557068199	0.00027823858545161784	0.0002073054638458416	0.0014030291931703687	0.0003256671188864857	0.0002548886986915022	0.0002227012737421319	0.00018208260007668287
ACSL4	0.00013720360584557056	0.00025578978238627315	0.0010955969337373972	0.00019645830616354942	9.333314665127546e-05	9.446916374145076e-05	0.00019577727653086185	0.0003514464769978076	0.000239876753767021	0.0001545193517813459	0.0005174109828658402	0.00022262959100771695	4.734669801109703e-06	7.175831706263125e-05	0.0001447322720196098	0.00021879651467315853	0.000822049449197948
ACTA2	7.327326784434263e-06	3.030721018149052e-06	1.1933502719330136e-06	0.000542004534509033	4.757227361551486e-05	4.5257362216943875e-05	2.790921826090198e-05	2.778532143565826e-05	0.0001619235990801826	0.0025984530802816153	8.160602192219812e-06	1.9413088011788204e-05	2.775969733193051e-06	7.9105129771051e-06	0.00046215602196753025	9.927607607096434e-07	6.738210504408926e-05
ACTB	0.00019316840916872025	0.0032269929070025682	0.0004527547280304134	0.0007615376962348819	0.0009635952301323414	0.0009239924838766456	0.00019583801622502506	0.0014599720016121864	0.00022909656399860978	0.0008012756588868797	0.0009195672464556992	0.0025223656557500362	0.00020810970454476774	0.0013182939728721976	0.0005107675096951425	0.0003564208163879812	0.00263978517614305
ACTG2	8.18995977169834e-06	1.761384510245989e-06	7.530132961619529e-08	1.6686552044120617e-05	0.0004571483877953142	0.0006361818523146212	1.3318597211764427e-06	7.35142066332628e-06	2.538246462790994e-06	0.0010672209318727255	1.3724272776016733e-06	2.404436600045301e-06	6.64125764160417e-05	2.1966168333165115e-06	0.0018719576764851809	4.8524281481832077e-08	8.973365038400516e-05
ACTN1	9.555382348480634e-06	8.314195292769e-05	1.3995148719914141e-06	0.0012428236659616232	0.00018649316916707903	0.00020410063734743744	5.577721822191961e-05	2.1805290089105256e-05	0.0012003000592812896	0.0010501922806724906	0.0004004063084721565	1.0282355106028263e-05	0.00036250505945645273	0.00019272635108791292	0.0005300701595842838	0.00047547699068672955	3.551081317709759e-05
ACTR3	0.0002183213218813762	0.0013801116729155183	0.0008412687457166612	0.0003070963721256703	0.0004061036743223667	0.0005307446117512882	0.00011521975102368742	0.0014014088083058596	0.0002032639749813825	0.00034736006637103856	0.0005130111239850521	0.0013806147035211325	0.00023015936312731355	0.0009591762791387737	0.00034437861177138984	0.00028790975920856	0.0012871782528236508
ACVRL1	2.20746323975618e-06	8.171716217475478e-06	5.313603423928726e-07	0.00025785985053516924	2.8592278340511257e-06	2.1833720893482678e-06	0.001516084186732769	6.750698844371072e-07	0.00036236317828297615	0.00018879870185628533	0.0001403997011948377	6.593030548174283e-07	9.503794728971116e-08	3.8877686847627047e-07	0.00016000417235773057	0.00158071075566113	1.6719736777304206e-06
ACYP1	5.486916415975429e-05	0.00010967475827783346	0.00010104080138262361	5.714445433113724e-05	0.0006452689995057881	0.00013824718189425766	0.0006379116675816476	0.0005645439960062504	0.00012013957893941551	0.0002603623433969915	3.2839056075317785e-05	0.0003517481090966612	0.0002278440078953281	0.0002748403057921678	0.0002668054075911641	8.450076711596921e-05	0.00040010514203459024
