Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12
AC013461.1	0.0007708793855272233	2.894624230975751e-05	0.0003676202322822064	0.00013139512157067657	6.290878081927076e-05	0.0002695532457437366	0.0001474260789109394	0.00018131171236746013	0.0015905712498351932	8.708883251529187e-05	5.3862782806390896e-05	8.761510252952576e-05
AC017002.1	6.1260961956577376e-06	0.0002723273355513811	2.894501267292071e-05	1.315890244768525e-06	3.798510442720726e-05	2.000031599891372e-05	2.2128659111331217e-05	7.304267637664452e-05	8.759996489970945e-06	1.991575481952168e-05	1.2926322234818599e-08	2.84197039945866e-06
AC020571.3	2.027332993748132e-05	0.00037103600334376097	1.4163401829137001e-06	9.059132935362868e-06	3.982175257988274e-06	1.683044138189871e-05	5.15563954195386e-07	3.1124240194913e-05	1.835882358136587e-05	0.006156811956316233	0.00016981130465865135	7.5999573709850665e-06
AC079767.4	2.7753475251302007e-07	1.4451013896632503e-07	1.8410299162496813e-05	0.0013757154811173677	0.001259246258996427	1.1744088368459416e-07	1.0312606946172309e-07	2.614025618186133e-07	5.483535119310545e-07	1.746936248991915e-07	6.543412922610514e-08	0.00015230623830575496
AC092580.4	8.616428317509417e-07	0.0005442388937808573	1.5688631265220465e-06	4.274613161214802e-07	1.7597314581507817e-05	1.8379880373231572e-07	1.9802330086804432e-07	0.00010491507418919355	3.5385704677537433e-07	0.00034345692256465554	4.1055226773778486e-08	8.921062999434071e-07
AC093642.3	2.459794643527857e-07	2.595839941932354e-05	2.0102004327782197e-07	4.438932228367776e-05	5.899867574044038e-06	9.055010195879731e-06	3.7207129821581475e-07	1.2897692613478284e-05	9.840296399943327e-08	1.068409360982514e-07	0.0009415919193997979	3.994496637460543e-06
AC093818.1	2.8006505090161227e-05	0.0002325301757082343	9.388763282913715e-05	9.8366881502443e-06	0.0011058906093239784	1.1475787687231787e-05	0.00015947740757837892	2.7781998142017983e-05	1.9877322756656213e-06	0.000557597610168159	6.261283033381915e-06	4.4327905925456434e-05
AC104699.1	3.435349640312779e-07	1.0261491922847199e-07	2.117837311743642e-06	6.255589596548816e-06	0.002700303215533495	7.451927075408094e-08	9.01091539162735e-08	1.440352662029909e-06	1.7333893254090071e-07	1.7862638514998253e-06	7.86754306147941e-09	6.655405400124437e-07
AC133644.2	3.0132167012197897e-05	0.0005103923613205552	7.900402852101251e-05	1.935903810590389e-06	5.168310599401593e-05	2.4026230676099658e-05	3.436286351643503e-05	0.00013904979277867824	5.1499919209163636e-05	6.170156848384067e-05	3.1709909364963096e-08	1.855279697338119e-05
AC233755.1	1.6635560484701273e-07	5.778354648100503e-07	1.7155603018181864e-06	1.8298398174465547e-07	0.0008984623127616942	7.841077120929185e-08	1.2089287793060066e-07	8.600212026976806e-07	1.5310830292492028e-07	1.1551591342140455e-05	8.546859220359693e-08	1.0335731559507622e-07
