Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13
AC104699.1	6.475330138755453e-08	2.1141595141216385e-07	2.799177991619217e-07	1.799712023853317e-08	2.950517625777138e-07	1.2421581629951106e-07	2.1837731765117496e-06	1.483110168010171e-07	3.049410111088946e-07	1.0467421418525191e-07	2.6119994345208397e-07	0.002891643438488245	3.539405781793903e-07
AC133644.2	5.221390438236995e-06	6.803676660638303e-05	5.657886390508793e-07	3.9364894632853975e-07	4.636629455490038e-06	3.8840367778902873e-05	4.0581093344371766e-05	4.375716162030585e-05	5.43365313205868e-05	5.630543455481529e-05	1.4169925634632818e-05	8.144875209836755e-06	0.000783899100497365
AC233755.1	1.4378262847003498e-07	1.338192760158563e-06	4.627987593153193e-08	2.8937753526747656e-08	2.4601857262496196e-07	9.71766240809302e-08	1.6415610559761262e-07	1.0274431616608126e-07	1.6576643702137517e-07	6.314481737490496e-08	2.336374507194705e-07	0.0009698675712570548	1.7314346223429311e-06
AC245100.1	1.500725466030417e-05	7.136654312489554e-05	0.0005689249373972416	1.2185447303636465e-05	2.675813993846532e-05	8.205620360968169e-07	5.28833334101364e-05	0.00046494859270751476	3.781375926337205e-05	4.734656249638647e-05	3.473824472166598e-05	0.0001469131966587156	0.0005818971549160779
ACACB	0.0003894729306921363	6.160615157568827e-06	5.4874275519978255e-05	5.906953902012901e-06	0.00013957319606561214	0.00046375999227166176	1.6823514670250006e-05	5.282755591906607e-05	6.613230652874336e-05	3.346807716297917e-05	0.0007198890089057386	3.3425501896999776e-05	6.642071093665436e-05
ACAT2	0.00014360390196088701	0.0006469355430454016	0.0003791673807427287	0.0002667505759745836	0.0001331860839854926	5.7139957789331675e-05	0.00013765327457804233	0.00021230547281447798	0.00021132775873411447	6.11025097896345e-05	6.528408994199708e-05	8.164328755810857e-05	0.00046198052586987615
ACE	2.0309986211941577e-05	5.556469204748282e-06	4.430668195709586e-05	1.8668899429030716e-05	2.6277859433321282e-05	0.001250809757038951	0.00013909858535043895	5.0505655963206664e-05	6.165346803754801e-06	9.827200119616464e-05	0.00024152961850631982	4.58110434919945e-06	1.342589621344814e-05
ACER3	0.00011717713641701266	0.00014551753702107817	0.00010411289258627221	9.704959666123614e-05	0.00018264744721818715	0.0002363194798817858	0.0004881416098214686	0.0007727690390311182	0.00023214075190480798	0.00013033380673732609	0.0002288292598677799	8.3435996202752e-05	0.0001505738910054788
ACKR1	4.340056420915062e-06	2.4571355083935487e-07	3.3574283406778704e-06	1.7619412062686024e-07	1.0520504929445451e-06	0.0009107791702263057	5.90707770697918e-07	9.149225661531091e-07	1.2994445341973915e-06	1.6853707052177924e-07	6.525590379169444e-07	1.3221600738688721e-06	5.585350209003082e-07
ACOT7	5.037710707256338e-06	0.000774977495893836	1.8532162357587367e-05	6.212913285708055e-05	3.740607280633412e-05	0.00017991397180594504	0.0001279822608921677	0.0008818604401312768	6.797676905989647e-05	0.00010603725968394428	4.374431955511682e-05	9.27904238778865e-06	0.0003061799216084182
