Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19
ACTG2	1.2889227036794182e-06	3.6049681511940435e-05	6.477328042819863e-06	1.1479484783194494e-05	4.146385890635429e-06	1.2437755003702478e-06	2.3276959836948663e-05	5.4405859373218846e-06	1.4054687653697329e-06	3.16378464049194e-05	0.000261714740190655	3.845242645184044e-06	3.147930101476959e-06	3.98374277210678e-06	2.50063453677285e-06	4.3727009568783615e-08	2.2022252323949942e-06	0.018019385635852814	5.267934852781764e-07
ACTN1	9.828543625189923e-06	2.746139762166422e-05	1.3605934327642899e-05	0.0002428354200674221	6.481263699242845e-05	0.0003960484464187175	0.0007927052793093026	7.7678505476797e-06	0.00032771922997199	0.00038954499177634716	0.0009089257218874991	0.00016395319835282862	0.00024335198395419866	0.0016312358202412724	5.3117812058189884e-05	0.0004577675717882812	4.781496045325184e-06	0.003173095639795065	0.000247922376729548
ACTR3	0.0011030940804630518	0.0015281899832189083	0.0014019869267940521	0.00038993809721432626	0.0003204777021892369	0.00046716592623852193	0.0003475339035503566	0.0002127000770997256	0.0007329303189180791	0.0003040300216525793	0.00032643027952872217	0.0010939277708530426	0.00012830764171667397	0.000291717384243384	0.0007571358000859618	0.000285424932371825	0.0010159295052289963	0.0005629239021800458	0.00021271682635415345
ACVRL1	8.32713794807205e-07	5.130248723617115e-07	1.3124869155944907e-06	5.698621521332825e-07	0.0001270976645173505	0.0003090110549237579	0.0001640242844587192	2.870730213544448e-06	0.00011031696340069175	6.704541419821908e-07	0.0002158180868718773	3.088451308030926e-07	0.0008839340880513191	0.00022991589503362775	2.2341662770486437e-05	0.0015968650113791227	6.567979653482325e-07	1.888986116682645e-05	5.935270905865764e-07
ACYP1	0.0005147759802639484	0.00043343761353753507	0.0003593555302359164	0.0005132532678544521	7.735893450444564e-05	7.7668039011769e-05	3.578848918550648e-05	4.999408338335343e-05	5.0493719754740596e-05	0.00023741586483083665	0.00027265935204923153	0.00031376429251395166	0.0002647906949277967	8.036056533455849e-05	0.00010394956188974902	8.455730130663142e-05	0.00018166739027947187	0.0002709597465582192	0.00011699823517119512
ADAM12	1.3504094567906577e-05	3.55260017386172e-05	1.0026860763900913e-05	1.9521257854648866e-06	4.808258017874323e-05	0.00021848482720088214	0.0006430170615203679	2.4122584818542236e-06	1.018029979604762e-05	8.254937142737617e-07	7.640973490197212e-05	1.622739728190936e-05	0.0006577982567250729	0.001990237971767783	0.00038932738243602216	6.475215172940807e-07	5.030079137213761e-06	9.30475380300777e-06	8.254193744505756e-06
ADAM15	7.74814689066261e-05	0.00010464531078469008	8.392505696974695e-05	0.0006658025085926056	0.0003443879832047969	0.00012563756899908185	7.195580110419542e-05	5.343601151253097e-05	0.0001568466832395643	0.0003939759626518935	7.299402932403609e-05	7.860505138523877e-05	9.574287832947448e-05	9.389754268340766e-05	3.194731834810227e-05	0.00172540289349854	2.460124233039096e-05	0.00023265289200935513	0.0004919986822642386
ADAM19	0.00013816225691698492	0.0006173649453558028	0.0005870964960195124	6.071114057704108e-06	6.928681978024542e-05	0.00017703404591884464	3.853022280964069e-05	0.00037370636709965765	7.107730198185891e-05	2.85753657180976e-07	0.00010093901073560119	0.00018972728867083788	3.714804915944114e-05	0.0003126289520878345	2.4468076844641473e-06	6.950592069188133e-05	0.0009053390822373331	9.30460009840317e-06	1.6558748257011757e-06
ADAM28	0.00022554438328370452	8.78697755979374e-06	3.217456105630845e-05	3.1187339573079953e-06	7.028597610769793e-05	2.122413661709288e-06	7.311796821340977e-07	0.00025229083257727325	0.00038082231185398996	1.6396077171521029e-06	3.6157274507786497e-07	2.189108954553376e-06	1.5451407762157032e-06	1.5614243693562457e-06	7.869688488426618e-06	1.0168605513172224e-06	0.0023964568972587585	1.5324327478083433e-06	1.777412398951128e-05
ADAM33	6.708861519655329e-07	1.8210619145975215e-07	6.464770763159322e-07	1.0212743717374906e-07	1.655949563428294e-05	7.911507054814138e-06	3.605886740842834e-05	6.291300564953417e-07	4.275619005511544e-07	7.762874787431429e-08	0.00010024502989836037	3.392377720956574e-07	0.001634380780160427	0.000538944557774812	5.158215572009794e-06	5.429266707324132e-07	1.228949486176134e-06	1.894148408609908e-05	8.222496035159566e-07
ADAM8	0.0018427406903356314	0.00044717598939314485	0.00076433049980551	1.3023115570831578e-05	0.00010802115866681561	3.0270304705481976e-05	1.0995486263709608e-06	4.941597217111848e-05	0.000585037749260664	1.7215369325640495e-06	2.108053877236671e-06	0.0005152825033292174	3.012297611348913e-06	1.1210619049961679e-05	2.715015170906554e-06	2.091666601700126e-06	0.00033194024581462145	8.415564479946624e-06	0.00018254821770824492
ADAMDEC1	2.389430733273912e-07	3.0015496577107115e-07	1.201423401653301e-06	5.080967753201548e-07	6.672793915640796e-06	2.684428181964904e-06	6.056943220755784e-06	2.878514351323247e-07	0.0005587066407315433	2.0913084597395937e-08	2.11014912565588e-06	6.010326814021028e-08	1.1066512342949864e-05	6.30762906439486e-06	7.825419743312523e-07	5.368823963181057e-07	1.4638059838034678e-05	1.414794496668037e-06	2.3995999853809735e-08
ADAMTS1	3.3179712772835046e-05	6.431658903238713e-07	1.338623633273528e-06	1.0564019703451777e-06	7.21513424650766e-05	1.834518843679689e-05	1.1394153261790052e-05	4.528204158305016e-07	2.5247476287404425e-07	4.0901127249526326e-06	0.0005863987025804818	2.6792688458954217e-06	0.00041240599239245057	1.5405577869387344e-05	6.812348601670237e-06	0.000796021253336221	4.15722468005697e-07	0.0001454617886338383	1.2385809895931743e-05
ADAMTS10	0.00031707758898846805	2.7507981940289028e-05	2.614961158542428e-05	1.1679863746394403e-05	5.5168085964396596e-05	9.315565694123507e-05	6.80347511661239e-05	3.7032878026366234e-06	2.3966691514942795e-05	1.76766661752481e-05	0.00045212064287625253	6.799997936468571e-05	0.00018609865219332278	0.0005043991841375828	9.744179988047108e-05	0.0002987348416354507	9.735887260831078e-07	0.00010231560736428946	3.9946662582224235e-05
