Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30	Topic31	Topic32
ABCC3	3.2967579954856774e-07	1.23727068057633e-06	8.362442713405471e-06	7.129928576432576e-07	5.154132395546185e-06	0.0008225623168982565	1.596856782271061e-05	2.482888157828711e-05	7.400399044854566e-05	4.061869913130067e-05	1.1101862185114442e-07	3.8910628063604236e-05	3.121949703199789e-05	5.192944627196994e-06	1.5168323841407982e-07	2.9149538022466004e-05	7.796717795827135e-07	1.369150481878023e-07	3.6587542126653716e-05	3.325910438434221e-05	0.0008079977123998106	1.847261046350468e-05	3.404286644581589e-06	2.1460251446114853e-05	5.252543815004174e-06	4.380616246635327e-06	2.541973299230449e-05	4.42050259152893e-06	9.728687473398168e-06	0.00016944562958087772	6.621503416681662e-05	2.9035311399638886e-07
ABCC4	7.461276982212439e-05	9.176057210424915e-05	0.0003026287304237485	0.0002568000927567482	0.00019936870376113802	0.00012843182776123285	9.32608381845057e-05	0.00024096350534819067	0.0002936375676654279	0.0002346404071431607	0.00010450931586092338	0.003197314916178584	6.858110282337293e-05	0.0003880833392031491	0.0014792048605158925	0.00034303709981031716	5.209844857745338e-06	9.757705265656114e-05	4.366984649095684e-05	3.97221592720598e-05	1.3387892977334559e-05	1.1103945325885434e-05	5.453558515000623e-06	3.1697954909759574e-06	0.0001765285269357264	1.3071488865534775e-05	5.343395969248377e-05	2.7684927772497758e-05	1.1077397175540682e-05	1.5211362551781349e-05	7.870310582802631e-06	0.0001576060603838414
ABCC9	1.6069061530288309e-06	1.6624777572360472e-06	9.189042430080008e-06	3.667470878099266e-07	6.3641523411206435e-06	1.463480288066421e-07	6.893758836667985e-05	1.2339644854364451e-05	1.0174627362857791e-07	3.6844201531494036e-05	5.218102501203248e-07	1.3029168712819228e-06	4.723061283584684e-05	8.890420758689288e-06	3.0590325650337036e-07	1.5731800885987468e-05	8.758217973081628e-07	1.2543247862595308e-07	5.7058612583205104e-05	2.3743761630612426e-05	5.628365215670783e-06	0.0023646194022148848	2.8025890514982166e-06	7.937044443906416e-08	1.5781330375830294e-06	3.965030259678315e-07	3.501391620375216e-05	1.8848962781703449e-06	1.6294688975904137e-05	1.3453784049488604e-05	2.5186893708450953e-06	2.0487689766923722e-07
ABCD4	0.0005486627342179418	0.0003148794930893928	0.0016311624785885215	0.00011704063945217058	0.0001999823289224878	0.00015756049833726138	0.0004642693093046546	0.00034857550053857267	0.0006673898315057158	0.0002734502777457237	0.00031083563226275146	0.00019671928021125495	0.0002080697740893811	7.071695290505886e-05	8.68852439452894e-05	0.00017032404139172286	4.1437822801526636e-05	0.0002604851615615189	0.00017891636525746435	9.279303048970178e-05	0.00045949884224683046	0.0002079661499010399	0.00011209970398340374	3.4746259188978e-05	0.0004062445950694382	4.443050784175284e-05	0.0011732729617506266	1.5959125448716804e-05	0.00022955179156269878	5.145509203430265e-05	0.00024829793255776167	0.0002986212493851781
ABCG2	3.316657739560469e-06	5.648126261803554e-06	5.432721650322492e-07	1.5343695849878713e-05	2.6422374048706843e-06	2.0610270439647138e-05	3.59775117431127e-06	1.1053950856876327e-06	0.002476172521710396	9.015059731609654e-06	1.6968597265076824e-06	6.032360033714212e-07	3.591871404751146e-07	3.405347115403856e-06	1.7461691470543883e-07	8.073180651990697e-06	3.083082447119523e-06	1.6784404976988299e-07	1.0563551768427715e-05	5.215484634391032e-06	8.97461904969532e-06	6.984332139836624e-05	1.0196662287853542e-06	3.815993068201351e-07	0.0001829654793255031	3.3024927688529715e-05	1.0695605851651635e-05	1.413358177160262e-07	7.824654858268332e-06	0.001075930311344564	1.0314396092780953e-07	1.2830330433644122e-06
ABHD12	0.00042050870251841843	0.0006938930600881577	0.0007910153944976628	0.00047225202433764935	0.0001438047329429537	0.0007465315284207463	0.00011908231681445614	0.000320077029755339	0.00012843319564126432	0.00013172886974643916	0.00028823898173868656	0.0004414078430272639	0.0002330374700250104	0.0004309301730245352	0.00030530020012520254	0.00017970355111174285	0.000156838636030443	0.00015068217180669308	0.0002572816447354853	0.00026333905407227576	0.0002464083954691887	0.00012401740241330117	1.1501191693241708e-05	0.0004846455412916839	0.00015451300714630634	0.00032005642424337566	0.00039253433351404965	0.00010700171696953475	0.0001740007719490677	0.00042618243605829775	0.0003006313054356724	0.00027599307941272855
ABHD2	0.00024784900597296655	0.0002578105195425451	9.258664795197546e-05	4.9103131459560245e-05	4.183431519777514e-05	0.00017648475477471948	0.00017029664013534784	0.00016098414198495448	7.823200576240197e-05	0.0002300318592460826	0.0001742276654113084	0.00013217533705756068	0.00015822665591258556	6.456853589043021e-05	0.0003120038309134543	9.563078492647037e-05	0.00020207300258334726	4.41954871348571e-05	7.024293881841004e-05	0.00014874822227284312	3.6065568565391004e-05	9.969852544600144e-05	1.1110590094176587e-05	0.00017581647261977196	0.00014862870739307255	0.00011617909331107512	3.389185440028086e-05	2.440799835312646e-05	6.394911179086193e-05	8.050761243794113e-05	0.002837782260030508	0.00013161753304302692
ABI3	0.000414867652580142	3.435855978750624e-05	3.0202620109776035e-05	2.731455424509477e-05	1.4792411093367264e-05	0.0006619971245527267	4.175412323093042e-05	8.322591747855768e-05	0.000551085511688143	5.380572929425398e-07	0.0016001993790268898	2.3828137273085304e-05	1.3711820656681084e-06	6.848553312011063e-05	1.4025416703589144e-06	0.0003787037276197225	1.8740356608759612e-06	0.00039283212390728295	6.0158479755045846e-05	2.3993741706362925e-05	1.4271965937950881e-06	1.7535201095597586e-06	3.504173218971118e-05	1.8242782573452132e-07	0.00010670128540368751	0.00010278004629071802	6.244787073228508e-05	8.149269888235722e-06	3.578663745429367e-05	7.73030478740111e-06	7.848609584470978e-08	0.00030458703986369073
ABI3BP	3.6812939470109995e-06	2.635469400047441e-06	3.0288747439044528e-06	1.0004798696172656e-06	2.394392686255742e-05	6.965021839278052e-07	2.9084896596032195e-05	1.1910329703823663e-05	1.2805063533960492e-06	0.00040531184640713036	2.9564409942395287e-07	2.1160023607080802e-05	0.0021260345820337534	1.090304613171611e-05	1.4257657312555239e-06	7.256439857883379e-05	2.71208136837231e-06	2.0631971153761697e-07	0.00011178138811374083	3.9485941670136526e-05	0.0001945954718394205	3.8912730815354735e-05	1.7898961232276633e-05	1.213149829482063e-07	2.3584709197166376e-05	5.551887625188101e-07	8.101136336335912e-05	2.758623486442957e-05	1.902431176858954e-05	0.00010472424037288874	5.419060471467674e-07	5.890126999474887e-07
ABLIM1	0.0013060093624517322	9.07024514162913e-05	0.0009006471955217421	1.0276039574819151e-05	3.234272662666626e-05	9.852817584032891e-07	8.18353655631654e-05	0.00042312341975048184	0.0005780094652436674	4.2165531340288e-05	0.00036550205550156534	2.7228938051848672e-05	0.0004321340238675475	9.310615860158578e-05	2.6686288947530556e-06	0.00010130598093383014	3.2589978218311444e-05	0.00039443885907530785	0.00019151232845615596	0.00014063107664696872	0.00044869029079563916	1.2395571502565872e-05	6.770256004529074e-05	2.5829578589764424e-05	0.0009985857177525759	1.9944007362937555e-05	0.00021948537323623896	2.7574073101277463e-05	7.37826048862189e-05	8.851990060065873e-06	4.470683779800311e-05	0.0008140219724737108
