Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22
ABCC3	8.715683179616462e-06	3.955882164063951e-07	3.44049908562738e-06	2.0329777328242926e-07	1.3880756455364462e-07	3.598344619604177e-06	0.00012868047633673996	7.686564345021907e-07	4.9311893235426396e-05	0.00034800611319951713	2.916103767347522e-07	0.0007475944585166872	9.035267794388346e-06	2.963421502499841e-05	4.01883153244853e-05	3.752060729311779e-05	0.0009195406455546618	1.0126250344910659e-05	0.00011608973727561533	1.0336174227632e-06	8.384477405343205e-05	2.1407038730103523e-05
ABCC4	3.165692396578379e-05	0.00026982720009982586	1.9499821064528078e-05	0.00011048568558180705	8.659660670673475e-05	4.4944017645320855e-06	1.0319518878532108e-05	0.0013302457518875599	8.48394392960472e-06	0.0008410495356656611	0.00017186262994073331	0.00021231756545603275	0.0003456707636360079	0.00010096006735693663	0.0002561876899562776	0.00026977004017680883	4.7001129132695496e-05	0.00018715861369855702	0.00020006524573545903	0.00026328657986596227	3.364352960488759e-05	1.0216312148259021e-05
ABCC9	0.0029184226877987385	9.298005352320615e-07	2.6065484348691825e-07	3.333046834086417e-07	2.4076013005469576e-07	3.0900531555744237e-07	4.861346951656742e-06	1.9631798409136536e-07	0.00019516459724400192	3.405747747819987e-06	2.99107114187791e-07	3.492484381695249e-07	1.2392917597026099e-05	2.2602411263505928e-05	3.5603672586148605e-05	1.7779368022274866e-07	4.761899106142664e-07	1.9255828931363794e-07	4.6078844206931535e-07	5.486256213771412e-07	1.0280605238222051e-05	3.4446287600076175e-07
ABCD4	0.0002938966208603233	0.0005766800022684038	9.978799789678305e-05	0.00031125787063501775	0.00025471686967648566	3.169242336298339e-05	0.0003806179447565228	9.051904635271057e-05	9.488040814176202e-05	0.00022136954066809267	0.0003437647537793964	0.00013691274216398597	0.0002897664671763778	0.00023282466281671077	0.00028183608083054423	0.0005278066382743418	0.00019241878180764616	0.00020767260866705328	0.0008558982517570257	0.00011858993821078911	5.836322088725865e-05	4.031335993204266e-05
ABCG2	0.00010042072244687006	2.6369589249952696e-06	3.094984276685864e-05	3.751272288354812e-06	3.3828737286967225e-06	7.400706181215355e-08	1.7470639477323857e-06	3.350884583142033e-07	8.091625204542652e-06	1.8830851331586018e-05	8.24649873720773e-07	4.737830749945715e-05	5.535782747756457e-06	6.0472916629805695e-06	1.5288977010641247e-05	0.001786344451829791	3.255132105550729e-05	4.381810470022174e-07	0.0021211481653153896	1.3777184904029127e-05	1.1053361959056929e-06	1.8592423884911113e-06
ABHD12	0.0001425259542884305	0.00043643699609674513	0.00034487913944758475	0.00035192485665902495	0.00021501157607417554	0.00036934472154825926	0.0002475345099810511	0.00026586398598738015	0.00013426205259747803	0.0005756421014666557	0.00036000486579723656	0.0005332325235940516	0.00024534546537324786	0.00022541062207892537	0.00012885581236332655	0.0001324510230915621	0.0010507692350074649	0.00020356390450615436	0.00014269172970671207	0.00044926349073648453	0.00015219215129036456	0.0003989885444752872
ABHD2	0.00012248868006281555	0.0001545719860587269	0.0001377449370920658	0.00018145212379749864	0.0001819583267206326	0.0010596555657684803	0.003328914288431406	0.00028333908994682133	5.744728332501836e-05	0.00012439998681657016	0.00025391316739842296	0.00016587143181823194	7.848222594475374e-05	0.0001457536855014041	0.00022884072677697986	9.76510054897517e-05	0.00019079998310189694	5.716333180316724e-05	6.132331327535212e-05	5.000514647690579e-05	0.00010967793787131086	3.253068643971346e-05
ABI3	4.75074011774268e-06	7.871320121921599e-05	0.00015519627777393907	0.0013821737375110388	0.0003061548341065645	1.5439633216374204e-07	7.596437967549718e-08	5.716871237382293e-05	9.699541578811477e-07	1.4004668628331274e-05	7.365820783888921e-05	0.0008375949691981077	7.938352064229548e-05	5.861445515620289e-07	4.461041669401311e-07	0.0003754248027689755	0.0003404233430046588	0.00036784863914363086	0.0005787508562207222	3.7055953725939617e-05	2.4338721686945064e-06	1.4655682889497257e-06
ABI3BP	3.4611883165780455e-05	5.495772711583413e-06	3.867718305627932e-07	3.2386816428697784e-07	3.115397646524798e-07	2.1219396728611173e-07	4.419961896928726e-06	4.2814693301806983e-07	0.0001607207377674058	1.6105490431073122e-05	1.5724421018603607e-06	1.2331137213550392e-06	8.528650505468249e-05	0.0020691710524260998	0.000367324537364766	6.455266884586308e-06	8.153884323292004e-07	7.068049967529078e-07	1.663303373788949e-05	1.6813265801829402e-06	0.0002532432263251394	6.777317480555212e-07
ABLIM1	1.0402803127362859e-05	0.0015865910099819303	3.647220364655368e-05	0.00033662805799394846	0.0005777559126727283	2.0524334104266018e-05	5.9650239563779905e-05	2.5239205569960177e-06	6.090856186347082e-05	7.937727787066251e-05	0.00023140833945944905	1.1003717190760653e-06	0.00015893290401436388	0.0004654171352740377	4.30028849223163e-05	0.0006366317393258214	3.5089442462776788e-06	0.00017517359810881317	0.0007471088320016861	1.7107380699599162e-05	6.894738817209145e-06	7.949188147904351e-05
