Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14
AC004791.2	9.761432551158578e-08	1.2297859086629614e-07	7.845608962497863e-08	5.1188955296765926e-09	2.1175894460156997e-07	9.379532173170446e-08	1.377155882664738e-07	6.205164027051069e-08	1.959554083441617e-07	1.0600148669936971e-07	2.7474174046915323e-08	0.003197896759957075	4.0578083115860863e-08	2.817151667500184e-08
AC013461.1	0.00023358438920695335	6.69597284286283e-05	0.00014188508794177324	5.889324165764265e-05	3.481316161924042e-05	0.0001163348788395524	0.00027268112171441317	0.0002932201896328479	0.0005249840905889869	0.0017521710833534598	3.1060775654623285e-05	3.1791088986210525e-05	0.00021185165678616613	4.096278644283302e-05
AC017002.1	5.198535291128792e-07	1.3668858400706085e-06	3.030996595043689e-05	9.143657386800896e-09	5.133561899128836e-06	1.904183704937168e-06	8.40796474221861e-06	2.0756364392582327e-05	1.6201245671254583e-05	1.027325379254762e-05	3.015516085724812e-07	1.5021309991425369e-05	1.1552243449841626e-05	0.000564848305657506
AC020571.3	2.913843445639941e-06	0.0005773781449533999	2.805559518037626e-07	7.621668191859499e-05	5.394157597038429e-06	5.030401098338189e-06	4.025212547276169e-06	2.0160170606686734e-05	9.278003744839225e-06	5.119142770126928e-06	0.0016064129304140806	0.003290846012532711	9.932614375429694e-07	0.00019147826242260635
AC079767.4	1.6474913877573272e-07	2.244519947680601e-07	9.597629002655594e-08	9.384255861277779e-08	3.667086900804861e-07	0.00199717003852129	3.969190345287643e-07	6.933540674936012e-08	6.44902854674001e-07	2.1982336306791694e-07	8.237051929427253e-08	5.558006250794278e-07	0.00012239132774993777	7.365590022345714e-07
AC092580.4	4.1221837818739004e-06	3.5787030356004834e-05	1.7676369168384554e-07	5.098403832448639e-08	8.903111847757827e-06	1.265579976461595e-05	1.8421674212731887e-06	1.3721896152674162e-07	1.0154470828638296e-06	4.3380268266446365e-07	4.261202411726117e-05	6.37485015886341e-07	9.319261948803614e-07	0.0011359977070242167
AC093642.3	4.7782509682292584e-06	3.619270137278363e-05	3.7394502783172356e-07	0.0009848077315837145	2.0661360622398206e-07	2.2616322894464247e-05	1.5983388834683865e-07	8.324289410666097e-06	1.8366291953952896e-07	8.782876648183446e-08	2.1077019241033668e-08	1.062308683685842e-06	3.5791576920018997e-06	2.5050110707525164e-05
AC093818.1	7.315329185075825e-06	6.791422492824495e-05	0.00014667837240267545	1.3445813920043292e-06	0.0028412872925400734	0.00011853843170683831	0.00014787867257837206	6.9759930738655385e-06	7.720420398982242e-06	1.7260811091546202e-06	0.00019298603001516312	7.074206223478541e-05	6.873035454191267e-05	0.00030428761965595186
AC104699.1	1.7412091324331413e-07	4.748721948999446e-07	8.236263226990559e-08	1.3393512965365062e-08	0.003768390044569969	0.0009382172720506787	6.77075547628192e-07	6.874194014017121e-08	1.1380739124433603e-05	1.2705277185887098e-07	1.0134981209830585e-07	2.3150144556893792e-07	2.2760477804695256e-06	3.0299602826744376e-07
AC133644.2	4.122061454836512e-06	9.878652235784102e-06	4.3510764953680336e-05	7.667689061463534e-08	4.6305867726914585e-05	3.5634004689200083e-06	2.0190796931274235e-05	2.7942754968535155e-05	6.2106569203024264e-06	6.145887891761959e-05	4.387903572933283e-06	1.6260639313259162e-05	4.3858042772626504e-05	0.0010569945443421602
