Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25
ABCC3	7.988310244400054e-06	1.1713419553416315e-05	1.1515321602928452e-05	7.82275583333103e-06	2.3476674471112347e-07	1.0927401490334887e-06	8.669260751048569e-06	2.3918993974803016e-05	1.9418512238189578e-05	2.862654753243987e-07	1.2115492609154899e-07	6.1914192883705255e-06	3.970500983996317e-05	9.980162576539442e-05	2.8043900783814024e-06	1.4003347132529598e-05	1.701370280215997e-07	0.00011276770237600431	1.6077230611699633e-05	6.677262717857957e-05	0.00012352618796285242	3.234636096749455e-05	0.0011210499797016382	1.7786078387871385e-07	3.783616648433963e-06
ABCC4	8.16526371636428e-05	8.179080032277852e-05	6.236628451006254e-06	6.28812558716163e-05	0.00010540729999775067	8.270308171631768e-05	9.09650043467991e-05	0.0014060362009331584	3.466830821707845e-05	0.0014651790261268616	8.568646444473416e-05	3.872635352308862e-05	0.00020575665985234082	0.00010394395212642848	0.00027754236361943185	1.648479519644752e-05	0.00010324587492505088	8.277963388536591e-06	2.4060336727416143e-05	0.0002325782843399793	3.605193114708527e-06	0.00022579713549930602	0.00013338377175386995	0.00014883707626722753	1.4603441741201095e-05
ABCC9	1.4925958566891495e-05	1.8504322724766098e-05	8.722690125750887e-08	9.289049557992257e-06	6.358333735079214e-07	8.645721436550957e-07	3.269653097959235e-05	7.84157236921601e-06	5.194215918891132e-05	2.226900761570505e-07	3.6261019431549357e-07	1.1229054507566616e-05	5.4316824389388785e-05	2.571373158843926e-07	4.159808497661288e-07	0.0022608491126447916	1.989619136111287e-07	2.0289285203034524e-06	4.813869600184262e-05	3.3123609455287806e-07	5.686366421286948e-06	6.6522952693048865e-06	3.056035211557173e-07	8.364458494725113e-07	3.049616736916505e-07
ABCD4	9.966152720153332e-05	0.00016747387417126447	3.9409864257322624e-05	0.0001785234926501289	0.0003296161303296685	0.0003205671382602304	9.497477003606036e-05	0.0016298237023875117	0.00031439235317520797	7.62751151341945e-05	0.00013196740474086255	5.560024510486983e-05	0.00024037934781517833	0.00010079356434289366	0.00011948665633099154	0.00017600790306460112	0.00026048661675304174	4.500412251218222e-05	0.0005001172539778054	0.0007268694462254643	0.00037209916627034545	0.0003838946286123246	0.00017652224050834775	0.00036590200033970177	5.566983963944949e-05
ABCG2	6.40842654320295e-06	6.209926141309552e-06	5.550837727241742e-07	3.0660719403385883e-06	3.961998118029442e-06	2.2686610918754013e-06	5.675906322721858e-06	8.690570393810049e-05	4.075140168424696e-05	4.696236715062696e-07	7.754906619084068e-07	2.465915940774721e-06	1.5109094420040492e-05	5.791704893454153e-07	1.427699226042023e-05	6.8219073000364e-05	1.770268056588975e-07	1.4772439271837357e-06	9.13535950530786e-06	0.002829004544764757	5.515493626262469e-07	0.0003482539614196867	5.782833250123076e-05	4.136772531637689e-06	2.9658645871677436e-05
ABHD12	0.00022962586081121117	0.00018392234051134437	0.00036351545713841915	0.0002322592627024278	0.00031074159778654575	0.00047691186773590744	0.0003138565516564995	0.0007091119769029319	0.0001597699010744691	0.0003211283474229276	0.00021441698481794447	0.00012784507998730987	0.00012263089593034238	0.00023873122700024396	0.00046033243415877223	0.00011574100790312514	0.0001504951505921781	0.0004162491241004318	0.0002427377476124093	0.0001369136880384758	0.00026998433168046176	0.00012648229312617332	0.000938854122068733	0.00028854876291006804	0.000323717191349715
ABHD2	0.00010567239951342344	4.8943715228233486e-05	0.0008833613246679306	7.60668990551494e-05	0.00019825140770990402	0.0001840903132688254	6.981129990890622e-05	0.00023111081100068986	0.0005431815516203642	0.0003239824727643281	0.00021206526434980333	2.5157665731967427e-05	0.0002226047363365069	0.00013499183114618063	4.604064815794118e-05	9.20036545721814e-05	4.3246349378023297e-05	3.422447116463445e-05	0.0003348778700456023	6.862307782284915e-05	0.0034646629355847836	0.00015226210234686732	0.00019067518587689847	0.0001352297986159101	0.00013538201164919883
ABI3	5.240425525698811e-05	6.490078521892428e-05	5.8198278196641695e-08	2.526026946725324e-06	0.0016973603051155806	0.0002635066630318761	7.938318594824523e-05	5.2166677050990984e-05	4.299038846511394e-05	1.0033480748461443e-06	0.00016571035666856915	8.163670827343594e-06	2.767849025531177e-07	0.0007043017540127039	2.688623862923123e-05	5.769989456894109e-06	0.0004148246953263879	4.788719252246665e-06	4.127832653466612e-05	0.0004988822620362043	4.3358117096659043e-08	0.00024561540340073407	0.0005961966817267239	0.0002200377348344773	0.00011413959873607382
ABI3BP	2.0466226487769745e-05	5.5613083532080054e-05	3.9877047441905233e-08	0.0017079947283491492	3.463175630713522e-07	6.380410013662186e-07	7.705949246883392e-05	1.5168720892688725e-05	4.270066710887477e-05	1.5891504290266312e-06	2.510735441774159e-07	4.5038068492431194e-05	0.0005153234815225005	1.3309687574292184e-06	1.2014618278044509e-06	5.260054240352474e-05	5.005438765692816e-07	3.9302813092945144e-05	5.5185337259899825e-05	7.212302080006339e-06	1.690795943432022e-05	3.324111457914114e-05	8.991257232082717e-07	5.297385996527737e-07	4.6078432092144794e-07
ABLIM1	0.00015005411114543676	8.502581476932392e-05	2.398232572886627e-05	0.00045765587128698826	0.0004803180927410722	0.00015109041123650968	4.8802852688822895e-05	0.00023853732272982597	9.740212408360094e-05	2.1810599264426855e-06	0.00013863641652278602	3.5496243071975186e-05	4.476052345125936e-05	2.9570708193205064e-06	1.6466148736071773e-05	1.582587356097065e-05	0.0004327154892962426	3.0673720175400376e-05	0.0004375326097942889	0.0009060853626579046	6.93437978043221e-05	0.00026694542611949146	1.5667113757444895e-06	0.0012873339001089334	2.7144562409375794e-05
