Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11
ABCC9	0.001661463757045567	1.2356979368632892e-06	1.501333827036433e-05	1.0516243946767645e-06	9.78155981101736e-07	1.4385199165189988e-06	4.929453893964819e-07	2.86994122689066e-07	4.3552299189286714e-07	3.1065679650055245e-05	1.2227689012433984e-06
ABCD4	0.00019915367010980844	0.00012916717969346792	0.00019342869927641004	0.0006099177990108728	9.947513899533078e-05	0.00015817803796380758	0.0003341938427183777	0.00015450295177288353	0.00019642378902062774	0.0002657819422893226	0.00029778725001960993
ABCG2	5.016238719690591e-05	1.3760656656813808e-05	1.1635643204499502e-05	0.0018185848603025079	2.68276908172993e-05	4.292738253752759e-07	4.406732841744088e-06	3.8563055568374693e-05	1.9224712843879388e-07	1.4668784388049971e-05	5.583348183790804e-07
ABHD12	0.00014736963203176856	0.00044878447079099715	0.0004137047508265823	0.00014011419261805713	0.00034985545789822936	0.0003190778661519289	0.00032530736643821	0.0007423704373650253	0.00015289915609173477	0.00014175355318002403	0.0001761181774782017
ABHD2	0.00010668952745618299	5.594189133262262e-05	0.0001155313293565996	0.00010033058060798794	0.0002058710961136967	0.001788693480193615	0.00016915489686653018	0.00018512627866584808	0.0001153044358943589	0.0002220222377218306	0.0005137600237503648
ABI3	5.482712822413305e-06	6.030515214661136e-05	5.977775072096847e-05	0.0004135569033678621	0.00017935567302629352	1.2946473759711807e-07	0.0006467797793447971	0.000607588270213455	0.00023741451150272042	1.1835489885925199e-06	1.3408769518719055e-05
ABI3BP	0.0001569243468111381	1.8595310393720865e-06	5.413504550233483e-05	8.887012882041745e-06	1.0904711871262407e-06	1.4237243703973945e-06	4.766375809595047e-07	8.566175324631331e-07	1.071110091288574e-06	0.0006671862211078405	9.149697871180251e-05
ABLIM1	3.384006777196191e-05	2.463891178194899e-05	5.87363465456292e-05	0.0006587268435396254	3.3448293834226206e-05	3.5476507036946714e-05	0.0006606554379686713	3.020594704139512e-06	0.00024632527492940426	9.337280789623037e-05	0.00038357352605089545
ABLIM3	3.055464185308665e-05	2.832174004652188e-06	7.871488378441427e-06	0.0006303054396994412	1.3025453426962486e-06	2.142796802218072e-05	4.949054641656403e-07	4.378899757284671e-05	8.719799211576174e-07	4.047367474413477e-05	5.892826811759733e-05
AC004791.2	9.202284445564146e-08	2.7748592401621863e-07	4.378577159513952e-06	5.5645326568765086e-08	9.278968349235583e-08	9.480061180511257e-09	1.8889529940224747e-08	1.4036652373761171e-07	0.0016559893265366554	4.5189235464704325e-08	2.444368192300317e-07
