Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27
ABLIM3	5.253953077044571e-06	1.5088988902789424e-06	3.6561294791681576e-07	6.890789791214047e-06	1.4628914186687325e-06	5.275369403534569e-07	3.7678356079595687e-07	2.1471467334777117e-05	7.215147888928186e-06	2.2907617676537484e-05	2.553148760853219e-06	1.8752301400581928e-07	4.166147846262902e-06	0.0002510380290914327	1.9946018881000782e-07	1.529570363345556e-05	1.1948064866373898e-06	0.00036501206341199577	0.013065113686025143	1.59703577082837e-05	0.00011390509462216869	2.4571183530497365e-05	4.360934440228448e-07	1.6539808711968362e-05	8.407801033172291e-08	3.888176433974877e-05	4.0932144429461914e-07
AC004791.2	4.702295427705394e-06	3.211062562513689e-07	1.8875242346894083e-07	2.727592573137372e-06	1.8000326562628288e-08	2.56322010727672e-07	5.625264520858764e-08	1.1009857189492323e-05	1.365992943647143e-06	1.0906840941515838e-07	2.016319378128628e-08	3.234871215340718e-08	7.199137286306723e-08	1.0920044957174468e-07	2.6228130778349623e-08	4.037405076928735e-09	3.642032311290677e-07	2.6703677491468625e-08	7.834150892449543e-07	3.3306455407000612e-06	2.2611423844409728e-07	2.4615326310595265e-07	0.0035747115034610033	1.1560551627098903e-08	1.2247372893625652e-08	2.7503228139380553e-08	1.909164524249718e-07
AC013461.1	0.00012787329615093768	4.6984441723907366e-05	2.763310658338014e-05	2.8882399419671856e-05	0.00014814625319559127	7.970519800437614e-05	0.00012808623432647437	0.0005283647915348411	0.0002609310613479465	0.0005296698655001819	0.00024876793031580746	7.663741416763514e-05	0.0021367145236581564	0.0003875230613630265	6.674470932921395e-05	4.3380623537814245e-05	6.751163891749457e-05	0.00012642813089769334	0.0006437670672312379	3.108250894001685e-05	0.0006505326018668711	0.0004259507986716926	1.4662248759123031e-05	9.385287557961419e-05	2.0510209651547484e-05	0.00019912079733330756	0.0003827148466371
AC017002.1	3.816368916886859e-06	1.3825311953041819e-06	9.000185627883184e-07	1.211146627611015e-05	4.3146396677684606e-08	2.35722563957097e-06	6.253420679058763e-07	1.87692312465515e-05	7.166637715272373e-06	2.5730434572324157e-05	1.8811346308211796e-05	0.0011825760593637824	6.047312126611359e-07	1.4113974202700774e-06	4.764256300404668e-05	1.1802444355168973e-08	9.360976491734618e-07	1.5417244867421687e-05	1.451786943107436e-06	1.7061342987290118e-06	2.091292572004022e-06	0.00016776751726865768	2.3403899263030326e-07	6.658606821474677e-08	2.2143083697301336e-05	1.1405193617974874e-05	6.319401109067257e-07
AC020571.3	7.621439635840943e-06	0.00029986738809384406	3.968473265558714e-07	8.091700692602899e-06	2.261411282233894e-06	1.1109030992884072e-06	2.7419574166742677e-07	2.741822027019225e-05	0.0006587978568859398	5.181938104215078e-05	1.997842082346324e-05	5.784315362689085e-05	6.81427650306432e-07	3.4045870052068494e-06	0.00026825390523299575	0.0004954318283125758	9.026986845128704e-06	2.841051980340126e-07	1.31787164718844e-05	2.042718506345409e-06	4.86352109874133e-05	1.8141192413168028e-05	0.002662770915776491	4.33657260145992e-06	0.0005325818201527	4.3653847114910604e-07	5.719604700971104e-07
AC079767.4	4.3366603676986415e-06	4.1211677626051824e-07	2.3912011215543316e-07	3.2550119613006245e-06	1.563863918363495e-07	0.002889023395255208	0.0019787056371569633	1.897715264931321e-05	1.6047450799305807e-06	1.1664860011251221e-07	3.388739600040935e-08	5.946363756947903e-08	1.1811882671963758e-07	1.5686862298025517e-07	6.617698034006025e-08	6.525354923070381e-09	1.3271895113575738e-05	6.951447062419902e-08	1.5310016578951036e-06	7.797387979735504e-07	1.4463410025200574e-07	4.444143542059464e-06	1.756729233193255e-07	1.5356171445546352e-07	3.9428712739209004e-07	0.0001210396658279933	3.8683039747411385e-05
AC092580.4	7.31491627448122e-06	2.5698725949041545e-05	2.4478092655044748e-06	1.3554077668231912e-05	1.0096054836594703e-07	1.340065182375838e-06	4.5609621679432166e-07	2.843023685272783e-05	5.524256994249299e-05	1.8918672139989212e-07	5.4027520235422344e-08	0.0007624631398357451	3.194463999989239e-07	2.3311930874569953e-07	0.0013300379505380988	4.1566295294614974e-07	1.0677886166376993e-06	5.18754035283564e-08	4.3275604184600525e-06	1.4473750979959732e-06	8.493206564708089e-07	9.81354446594196e-07	2.3103729063223e-07	7.676633373421282e-08	0.00011228880612179637	1.66423902214774e-07	9.158798661701439e-07
AC093642.3	2.701709718166967e-06	0.00020784890512004495	1.567898380017141e-07	2.417316181890783e-06	1.4394551328678062e-08	0.0030621036421507597	3.1563633910991484e-06	1.0117082638316788e-05	1.0634676073095761e-06	2.0396916511344898e-07	2.8954896151844878e-06	4.2504667362663895e-05	5.848890083370861e-08	0.001608442165888846	2.4612409887936337e-08	3.2123916859916335e-09	2.828964716172777e-05	6.669263825642702e-07	6.23847540737188e-07	5.478476623466122e-07	1.055733918065016e-07	2.3296099982417218e-07	5.660317370370649e-08	0.004171072971075773	1.409208016411867e-05	2.045832843577955e-06	1.7265195140225842e-07
AC093818.1	0.0008060160907916725	0.00039945010212250054	0.003908384591341019	0.0010545949917286634	2.0352143110358156e-05	1.9020082618226297e-05	0.00011736631859093904	0.00019881293701473624	5.615870759356767e-05	8.381221050512977e-07	1.9188515580026433e-05	0.00017589706112630665	1.5672018207624205e-06	9.88538204182987e-07	0.0002824114344548434	2.0724244222947164e-06	3.5418652259977534e-06	0.0001480981445638463	0.00019394118862692267	0.0019244253635406494	1.6990430594887584e-05	6.132038834039122e-05	6.68861684971489e-05	3.5392531572142616e-07	0.00022354559041559696	7.319978612940758e-05	2.1457271941471845e-05
AC104699.1	8.115587843349203e-05	1.037147512761294e-06	0.0045477962121367455	0.0004760999872814864	2.405146126704949e-08	0.0051650614477694035	0.00011973457003477961	8.156424155458808e-05	1.5400775737361982e-05	9.591406069375807e-08	5.02419545966859e-08	1.0644931336400987e-07	1.6343933850748726e-07	1.4937349135379918e-07	4.292353494861345e-08	5.989584828114403e-09	1.2331661309872288e-06	4.890062399454109e-08	1.0559078873484395e-06	0.001614351524040103	1.9502029147133726e-07	1.4641252619185252e-06	6.946440578303736e-08	2.3162899154272054e-08	3.014754099694983e-07	1.1174059864060837e-06	5.274411023492576e-07
