Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30	Topic31	Topic32	Topic33
ABHD12	0.0005385166732594371	0.00022764592722523957	0.00020645458425860852	0.00012242367665749043	0.00023886084090918303	0.00032166039454750717	0.0003504832275211811	0.0002584819449111819	0.0007864047074690461	0.00046325396397151053	0.00014119825209490955	0.00030334453913383186	0.00012211485591251403	9.047255298355594e-05	0.00046390711213462055	0.0002694230934139341	0.0001526389387436211	0.000501759466715157	0.0001627259043743834	0.00017957005184143782	0.0002563872840255499	0.00013698285329155624	0.00019348379282746464	0.000162331314641051	0.00048411841271445155	0.00042688020039349794	0.00034967789542861283	0.00011527702736202627	0.0004797611909452826	0.00037556365714408457	0.0002839833905454725	0.00012298258661758155	0.00010862280760193244
ABHD2	9.758466330822557e-05	0.00011441110109444708	0.00016393831174355	0.00015051147784106433	0.0003293312038294971	8.81516607478261e-05	0.0002934380026999861	2.50492576014949e-05	0.00017473325715400279	4.6688681322848424e-05	0.0002452913031447679	0.00014642761379946023	9.321320249000564e-05	0.0002646287903189659	8.395445911446586e-05	0.003321049502119422	7.139146327972412e-05	0.00019885350775439292	0.00015424488810822368	7.197181548690423e-05	0.00010761015437310562	4.454615918803029e-05	0.00015191578131634742	4.650285336538218e-05	0.00021940210717730224	0.000547165866009891	0.00017412730085197836	2.9775159418932162e-05	1.7444674085709266e-05	4.614744830178097e-05	0.00014354963786900043	0.00011076984810642898	0.0001224722946062684
ABI3	0.00013605316053144634	0.00013859067985322326	1.7434256278647808e-06	7.457629749296757e-07	0.0017478263471275568	8.461051038466394e-05	2.8266329081816366e-06	5.527218036149861e-06	0.0006136845913715661	3.36990924552083e-05	5.519788146557403e-07	0.00022533509763889015	3.902929677224165e-07	3.1338493045041105e-07	1.4108542245594435e-06	6.384254191971195e-08	0.0003172696160618216	0.00031967024551704526	0.0001158594386652112	5.232782132225111e-05	5.429599809758656e-07	0.0005781003856100142	0.0011802178341895342	0.0004400296020321548	1.1219386664151898e-07	4.0973125578602776e-05	0.0015404773876070976	1.5063939144965843e-06	4.427445674082264e-05	3.5353266866877675e-05	0.00013876246521249413	0.0004369485832285136	2.0984894945286214e-05
ABI3BP	3.876520167978015e-06	1.0681387720978819e-06	0.0008046546718105674	0.00036515144165605307	4.962792900187196e-06	5.214212137616414e-07	6.47742899673176e-06	6.7322976065042894e-06	6.656574100816215e-07	7.741251124571136e-07	0.0003505435597617179	6.285269591899123e-06	5.528755355044268e-05	8.078857831606001e-07	1.4550106243405025e-05	6.369517109305889e-07	2.786171080515487e-06	3.7286483234311163e-07	4.079915379406884e-05	0.00026814694865606725	0.002915205666795373	3.336323061375879e-05	4.486626892230561e-07	2.968888281884574e-07	9.231909103846192e-08	7.038896001176909e-05	1.6608069586254715e-07	9.191993740387261e-05	1.3645586477650795e-05	3.4233112273795996e-06	3.968915507357451e-07	6.9179595811874606e-06	2.5592942620278336e-05
ABLIM1	4.090467336936854e-05	4.803477168024983e-06	0.0001728674687910825	2.428219340799842e-05	0.00018211906717624515	1.885621895780787e-05	2.8863274565082975e-05	4.1982202674262226e-05	1.0907236855928204e-06	1.7546353774378076e-05	4.1029004933079705e-05	0.00015877683472353965	1.8484755855752155e-05	2.9722805265919305e-05	1.7443109754822217e-05	4.333783363108523e-05	0.00121638597920537	4.5554763346444815e-05	5.271090049063787e-05	0.0003974631254095584	0.0007031988352537155	0.0005695385625585914	0.00045698214671574533	0.00044670019997283816	3.580918564694002e-05	0.00011887168511748314	0.00047764877672307193	0.00036631536204367876	3.8692360249115154e-05	2.000385575229302e-05	0.0009496276034042239	0.00042110582580789924	0.00011317965254420415
ABLIM3	3.0274168238975108e-05	1.1686245215969393e-06	4.349436494521797e-05	6.147121439425973e-06	9.260941737920803e-07	2.287099079012478e-07	5.070846782473382e-07	6.035409387550317e-05	5.395067637437023e-05	4.396432586872834e-07	2.3268707082024775e-05	1.899484459499945e-06	2.2944923330214806e-05	1.1547341500772745e-06	1.2557075933727901e-05	3.974450737587176e-05	0.001930122496560216	2.046054532911512e-06	1.0620425200613681e-05	1.269146832783008e-05	0.0003225103719159961	0.00018262282537762076	8.021106623345986e-07	1.4517769386657164e-07	1.1122510841232724e-05	4.6283957999548875e-06	3.114810454007966e-07	3.248593202442862e-06	1.9192482795915566e-05	1.3167897350285784e-06	2.3904877366476285e-07	0.0001414065045537427	1.7943744751391932e-05
AC004791.2	5.677303533957456e-07	1.4830426664502738e-07	1.0128217553528884e-07	4.358946625870885e-08	3.1942195732881373e-07	8.044105470617069e-08	0.0035820340272039175	6.500924314423173e-07	4.742553301184671e-06	1.2173337893273128e-07	2.4065892390012777e-08	7.207357839433826e-07	4.342828674452903e-08	1.489377421393101e-08	9.143686696688746e-08	4.133913211745721e-09	8.40249541056437e-08	4.272144948913592e-08	5.365849574445747e-06	2.2484005057776812e-06	1.2000283788893285e-07	1.1480443617983838e-07	5.551273929427225e-08	3.9534452156431144e-08	1.6328863594594623e-08	2.1220050712145166e-06	2.6853390622250117e-08	2.1846672382253018e-07	7.15030773790204e-06	5.260238822302199e-07	1.5850107004666825e-08	3.78562816649719e-08	1.3909643712395336e-06
AC013461.1	0.0003917537396773696	0.0001907154655782506	0.0006307382136583328	0.00019385949417483062	0.00014565556193701923	0.00016996126214507967	3.5219047276768833e-05	8.70935691636987e-05	0.00020573206711560488	9.780216714716516e-06	0.0003312014741823077	9.180550114251673e-05	0.0019288684707134962	0.00010490448767086491	0.0003018582356162369	5.473633427754976e-05	0.00022474861179944128	4.63532232970465e-05	4.209914186503738e-05	7.216234371298924e-05	0.0004128522705286741	9.092865366255865e-05	4.0368115151068196e-05	0.00011151655780849978	5.2737312216777354e-05	0.000393994792830199	6.69217188260518e-05	0.00042058731196448207	0.00021205961820669472	7.844223728170618e-05	1.750141746015288e-05	0.00011218305735383183	8.687242370797321e-05
AC017002.1	2.1530302547034808e-05	3.3825691048150475e-07	1.9371873349882662e-06	1.0171313988394104e-05	1.0896113735725521e-06	1.1114169865322765e-05	1.6634832888939854e-07	7.426783099617751e-07	5.536206117540132e-06	6.333302735583857e-07	1.828776476031635e-05	1.1439608897489961e-05	8.823303687677253e-07	4.417527321720627e-08	1.3038521728958585e-07	7.2011605567467996e-09	1.1810959676950006e-07	0.001881058793514967	1.7986751117859967e-05	3.143831236229744e-06	2.9353543595789233e-06	4.82734606066515e-07	4.7248744522221386e-05	7.78455887484597e-06	1.2832094498094193e-08	5.828558641951531e-06	1.7057313016266562e-05	2.825547369411652e-07	3.3350065677950624e-06	2.570508968346985e-06	1.2019010682706721e-05	4.240758499918229e-08	1.4845372788840905e-06
AC020571.3	8.044396963668987e-05	3.105594714725157e-07	1.2348309610388242e-05	1.2334046914475039e-05	1.188202418234141e-06	2.0801202481379732e-05	0.003215022850781679	0.0008581314468756318	1.0358598956372589e-06	3.646633217613271e-07	4.2491708882153034e-05	3.506571374600753e-05	1.0608387128741015e-06	5.190234787733061e-06	7.983757086549303e-07	0.0004648597678169608	2.598538344500412e-07	0.0002051084884442389	6.635559839196503e-05	1.0089313036587555e-05	4.3258619371044915e-06	4.023191593205411e-07	0.0002004739799303934	5.48207935935352e-06	8.000132947927341e-05	6.734554062859388e-06	0.00013018003664910793	5.447322450891079e-07	5.360269369703019e-06	2.238905381091172e-06	0.0008999200654216111	3.498565490644978e-07	1.394356422679266e-05
