Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23
ABCC3	5.275107923807809e-06	2.667437911441084e-06	4.514022293733433e-07	3.7538907804446353e-07	0.00014892738545313478	2.2872751287650317e-05	5.766837784904055e-05	3.9700844922663237e-07	3.839293640339747e-05	3.886811464326456e-05	9.630919521441683e-05	8.926493137551006e-06	2.0478186968375667e-07	5.54811667825561e-05	3.371184902789537e-06	0.0008349578129127622	2.204498343871819e-07	5.892678746022284e-05	2.3151392269937787e-06	7.090500275808154e-07	4.4210119085619226e-05	5.602667442872189e-05	1.1793486009992193e-06
ABCC4	0.00016228487947955728	0.0002895427169278264	9.344157297164202e-05	0.00013586781278718263	1.1760145753214601e-05	5.8154539146926254e-05	7.624561476404779e-06	0.00021023295994382352	5.206900823395699e-06	0.001281127566471696	0.0001733036624500528	0.000274439575150609	0.00016112899174913764	0.0002910563489422202	6.457991275965469e-06	0.0001511780865257606	0.00010820919123943895	0.00010353821562603116	4.590771277435124e-05	1.8736573110800236e-05	0.00023760816839057952	8.55092002893798e-05	2.7279867936158553e-05
ABCC9	0.00012781789700966328	4.4665713971880905e-07	1.1331109135426232e-06	2.0679334511441994e-07	0.00018023976008407772	0.0024380770046263933	1.8563681578598334e-06	6.057857717678417e-07	4.430191324900079e-07	1.9710930132532667e-07	9.30755959416274e-06	1.3398875125858467e-05	5.551660819946846e-07	3.6352951156004565e-06	6.402269718819298e-07	1.3637169615776656e-07	3.971996704876801e-07	4.0842871385393664e-05	1.099835685636208e-06	2.2560081447409175e-07	2.0958328605047427e-05	5.623980996460887e-06	1.7845335378297023e-06
ABCD4	0.00020113603386562318	0.00011295081640128046	0.00021474617824424058	0.0002538961125537753	9.254618635168299e-05	0.00031024139025248587	0.00022564557730220258	0.0003866432816721499	3.960137837566435e-05	0.00012796663213521242	0.00029806236852891743	0.000497916538733989	0.00028673734050244093	0.000609460927080363	3.4231932659167796e-05	0.00015898392302915454	0.0004211261693853885	0.0002515808737371117	0.00019402250472921878	6.69343353365548e-05	0.0002450503234285861	0.0005139781278558075	0.0003296876675449312
ABCG2	4.523415555013344e-06	1.451901152904611e-05	1.1148828207296901e-06	2.3566640550143347e-07	1.823056118155364e-05	7.758583524264395e-05	7.662393954888103e-07	4.596574399329256e-06	3.201633091975964e-07	3.0621090445492882e-06	1.6285447372865747e-06	5.66189282835694e-06	1.864447767729871e-06	0.002107570879161358	1.06688742107508e-06	3.939053931389935e-05	1.1592762348300312e-05	5.661440809490159e-06	1.7550000848132186e-05	3.306712824269198e-05	1.265585160581395e-05	0.00016828048683237284	5.815466010972159e-07
ABHD12	0.00028742218273691833	0.0004366586799733341	0.00028422425384633243	0.0001552282483316958	0.00013539513747673482	0.00014002584794070572	0.0002697618620004505	0.0004685479507315904	0.000515905034262687	0.000322478823363781	0.000259819847997278	0.00028188774012960494	0.0002610519004520029	0.00012933391553815454	0.00022282417921815068	0.0007438236498273909	0.0002913862408604473	0.000218310859054327	0.0005768397822976112	0.00031260072137229145	0.00012197784963063896	0.00017863621178548783	0.0004658915859181434
ABHD2	0.00033548250212334096	4.73986983706709e-05	0.00014090398326516151	4.225886004860513e-05	6.746707367710769e-05	0.00012372630590107292	0.0024907854385674	0.00017065984138753265	0.0004208365280646831	0.0002989286440424621	0.00022290964261628687	0.0001560091768624261	0.00017300483887083828	9.884549945127219e-05	5.9185229474678636e-05	0.00017678868607617915	0.00018826319137588143	0.00018443494627717882	0.00035559007665142417	0.00012647539551835507	0.00023060124658513814	6.886143091833219e-05	0.00023334575234912336
ABI3	7.658599497517571e-05	2.851638237189036e-05	0.0009344139834865928	0.0004128787841182202	5.093178515380714e-06	6.387207577063236e-06	4.579437984375545e-08	0.0003762407577596605	5.864529271093488e-07	7.704915333306417e-06	6.036133345332928e-05	0.0001519383367849514	9.299497469328344e-05	0.00039822800317779183	1.5024900221760618e-06	0.0006561804912053049	0.0016929461853578687	3.850449843412207e-07	0.0002317619655514136	0.00012786260049324483	5.409376058196358e-07	0.0005435465718619525	0.00018189869297202677
ABI3BP	2.1180307157919742e-05	1.14939030027017e-06	6.689176075269643e-07	4.434972709077556e-07	0.0001016362220980227	5.7257479056715965e-05	3.1770753139426233e-07	9.49172317632474e-07	1.7848608990789216e-07	7.854928867345734e-07	5.2258004870964214e-05	3.2194919185712934e-05	2.660749487404246e-07	5.6187504924309906e-06	1.0656362974259537e-06	8.68586027991114e-07	3.93378286389634e-07	0.0019983595702797174	2.9784619073325302e-06	4.31815976753569e-07	0.00030644761864095926	3.6936708056600764e-05	1.6396256796724629e-06
ABLIM1	0.00012672309821937233	1.9638737285276875e-05	0.00020183247397653759	0.0003917901776731014	7.123064278857782e-05	9.661966942076106e-06	5.163053720025346e-05	0.00042729699634946883	8.659338163852226e-06	2.708284682739759e-06	0.00011696945875883102	0.00010139184450963512	0.000885808258317411	0.0006733086775057018	2.3650864022783935e-05	7.391766416731116e-07	0.0005646338104270399	0.00038702826714143157	0.0007875253795646131	3.076064240303822e-05	3.3676973544061184e-05	0.0005371934967115521	4.221017661620863e-05
