Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15
AC092580.4	1.3480628524575877e-07	1.6351084752841416e-07	0.0012359333923086524	1.5504165276070125e-06	0.0009927662322297692	4.572892464693723e-07	1.6637443422951037e-06	5.8387590797792654e-06	7.803271000739187e-05	3.6259377793612657e-06	1.5530605423919042e-06	5.243098257778911e-07	3.044188545686666e-08	1.287704805008616e-07	3.607021881180117e-06
AC093642.3	1.2626523130165879e-05	3.742141814200295e-07	1.6098947526188567e-05	1.4981443996475718e-07	4.416736373968888e-06	3.185256147730797e-08	8.792636435828172e-06	2.6192735731456196e-06	2.7686588509823196e-05	5.632992724713404e-06	1.9166212950949557e-05	3.898692284565186e-07	0.0011565767927095294	3.954457028498837e-08	2.2018450351879437e-07
AC093818.1	9.25556435049657e-07	2.0913872504024766e-05	0.0003694846818689257	5.671045073540881e-06	0.0001455205783713609	3.0178776796674356e-05	7.182201079558581e-05	7.948155689518899e-05	0.00020745821529999375	6.011377990944311e-06	0.00020463703549467027	2.4833194402162917e-05	8.213092428377422e-07	0.0001448281982447952	0.0034284612629562616
AC104699.1	4.4685251054943365e-07	9.441828296985477e-08	7.179881578167624e-08	2.1289365292886941e-07	8.946538088139278e-08	1.2612709099357744e-07	2.2463862478616647e-05	9.48534420786018e-07	5.291179263622325e-07	2.1286264484388084e-07	0.001171082491055131	5.902982138650259e-07	8.041959098648022e-09	2.046595426463682e-07	0.004212937317788601
AC133644.2	3.753819328267127e-05	2.1336416466510855e-05	0.0018576387083157897	2.0507492081378587e-05	1.946989505086094e-05	5.072376097814413e-06	3.648679239631747e-06	5.1961440476588905e-05	4.0611703298054636e-05	1.8103745560438256e-06	3.203322876288439e-06	4.3264344640192576e-06	8.380728644397095e-08	3.695172199513763e-05	1.872539178293664e-05
AC233755.1	3.5799239412881434e-06	4.21057961830229e-08	7.331020697165513e-07	1.5761325755647704e-07	8.886055411494453e-07	6.750689180989866e-07	4.555938721750863e-05	2.936194221092592e-07	1.1174390692758607e-06	8.671365776535822e-07	3.7213892937870696e-05	4.602264880304574e-07	2.0764842290077468e-08	6.042162681296759e-08	0.002342169638723135
AC245100.1	2.6194444217253476e-05	4.7182249545585364e-05	0.0004085534601472318	8.232352411141619e-05	0.0007345827762037516	3.874479443766177e-05	9.737427899381146e-05	4.784435441251844e-05	0.0006649213610216975	3.2026222470449284e-05	0.0004907840630039573	4.78028305224143e-05	1.3581718121713493e-05	4.5453796815309033e-07	9.804355613596272e-06
ACACB	0.0003596885362640023	0.00013348806533031166	2.721046985243447e-05	2.466283694957383e-05	0.00013452860002871603	8.051246368268039e-06	4.0407132473774254e-05	1.976664316316601e-05	8.236257417593151e-05	7.385654953395715e-06	3.999834007117897e-05	4.7660792915849015e-05	6.626440881518647e-05	0.0005225130007602274	3.8353002310032025e-05
ACAT2	9.313773625763133e-05	7.111013837857172e-05	0.0003985755320172757	0.0003079643938690424	0.0003430366632528603	0.000427156948717311	0.00012337393127381802	0.0001344167540082708	0.00045904392027296126	0.0005484585417434573	0.00020250149827916175	0.00013172310718800873	0.00020394823513925076	5.705837975256145e-05	6.0309928812785074e-05
ACE	5.741884160670452e-05	0.0001167141308542341	2.248672672067187e-06	1.1749748409783933e-06	6.393950570782181e-06	6.657696303591365e-06	1.0047478099295404e-05	0.00017577716789674014	4.901723877992481e-05	2.3697495635133237e-05	4.6318444901771727e-07	4.179221286904067e-05	2.2226804503588937e-05	0.0012544445926323533	1.2654709280468524e-05
ACER3	0.0002743020886555314	0.00013500914792530239	0.00015202713257167488	0.00012609627447091043	0.0003565373772289604	6.53098541079089e-05	0.0006221053772605956	0.0004710972716566175	0.0001227487955475226	0.0001952875463757664	0.0001592766202520579	0.0011800432112067938	0.00010898717300733551	0.00023723221966065466	6.715112249366939e-05
ACKR1	3.2812704375828616e-07	3.5245207641310117e-07	2.501651010788919e-07	5.274750947137363e-06	6.724117724843381e-07	1.2861793265983579e-06	1.2035773124807747e-06	9.01588521173835e-07	1.6801553783807321e-06	9.510721383776399e-07	2.5344900222989963e-06	4.522221388469916e-06	4.350245319528767e-08	0.0009072276880033314	1.808988372431486e-06
ACOT7	2.900443178077694e-05	8.77619459060952e-05	0.000569164811167866	9.90837361314334e-05	0.00025793007807806134	8.322748908540234e-05	0.0014696636935696006	0.00013018742902204394	8.284382056444883e-05	0.0008998083067126572	3.3901110327860806e-06	9.320591925643384e-05	3.606591417337768e-05	0.00018091971287503839	1.6920355847105384e-05
ACP5	0.00015596307639498264	2.1444877347676083e-05	0.0009682562667876482	4.694816379924305e-05	0.0002221220056526363	0.00011320313933538273	0.0002537033869884908	0.0010536368936300278	0.00014653762627858669	1.4087693671172019e-05	0.0006770651089027524	8.815594628686085e-05	0.00018651811114978045	1.8149430616176687e-06	6.391493661794811e-05
ACSL1	0.0001268232153961435	0.0002210822276538238	0.0002567143819760531	5.9876703744521365e-05	0.00011404984979890287	6.541883340105414e-05	1.345849159406498e-05	0.0005365020479075611	7.35395442461595e-05	0.00014859865768812597	0.00014203264436218888	0.0004096849588677287	0.00033198707387782633	5.983617666061036e-05	1.6296115063596517e-05
ACSL3	0.0003027970960829407	0.0002142336597898975	0.0001601244875928387	7.711078797001392e-05	0.00028651661705225706	0.00018391104822512716	0.00021214873413555324	0.0002479375689290464	0.0002509444020688534	0.0002027038426604122	0.00020701374160125852	0.00018798183009494096	0.0015228184638544917	0.00021882401779294014	0.00011522019485710189
ACSL4	0.00019472502754069865	0.00021300578373484313	0.0006259524379856884	0.0001561680546728894	0.0002516969107091427	3.142810965073295e-05	0.0011171140940859914	0.0004280382418073714	0.00013850090908817947	0.00037210347363725305	0.00015810590412002057	0.0014417635975405574	3.5521677546057617e-06	0.00022020930191501975	0.0001400882174493745
ACTA2	0.0005998995620757341	0.0003342182608321309	4.841875852434896e-05	0.003618833376094699	2.3715372662991285e-05	4.905167770630214e-06	4.245298441674095e-06	5.347331807570299e-06	1.1694778550008778e-05	1.4579522030544467e-05	3.6801782243855996e-06	4.720303877547849e-06	8.716547199583147e-06	1.4896775155648356e-06	8.204486221075058e-06
ACTB	0.00031163962557911873	0.0006478973664343357	0.0027615989092737436	0.001258602598682046	0.0018544974736869335	0.0006028490024618804	0.0005762439104728401	0.001467342721298337	0.001635927241295576	0.0007429384277202189	0.0012321434915065765	0.0018305751727893949	0.00020194193348288536	0.0003630736900959164	0.00013672599743586034
ACTG2	2.4696877517271787e-05	4.667755547416164e-06	4.4894226448377594e-05	0.0031524300575256348	1.5508841215705615e-06	0.00018886933685280383	4.4116117692283296e-07	2.602130734885577e-06	4.041650299768662e-06	0.0002330626011826098	2.3974139367055614e-06	7.614357855345588e-07	8.928886381909251e-05	5.482455378569284e-08	1.1317876669636462e-05
