B	CD4Tconv	CD8Tex	Endothelial	Fibroblasts	Malignant	Mast	Mono.Macro	Myofibroblasts	Plasma	Tprolif
spot_16	0.0291878206729512	0.1169342420537	0.23839209043928	0.000152690548991175	0.0502455320733617	0.47288529322626	0.000152690548975357	0.00470861121106777	0.000152690549008155	0.0821997754101382	0.00498856326626651
spot_17	0.232010099191807	0.276556462266736	0.000132713446423926	0.000132713446427838	0.463889990769924	0.0184191975336537	0.000132713444351391	0.00832796956138952	0.000132713446423926	0.000132713446439981	0.000132713446422237
spot_18	0.00597331915307531	0.0440995243153526	0.000194403283214166	0.141053699854587	0.164424398412368	0.431704443507288	0.211772598341066	0.000194403283223821	0.000194403283223821	0.000194403283376965	0.000194403283223819
spot_19	0.0160745968820769	0.423767413425351	0.187923576001308	0.361193900672134	6.78010092669002e-05	6.78010092173543e-05	6.78010087657386e-05	6.78010092097341e-05	0.00275016460125478	6.7801009262634e-05	0.00795134337215328
spot_20	8.3136658973473e-05	0.282638072690364	0.19776425953795	0.457427962093001	0.000512101171355343	8.31366589734758e-05	8.31366585947522e-05	0.00283071349267295	8.31366589734717e-05	8.31366589898429e-05	0.0584112077201525
spot_21	0.000134181490527246	0.0466593481615589	0.000134181490527248	0.220010290244939	0.000134181490527248	0.204571173033415	0.000134181493226993	0.288067688472885	0.23988641114494	0.000134181486926625	0.000134181490527248
spot_22	0.00226112921810654	0.121997438348321	0.22501969634413	0.01014931083717	0.200481866366279	0.432622531280282	9.38280002115843e-05	0.00709271560394456	9.38280003848383e-05	9.38280007858914e-05	9.38280003848349e-05
spot_23	0.292832731663292	0.0957202865796169	0.000138464386874955	0.000981416046200124	0.00287322110017747	0.6020254995888	0.000138464386880153	0.00487452308772223	0.000138464386846858	0.000138464386717983	0.000138464386871734
spot_24	0.000139720981638821	0.800141084523925	0.000139720981638822	0.00656536006274932	0.000139720981673705	0.000139720981637031	0.000139720981294551	0.000139720981672597	0.192175787561824	0.000139720980307629	0.000139720981638821
spot_25	8.54976883302222e-05	0.386708360486535	8.54976883760693e-05	0.485556533742436	8.54976885798081e-05	0.124226744583249	8.54976872089681e-05	0.00290987736963513	8.5497688330252e-05	8.54976889882104e-05	8.54976883302517e-05
