B	CD4Tconv	CD8Tex	Endothelial	Fibroblasts	Malignant	Mast	Mono.Macro	Myofibroblasts	Plasma	Tprolif
spot_11	9.42814972211106e-05	9.42814972211457e-05	0.172169500404346	9.42814972215888e-05	9.42814972888394e-05	0.383301029187289	9.42814973805303e-05	0.44377521842458	9.42814972211511e-05	9.4281502022731e-05	9.4281498207449e-05
spot_12	1.36849443794499e-05	0.0173279058772484	0.355757367295405	1.36849443795027e-05	1.36849443781222e-05	0.610511269737546	1.36849443779507e-05	0.012091226871359	0.00421712503576763	1.36849442314007e-05	2.66804609273722e-05
spot_13	0.0239769220655826	6.82562955803891e-05	0.288147408649036	4.78121251011622e-05	4.78121252674285e-05	0.687472728112468	4.78121250891273e-05	4.78121250945958e-05	4.78121251268229e-05	4.78121264196371e-05	4.7812125234352e-05
spot_14	6.2938860007378e-05	0.195819614676447	0.107722367216777	6.29388600073539e-05	6.29388595785177e-05	0.52134224872148	6.29388605046252e-05	0.174675197367285	6.29388600073531e-05	6.29388583851544e-05	6.29388595213898e-05
spot_15	0.00397168052683261	0.0192769865320341	0.116073844326637	2.89600809110973e-05	2.89600807872535e-05	0.251018307391332	2.89600808483414e-05	0.604452585769211	0.00506179504992633	2.89600806241743e-05	2.89600808563642e-05
spot_16	4.02945007010024e-05	0.30268074388521	0.140628661357241	4.02945007021828e-05	4.02945011242074e-05	0.556368238751005	4.02945009619513e-05	4.02945007030309e-05	4.02945007010022e-05	4.02945009502458e-05	4.02945007010038e-05
spot_17	6.14730915341414e-05	0.0178552806878351	0.176170876446781	6.14730915301105e-05	6.14730915487992e-05	0.805482058132523	6.14730911708654e-05	6.14730915574787e-05	6.14730915348951e-05	6.14730924501301e-05	6.14730915348956e-05
spot_18	2.08901621325985e-05	0.210438483517756	0.0278229382272206	2.08901621314331e-05	2.08901621482874e-05	0.761571457037466	2.089016213203e-05	2.08901621330417e-05	2.08901621311699e-05	2.08900825424277e-05	2.08901622066162e-05
spot_19	6.117678597247e-05	6.11767859722727e-05	0.0804348029537702	0.000786350173021535	6.11767859846935e-05	0.918251046856224	6.11767859740692e-05	6.11767859767189e-05	6.11767859722595e-05	6.11768189898816e-05	9.95624821415235e-05
spot_20	8.80904745035886e-05	8.80904745036309e-05	0.188330374869058	0.00100714763661497	8.80904745097038e-05	0.499848985682283	8.80904745621557e-05	0.304570738093553	0.00570513887967883	8.80904727896764e-05	9.7162467943718e-05
