B	CD4Tconv	CD8Tex	Endothelial	Fibroblasts	Malignant	Mast	Mono.Macro	Myofibroblasts	Plasma	Tprolif
spot_13	7.90070788648637e-05	0.505268560251762	7.90070788694292e-05	0.0786001500925229	0.0632940811503668	0.00619762471609106	7.9007078937934e-05	0.340169897408239	0.00607465098646457	7.90070790120909e-05	7.90070788694429e-05
spot_14	3.86458224763513e-05	4.37810093950007e-05	0.310458300457596	3.86458224761408e-05	3.86458225314191e-05	0.00974194291716586	0.139161499231254	0.538542482080167	0.00185876519162658	3.86458227855706e-05	3.86458225267468e-05
spot_15	9.157548772967e-05	0.135168946446703	0.174282618349212	0.483880088828033	9.15754877276941e-05	9.15754877297128e-05	9.15754877805592e-05	0.0991340226387926	0.106984870812732	9.1575485831681e-05	9.15754877291364e-05
spot_16	0.137169946705701	0.278456058901876	0.117195458272993	9.93095154994413e-05	0.23621184277803	0.225968912081364	0.00227982476997019	9.93095155033053e-05	9.93095155033066e-05	9.9309516863383e-05	0.00232071842669712
spot_17	0.0527386305301709	0.128874836122622	0.275525160563341	0.00348466259852055	0.125942550535982	0.409875090976859	0.00024694027820107	0.000246940278181762	0.000246940278184744	0.00228849110266451	0.000529756735272888
spot_18	5.47949150225428e-05	5.47949150225357e-05	0.151208204029022	5.47949150225376e-05	0.258626884941645	0.181363886014627	5.47949152322922e-05	0.408417460612764	5.47949150225407e-05	5.47949115969985e-05	5.47949150225282e-05
spot_19	0.023881421231712	9.39488862992326e-05	0.300698666828462	9.39488862992346e-05	0.114936426311642	0.559479931256459	9.39488866195312e-05	0.000398385286046326	9.39488863048489e-05	9.39488882491356e-05	0.000135424651906402
spot_20	0.0305460451707059	0.0184550358860737	7.83355870529828e-05	7.83355870552729e-05	0.379386026900526	0.504508108907726	0.0602062068890588	7.83355870552756e-05	0.00650689830907627	7.83355886123782e-05	7.8335587057566e-05
spot_21	8.45347655207528e-05	8.45347655207441e-05	0.225701288139424	0.16121946398497	0.0867863777040696	0.525701126789848	8.45347672581594e-05	8.45347655262135e-05	8.45347619491023e-05	8.45347912156356e-05	8.45347646974088e-05
spot_22	4.16739785420244e-05	0.114485254629702	0.164093089710262	4.16739785408766e-05	0.361107891759284	0.35866337585548	0.00140034417313997	4.16739785408747e-05	4.16739785334016e-05	4.16739794090472e-05	4.16739785653837e-05
spot_23	0.0101687138909851	0.385364961251847	0.000132147348728549	0.263572667249107	0.063073179475457	0.272988039389847	0.000132147348789782	0.000132147348735821	0.000132147348728553	0.00013214734871101	0.0041717019990624
spot_24	4.36812446472765e-05	0.380760666291994	4.36812446472752e-05	4.36812446467499e-05	0.417776452938059	0.0275730421408364	4.36812446604702e-05	4.36812446433659e-05	0.0237077873000058	4.36812445856544e-05	0.149919963861275
spot_25	0.066448106734864	0.000130811394368755	0.214295404679337	0.0115831236372947	0.000130811394278768	0.44321146528452	0.000130811394331857	0.215961391354112	0.0244717405212443	0.000155740312616997	0.0234805932930313
spot_26	0.0619618048258005	0.0293676861184194	0.0727249877377367	4.0297357499523e-05	4.02973574965786e-05	0.603927621759123	4.02973574513543e-05	0.174045124865109	0.057755678052883	4.02973567760966e-05	5.59072117042444e-05
