,mean_nUMI_factorsB,mean_nUMI_factorsCD4Tconv,mean_nUMI_factorsCD8Tex,mean_nUMI_factorsEndothelial,mean_nUMI_factorsFibroblasts,mean_nUMI_factorsMalignant,mean_nUMI_factorsMast,mean_nUMI_factorsMono/Macro,mean_nUMI_factorsMyofibroblasts,mean_nUMI_factorsPlasma,mean_nUMI_factorsTprolif
spot_56,27.76083463893438,1319.126316252852,3775.7768146526546,3.657019336041526,2.8271335128546164,16951.850790122324,7.1885997792131535,18.88464033269926,4.682093896440685,4.38939323227446,49.11415032777693
spot_57,21.775417690831983,834.4619360717659,1757.3941880959565,3.704922801293233,2.211601507829053,15182.936873704719,8.89283455105927,2478.1872386799946,4.224472043696337,836.488987940821,9.993537486628947
spot_58,1020.4554570841561,3651.5805715299457,140.91966760698048,62.28366119032268,90.43962474884333,8842.64642007186,17.8197626536661,5518.376141628493,6.5438767455229785,1.5198867576611237,10.717243461965655
spot_59,38.93748813434727,631.8460025614121,5072.490396432246,3.1558953006677894,4.338206584281516,15114.254389516402,5.382925531260611,56.434516733047516,4.145819717914756,6.039024200908144,245.3099293972132
spot_60,159.9251060880596,4364.477713324648,999.7816995614904,2.5253729064639163,3.0643676502691255,14013.767903790473,3.683967806132349,62.85885013056595,2.5248964506601523,31.38144502723292,7.109052996182621
spot_61,15.60433000204176,129.96410374604895,2396.1176893775078,19.868598699889162,3.556407187834933,18559.40021590103,7.90961241109457,35.05032354033126,5.460083701626117,1.5714979811181087,381.1929238427627
spot_62,83.71488927156373,3482.3781676963144,196.91426406041413,3.6498308658062837,2.5001698037076556,7965.175839912805,6.8392581305194105,7344.001736929903,1.2396364607433987,5.435312045095026,8.004517916342639
spot_63,936.7791334149939,1507.1647923608368,144.57190774080058,65.29591758102708,8.817470324702697,12111.164880630202,9.564933067978645,1329.028188736972,1241.842145632885,3.9048932613472096,1991.1333925190288
spot_64,40.77905388324353,3262.80758233319,3454.54387407661,32.241721822091115,172.1225361145168,13191.475162974764,7.009199008384428,74.86033054875593,10.66149409697993,6.975407545593652,11.304066913921588
spot_65,9.94561963268288,203.75949613218964,3791.611183158815,115.7154896553338,809.7049210359534,12491.867906237692,21.43875333568814,455.35074668229544,20.464043154975684,2.568306007193172,1277.8490004435228
spot_66,21.74821934518872,5063.175031705877,100.86869327726882,91.83998473621911,434.11877781872954,13422.912070000546,9.460622233574668,7.369904966130921,8.742039874723465,2.5865357467763954,5.898750036716487
spot_67,8.565363285361936,136.81678756685855,4381.849742838234,18.25664339722937,2.5187099330164893,15712.615328052294,69.65383272393507,19.420085476666678,4.091835790667957,34.02750839886464,17.77319562213258
spot_68,62.38032527129907,318.17711770900576,5482.098368820978,28.889254373781373,9.030492385805527,14406.506536142804,5.78552704665106,13.580322503542087,172.35167733280866,5.631651730584277,17.214188688588333
spot_69,673.9297682794638,2389.630894626685,2702.7092575988618,6.096301749617249,19.993017305196325,13890.422998081362,6.2727423365089665,1482.8394074227767,4.761432720028565,3.8823610615103803,23.726171790859592
spot_70,6.365737960682163,106.49248166362501,3878.1892809478554,8.116252830543889,35.00461280950539,9603.176236851843,4.155014113034103,6223.788560101855,4.9859780935731095,3.9897931666297786,1308.5796961029966
spot_71,21.141705146608462,3004.390878353676,1696.0151335773887,5.129898274242324,1.7712785764619248,14244.98045760947,2.9739827849770513,6.0438440887340885,5.17594856527745,1.3753525669821225,12.772194784116355
spot_72,8.062422828977654,395.1549345220872,2631.306209190851,2.1492305767597757,2.2041648070592665,17756.030683482044,3.8601387571577104,4.467636049332791,9.036193916169184,4.446655890755384,14.745925323985604
spot_73,60.19028023591158,1385.946363991422,2864.8108276750468,5.640208972383028,12.004868683627295,7992.730381786363,7.886912213489798,7249.29317409314,8.938054788674837,5.000606332253217,5.795074300048631
spot_74,9.642634099387413,1945.6806096308578,1583.345233849165,14.585174142609382,18.12662053281816,17297.574120723286,2.472550469701048,5.930814803023311,2.9344947737853793,1.1546592480316609,19.080607777487934
spot_75,9.201472374140737,1069.5582743012149,2484.1486770232723,6.993162075348375,134.89198361457025,17345.31234769444,19.835052039034455,54.38459154343641,51.58213707753745,2.0563462911829835,38.17126566114591
spot_76,8.458278154490289,308.0568091615159,4382.459164693212,5.104946449762931,54.28510596657533,11135.87334269312,10.442975101812928,3918.5438334687,4.380543786480567,3.5681267015206086,17.575696363642706
spot_77,9.719160411515015,196.64673952948712,4427.634418590197,1.9163602939354234,64.48252764076376,15127.643821755491,3.144436372320724,80.87836960271044,4.309665418989848,1.6482973420355764,8.213697811974663
spot_78,55.639248416941925,2408.9897253005897,3509.3732491857154,15.161840007952701,4.726005562015312,8722.200336015594,33.084620966518784,4897.773004255492,6.95128482990244,3.375335343688658,12.780587861660983
spot_79,35.884848797592575,2152.16484054031,4780.135396228193,2.194454926120886,3.76922257110391,13556.195878583616,3.3684141388682245,11.910927615326644,2.2366210273785305,2.7008312249832254,219.83997122325874
spot_80,1407.5317437871352,357.211556254283,1538.0089843200915,6.778701828752061,1.2779720012904954,14235.89649146283,3.0190574435417026,1326.632583529776,1.6115734531226655,3.620798505852442,667.6410645756968
spot_81,57.52314685832835,379.27580813119715,3237.444520018106,9.411113222869192,8.617601963029754,17391.24081014629,4.578254794732383,26.83095531337504,276.19117530798604,21.516348943677247,9.952438592830562
